,who,fumbled,the,ball,on,3rd-and-9,?
on,0.2340552806854248,0.1800640970468521,0.5107308030128479,0.1605052351951599,0.9999999403953552,0.2179589718580246,0.2714994251728058
the,0.3733934462070465,0.19357919692993164,1.0,0.18895584344863892,0.5107308030128479,0.2776583731174469,0.22068053483963013
next,0.19192104041576385,0.20494604110717773,0.35833123326301575,0.10990821570158005,0.33060458302497864,0.18799227476119995,0.167460098862648
play,0.2742305099964142,0.1950412541627884,0.24793598055839539,0.31826484203338623,0.22181138396263123,0.1805368810892105,0.11059518158435822
",",0.3365725874900818,0.281479150056839,0.4933079481124878,0.2170172780752182,0.49057599902153015,0.31269383430480957,0.31091248989105225
miller,0.2093905359506607,0.1943686306476593,0.21601076424121857,0.1518518477678299,0.2245476096868515,0.18436355888843536,0.1295081228017807
stripped,0.19222557544708252,0.2834766209125519,0.24013200402259827,0.14687755703926086,0.18999923765659332,0.1765984445810318,0.1636997014284134
the,0.3733934462070465,0.19357919692993164,1.0,0.18895584344863892,0.5107308030128479,0.2776583731174469,0.22068053483963013
ball,0.18419332802295685,0.3041653335094452,0.18895584344863892,1.0,0.1605052351951599,0.27587640285491943,0.1766241192817688
away,0.2651624381542206,0.27302220463752747,0.29030847549438477,0.18551963567733765,0.20892785489559174,0.22492720186710358,0.15156377851963043
from,0.27839982509613037,0.1974474936723709,0.40150508284568787,0.21110084652900696,0.36926645040512085,0.17424678802490234,0.19969791173934937
newton,0.19243690371513367,0.189589262008667,0.1876603662967682,0.18903715908527374,0.14340966939926147,0.18639864027500153,0.09645649790763855
",",0.3365725874900818,0.281479150056839,0.4933079481124878,0.2170172780752182,0.49057599902153015,0.31269383430480957,0.31091248989105225
and,0.41279885172843933,0.2381657510995865,0.5171257257461548,0.19981779158115387,0.4077630043029785,0.27431154251098633,0.20544172823429108
after,0.32549580931663513,0.367872029542923,0.4565047025680542,0.13842351734638214,0.39330315589904785,0.2510044574737549,0.16608688235282898
several,0.30628830194473267,0.18101924657821655,0.40559855103492737,0.11636541038751602,0.33774417638778687,0.19829529523849487,0.15595775842666626
players,0.2852925956249237,0.19002825021743774,0.2647981345653534,0.35162150859832764,0.2058166116476059,0.2112162858247757,0.15925642848014832
dove,0.15368758141994476,0.2587204873561859,0.1918858289718628,0.2838803231716156,0.14231161773204803,0.2657220661640167,0.2024282068014145
for,0.37110671401023865,0.21829171478748322,0.4739971458911896,0.1708642989397049,0.36199691891670227,0.2650902271270752,0.264628142118454
it,0.2868398427963257,0.15135453641414642,0.6251175999641418,0.1934148073196411,0.4529881477355957,0.23526693880558014,0.25732165575027466
",",0.3365725874900818,0.281479150056839,0.4933079481124878,0.2170172780752182,0.49057599902153015,0.31269383430480957,0.31091248989105225
it,0.2868398427963257,0.15135453641414642,0.6251175999641418,0.1934148073196411,0.4529881477355957,0.23526693880558014,0.25732165575027466
took,0.2481452226638794,0.2956182658672333,0.31657639145851135,0.09350965917110443,0.22459004819393158,0.19643321633338928,0.14109265804290771
a,0.36608949303627014,0.17296364903450012,0.5829201340675354,0.23578347265720367,0.3848365545272827,0.29769882559776306,0.23916715383529663
long,0.18512077629566193,0.21887627243995667,0.3075225353240967,0.2649891674518585,0.3373977243900299,0.24574482440948486,0.19699987769126892
bounce,0.19229473173618317,0.30077582597732544,0.2448197603225708,0.4575279951095581,0.25720280408859253,0.20851098001003265,0.1623752862215042
backwards,0.21414348483085632,0.23404555022716522,0.3041544258594513,0.3201940655708313,0.2512238919734955,0.2660231590270996,0.1805936098098755
and,0.41279885172843933,0.2381657510995865,0.5171257257461548,0.19981779158115387,0.4077630043029785,0.27431154251098633,0.20544172823429108
was,0.3318818509578705,0.30647221207618713,0.48711544275283813,0.16079293191432953,0.3909217119216919,0.1952950656414032,0.18412111699581146
