,what,is,the,edge,of,the,moraine,plateau,called,?
the,0.42745697498321533,0.5823672413825989,1.0,0.3453350365161896,0.733189046382904,1.0,0.32980746030807495,0.29697924852371216,0.489897221326828,0.22068053483963013
significant,0.24268144369125366,0.2283884435892105,0.35524800419807434,0.04411941021680832,0.318554162979126,0.35524800419807434,0.17066626250743866,0.20198364555835724,0.1693059504032135,0.18679562211036682
element,0.24694041907787323,0.3385811448097229,0.2041647583246231,0.14642110466957092,0.21102571487426758,0.2041647583246231,0.14721861481666565,0.13579769432544708,0.2503594756126404,0.18393386900424957
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.2350095808506012,1.0,0.733189046382904,0.3049020767211914,0.2899112105369568,0.4222904443740845,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.3453350365161896,0.733189046382904,1.0,0.32980746030807495,0.29697924852371216,0.489897221326828,0.22068053483963013
relief,0.1674574613571167,0.19677329063415527,0.25068938732147217,0.17185315489768982,0.2101009339094162,0.25068938732147217,0.2561950981616974,0.13822558522224426,0.1293482631444931,0.06312807649374008
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2518710792064667,0.4946078956127167,0.4933079481124878,0.30009356141090393,0.23858049511909485,0.26549121737480164,0.31091248989105225
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.258846253156662,0.5696388483047485,0.6662389636039734,0.2861100137233734,0.2396252304315567,0.40847352147102356,0.20430970191955566
this,0.5489566326141357,0.480927973985672,0.6274310946464539,0.2077016830444336,0.45148900151252747,0.6274310946464539,0.2678532600402832,0.1988472044467926,0.41327622532844543,0.3155723512172699
part,0.3476244807243347,0.4582172930240631,0.527681291103363,0.3013535737991333,0.452393114566803,0.527681291103363,0.2492261528968811,0.32460644841194153,0.4405199885368347,0.08557961881160736
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.2350095808506012,1.0,0.733189046382904,0.3049020767211914,0.2899112105369568,0.4222904443740845,0.1826142966747284
warsaw,0.10373849421739578,0.09741193056106567,0.23137180507183075,0.140417218208313,0.19253842532634735,0.23137180507183075,0.18700984120368958,0.17617198824882507,0.15889199078083038,0.09769917279481888
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2518710792064667,0.4946078956127167,0.4933079481124878,0.30009356141090393,0.23858049511909485,0.26549121737480164,0.31091248989105225
is,0.28837618231773376,1.0,0.5823672413825989,0.27232471108436584,0.4854315221309662,0.5823672413825989,0.29355308413505554,0.2576557397842407,0.430266410112381,0.22961433231830597
the,0.42745697498321533,0.5823672413825989,1.0,0.3453350365161896,0.733189046382904,1.0,0.32980746030807495,0.29697924852371216,0.489897221326828,0.22068053483963013
edge,0.2064312994480133,0.27232471108436584,0.3453350365161896,1.0,0.2350095808506012,0.3453350365161896,0.3046250343322754,0.2508470416069031,0.20482753217220306,0.06842754781246185
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.2350095808506012,1.0,0.733189046382904,0.3049020767211914,0.2899112105369568,0.4222904443740845,0.1826142966747284
moraine,0.18571998178958893,0.29355308413505554,0.32980746030807495,0.3046250343322754,0.3049020767211914,0.32980746030807495,1.0000001192092896,0.4210492670536041,0.21144166588783264,0.15512530505657196
plateau,0.15103165805339813,0.2576557397842407,0.29697924852371216,0.2508470416069031,0.2899112105369568,0.29697924852371216,0.4210492670536041,1.0000001192092896,0.19117408990859985,0.10432148724794388
called,0.3235960602760315,0.430266410112381,0.489897221326828,0.20482753217220306,0.4222904443740845,0.489897221326828,0.21144166588783264,0.19117408990859985,1.0,0.18963319063186646
warsaw,0.10373849421739578,0.09741193056106567,0.23137180507183075,0.140417218208313,0.19253842532634735,0.23137180507183075,0.18700984120368958,0.17617198824882507,0.15889199078083038,0.09769917279481888
escarpment,0.22531536221504211,0.315042644739151,0.34401074051856995,0.40878385305404663,0.3223574757575989,0.34401074051856995,0.5413325428962708,0.5647276639938354,0.25767412781715393,0.07683622092008591
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.23383861780166626,0.5352458953857422,0.5934505462646484,0.28085002303123474,0.22974298894405365,0.300344854593277,0.4130953550338745
