,what,does,colonialism,lack,that,imperialism,has,?
:116,-0.08082424104213715,-0.07108275592327118,-0.0817832350730896,-0.08090546727180481,-0.10214822739362717,-0.12314708530902863,-0.06884922832250595,0.04227365925908089
thus,0.30745524168014526,0.30094778537750244,0.22531649470329285,0.3631882965564728,0.4318928122520447,0.17420397698879242,0.2012588381767273,0.18769288063049316
it,0.45803478360176086,0.34188351035118103,0.21276211738586426,0.24508468806743622,0.5921133160591125,0.1997520625591278,0.41962623596191406,0.25732165575027466
can,0.34502777457237244,0.5156301856040955,0.1700136661529541,0.30978846549987793,0.4522190988063812,0.13996845483779907,0.4103628396987915,0.3226337134838104
be,0.3929833769798279,0.28696945309638977,0.15940050780773163,0.30373615026474,0.6036020517349243,0.15657790005207062,0.3863394856452942,0.3324260413646698
said,0.3951668441295624,0.27921462059020996,0.22558170557022095,0.19601848721504211,0.5459781289100647,0.2327468991279602,0.262355774641037,0.28991883993148804
that,0.6297725439071655,0.4764937460422516,0.2405940741300583,0.3709861636161804,1.0,0.23209288716316223,0.41272613406181335,0.32716336846351624
imperialism,0.24614648520946503,0.11998406797647476,0.6857813596725464,0.144239142537117,0.23209288716316223,1.0,0.11067613214254379,0.14998586475849152
includes,0.17138352990150452,0.2753782868385315,0.14095498621463776,0.2333325892686844,0.21996237337589264,0.16324429214000702,0.32801979780197144,0.14011523127555847
some,0.4491020441055298,0.39611563086509705,0.3038089871406555,0.42776554822921753,0.6049469113349915,0.19825322926044464,0.3587830364704132,0.2562315762042999
form,0.15868011116981506,0.26710256934165955,0.25731948018074036,0.24249446392059326,0.31894639134407043,0.1891220360994339,0.19877426326274872,0.1463010311126709
of,0.33290785551071167,0.3119818866252899,0.2704770565032959,0.2861039936542511,0.41498205065727234,0.29240643978118896,0.3909035325050354,0.1826142966747284
colonialism,0.27914220094680786,0.19338002800941467,0.9999999403953552,0.22234764695167542,0.2405940741300583,0.6857813596725464,0.15289072692394257,0.1519109606742859
