,what,do,some,theories,claim,about,civil,disobedience,?
some,0.4491020441055298,0.4725562036037445,0.9999999403953552,0.3330647051334381,0.30583998560905457,0.42107653617858887,0.1851816177368164,0.28606411814689636,0.2562315762042999
theories,0.3363492488861084,0.1944059133529663,0.3330647051334381,1.0000001192092896,0.3147394061088562,0.2673044502735138,0.09015687555074692,0.24445658922195435,0.21320602297782898
of,0.33290785551071167,0.26150479912757874,0.4300730526447296,0.25074607133865356,0.2833690047264099,0.40939709544181824,0.24698495864868164,0.31932318210601807,0.1826142966747284
civil,0.15091551840305328,0.12413616478443146,0.1851816177368164,0.09015687555074692,0.21843986213207245,0.1744583249092102,1.0,0.5442691445350647,0.1494513899087906
disobedience,0.3298627436161041,0.26727163791656494,0.28606411814689636,0.24445658922195435,0.3513254225254059,0.20206157863140106,0.5442691445350647,1.0,0.19890835881233215
hold,0.20790280401706696,0.3113780915737152,0.30868783593177795,0.17400029301643372,0.26904892921447754,0.18589375913143158,0.16159817576408386,0.25815021991729736,0.18586084246635437
that,0.6297725439071655,0.44533252716064453,0.6049469113349915,0.39760348200798035,0.39801377058029175,0.4500710964202881,0.16867391765117645,0.3551425039768219,0.32716336846351624
civil,0.15091551840305328,0.12413616478443146,0.1851816177368164,0.09015687555074692,0.21843986213207245,0.1744583249092102,1.0,0.5442691445350647,0.1494513899087906
disobedience,0.3298627436161041,0.26727163791656494,0.28606411814689636,0.24445658922195435,0.3513254225254059,0.20206157863140106,0.5442691445350647,1.0,0.19890835881233215
is,0.28837618231773376,0.30895981192588806,0.3038453459739685,0.16766823828220367,0.15920500457286835,0.3532065451145172,0.16941262781620026,0.21453623473644257,0.22961433231830597
only,0.41415658593177795,0.36438748240470886,0.54151451587677,0.210969939827919,0.28165632486343384,0.43077903985977173,0.1800847351551056,0.22540675103664398,0.2767370045185089
justified,0.3712652921676636,0.23823004961013794,0.28123632073402405,0.25834712386131287,0.3915127217769623,0.29688677191734314,0.1624336540699005,0.30395132303237915,0.38761505484580994
against,0.24561616778373718,0.22739747166633606,0.20105592906475067,0.20596280694007874,0.24766644835472107,0.1949513703584671,0.22722691297531128,0.3858777582645416,0.18095137178897858
governmental,0.23741623759269714,0.2016235589981079,0.275679349899292,0.3307897746562958,0.32104524970054626,0.18617478013038635,0.34467142820358276,0.43608200550079346,0.21953752636909485
entities,0.24127137660980225,0.2868528664112091,0.3662765622138977,0.3457060158252716,0.330574631690979,0.1614866405725479,0.13807769119739532,0.22379295527935028,0.1900196224451065
.,0.3567904531955719,0.3613996207714081,0.40663889050483704,0.18147483468055725,0.24773532152175903,0.42038556933403015,0.2541380822658539,0.2603943943977356,0.4130953550338745
