,the,outside,of,the,cm,was,covered,in,what,kind,of,material,?
its,0.559237003326416,0.27479639649391174,0.48690423369407654,0.559237003326416,0.19644059240818024,0.3518870174884796,0.2352508157491684,0.3793783485889435,0.30393704771995544,0.17957401275634766,0.48690423369407654,0.2689978778362274,0.15103481709957123
exterior,0.24049440026283264,0.3585589528083801,0.2579439580440521,0.24049440026283264,0.1440800577402115,0.19991430640220642,0.30121588706970215,0.1416965276002884,0.1873418539762497,0.14881859719753265,0.2579439580440521,0.31650280952453613,0.10013534873723984
was,0.48711544275283813,0.21273015439510345,0.4069072902202606,0.48711544275283813,0.15153862535953522,1.0000001192092896,0.24235664308071136,0.45514053106307983,0.22111038863658905,0.1604125201702118,0.4069072902202606,0.19338609278202057,0.18412111699581146
covered,0.3132939636707306,0.3145581781864166,0.28798651695251465,0.3132939636707306,0.2047092616558075,0.24235664308071136,1.0,0.27591216564178467,0.24682468175888062,0.24112774431705475,0.28798651695251465,0.34531423449516296,0.139833465218544
with,0.4223487675189972,0.27869418263435364,0.41827285289764404,0.4223487675189972,0.18681956827640533,0.27411898970603943,0.339670330286026,0.4080928862094879,0.2464839518070221,0.2680599093437195,0.41827285289764404,0.22314715385437012,0.2433311939239502
an,0.4207492768764496,0.19768257439136505,0.32280945777893066,0.4207492768764496,0.1796703040599823,0.3694365322589874,0.2212965190410614,0.2605783939361572,0.2821882665157318,0.2510696351528168,0.32280945777893066,0.2454252392053604,0.19793890416622162
ablative,0.2815965712070465,0.2043604552745819,0.31697070598602295,0.2815965712070465,0.21200791001319885,0.19590918719768524,0.17417387664318085,0.25484296679496765,0.27632981538772583,0.23821915686130524,0.31697070598602295,0.2608502507209778,0.24542094767093658
heat,0.2556036710739136,0.22360213100910187,0.19590096175670624,0.2556036710739136,0.17835524678230286,0.17687295377254486,0.19345559179782867,0.20852652192115784,0.1933984011411667,0.23439055681228638,0.19590096175670624,0.37245187163352966,0.16343188285827637
shield,0.2743064761161804,0.16380536556243896,0.2762884795665741,0.2743064761161804,0.17086158692836761,0.13172738254070282,0.2234858274459839,0.1308644413948059,0.15256665647029877,0.15156440436840057,0.2762884795665741,0.2047349065542221,0.06611126661300659
",",0.4933079481124878,0.2726076543331146,0.4946078956127167,0.4933079481124878,0.2293582409620285,0.45456063747406006,0.30773067474365234,0.5201468467712402,0.3087472915649414,0.20629581809043884,0.4946078956127167,0.2189585268497467,0.31091248989105225
and,0.5171257257461548,0.31803378462791443,0.5116966962814331,0.5171257257461548,0.2066713124513626,0.3740963041782379,0.3234351575374603,0.4954058527946472,0.31309178471565247,0.22462370991706848,0.5116966962814331,0.2923409640789032,0.20544172823429108
had,0.3875846862792969,0.23641762137413025,0.37755560874938965,0.3875846862792969,0.1418296992778778,0.5927209258079529,0.3123895823955536,0.385026752948761,0.23849567770957947,0.1710449457168579,0.37755560874938965,0.17108342051506042,0.20728366076946259
its,0.559237003326416,0.27479639649391174,0.48690423369407654,0.559237003326416,0.19644059240818024,0.3518870174884796,0.2352508157491684,0.3793783485889435,0.30393704771995544,0.17957401275634766,0.48690423369407654,0.2689978778362274,0.15103481709957123
own,0.334675133228302,0.2866668403148651,0.3269667625427246,0.334675133228302,0.11587665975093842,0.19632458686828613,0.19049149751663208,0.31893372535705566,0.35062843561172485,0.2678379416465759,0.3269667625427246,0.2179073840379715,0.1937696635723114
