,the,church,rejects,was,as,an,instrument,of,what,?
therefore,0.4141571819782257,0.21379142999649048,0.315511554479599,0.2569314241409302,0.3956354260444641,0.23727720975875854,0.2114996463060379,0.4106575846672058,0.4125064015388489,0.3325358033180237
",",0.4933079481124878,0.2707274258136749,0.23406217992305756,0.45456063747406006,0.48816442489624023,0.3581022024154663,0.2600042521953583,0.4946078956127167,0.3087472915649414,0.31091248989105225
the,1.0,0.23846197128295898,0.25582894682884216,0.48711544275283813,0.48381632566452026,0.4207492768764496,0.2132672667503357,0.733189046382904,0.42745697498321533,0.22068053483963013
church,0.23846197128295898,0.9999999403953552,0.26041969656944275,0.24960921704769135,0.211966410279274,0.09629998356103897,0.18323707580566406,0.3079429268836975,0.1944202184677124,0.18081501126289368
rejects,0.25582894682884216,0.26041969656944275,1.0000001192092896,0.16408385336399078,0.2559483051300049,0.15511424839496613,0.19306671619415283,0.2511760890483856,0.24492940306663513,0.19314032793045044
war,0.366199791431427,0.21729430556297302,0.1360989212989807,0.3560331463813782,0.24018222093582153,0.15861496329307556,0.16051071882247925,0.31680163741111755,0.22516006231307983,0.15510529279708862
as,0.48381632566452026,0.211966410279274,0.2559483051300049,0.3677520453929901,1.0,0.37218472361564636,0.2015579342842102,0.3886612355709076,0.31749409437179565,0.27043893933296204
an,0.4207492768764496,0.09629998356103897,0.15511424839496613,0.3694365322589874,0.37218472361564636,1.0,0.17013269662857056,0.32280945777893066,0.2821882665157318,0.19793890416622162
instrument,0.2132672667503357,0.18323707580566406,0.19306671619415283,0.20680175721645355,0.2015579342842102,0.17013269662857056,1.0000001192092896,0.2250969111919403,0.26433292031288147,0.14794185757637024
of,0.733189046382904,0.3079429268836975,0.2511760890483856,0.4069072902202606,0.3886612355709076,0.32280945777893066,0.2250969111919403,1.0,0.33290785551071167,0.1826142966747284
national,0.32739606499671936,0.1964467167854309,0.07497397810220718,0.2433898150920868,0.21661384403705597,0.1631900668144226,0.1507108211517334,0.3314673602581024,0.16882304847240448,0.15643028914928436
foreign,0.2946566939353943,0.1261429339647293,0.19640402495861053,0.18690811097621918,0.267986536026001,0.17563144862651825,0.1262766271829605,0.25741127133369446,0.1784719079732895,0.13770383596420288
policy,0.2358427494764328,0.20519693195819855,0.26848745346069336,0.1882478892803192,0.2869105041027069,0.19907741248607635,0.21284085512161255,0.24393197894096375,0.3869883120059967,0.30462446808815
",",0.4933079481124878,0.2707274258136749,0.23406217992305756,0.45456063747406006,0.48816442489624023,0.3581022024154663,0.2600042521953583,0.4946078956127167,0.3087472915649414,0.31091248989105225
to,0.535392165184021,0.24439501762390137,0.19427700340747833,0.3636345863342285,0.42092081904411316,0.3138085603713989,0.23756927251815796,0.41548454761505127,0.455847829580307,0.29463258385658264
be,0.4248143136501312,0.14655785262584686,0.15583392977714539,0.42228707671165466,0.5230465531349182,0.33041056990623474,0.2554333806037903,0.33904364705085754,0.3929833769798279,0.3324260413646698
employed,0.2112865000963211,0.1402130275964737,0.14825507998466492,0.23432216048240662,0.289048969745636,0.19483524560928345,0.23700164258480072,0.22383978962898254,0.15165269374847412,0.1261894851922989
only,0.5497692227363586,0.18959210813045502,0.23053193092346191,0.36249664425849915,0.41781148314476013,0.28787028789520264,0.17726878821849823,0.49632513523101807,0.41415658593177795,0.2767370045185089
as,0.48381632566452026,0.211966410279274,0.2559483051300049,0.3677520453929901,1.0,0.37218472361564636,0.2015579342842102,0.3886612355709076,0.31749409437179565,0.27043893933296204
a,0.5829201340675354,0.19588641822338104,0.19538456201553345,0.4508470594882965,0.39550232887268066,0.44552403688430786,0.2471286803483963,0.5052502155303955,0.3320399522781372,0.23916715383529663
last,0.3698786795139313,0.11115076392889023,0.1317409873008728,0.32424551248550415,0.2661714553833008,0.1592187136411667,0.15706785023212433,0.3052992522716522,0.23175878822803497,0.22371746599674225
resort,0.2548282742500305,0.15390154719352722,0.06679666042327881,0.20556649565696716,0.2352621853351593,0.09480301290750504,0.12182977795600891,0.2024797797203064,0.16167303919792175,0.12942275404930115
in,0.6662389636039734,0.2493300437927246,0.1663316786289215,0.45514053106307983,0.3887844979763031,0.2605783939361572,0.13018330931663513,0.5696388483047485,0.30808621644973755,0.20430970191955566
the,1.0,0.23846197128295898,0.25582894682884216,0.48711544275283813,0.48381632566452026,0.4207492768764496,0.2132672667503357,0.733189046382904,0.42745697498321533,0.22068053483963013
