,what,is,the,goal,of,the,capabilities,approach,?
its,0.30393704771995544,0.4447362422943115,0.559237003326416,0.15909408032894135,0.48690423369407654,0.559237003326416,0.2535708546638489,0.29110926389694214,0.15103481709957123
goal,0.2571476101875305,0.20883920788764954,0.2443244755268097,1.0000001192092896,0.1838325709104538,0.2443244755268097,0.2761124074459076,0.28066596388816833,0.1964566856622696
is,0.28837618231773376,1.0,0.5823672413825989,0.20883920788764954,0.4854315221309662,0.5823672413825989,0.13866184651851654,0.2353363335132599,0.22961433231830597
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.37094977498054504,0.41548454761505127,0.535392165184021,0.30316877365112305,0.33169451355934143,0.29463258385658264
“,-0.009074612520635128,-0.040780652314424515,-0.004561804234981537,-0.013237313367426395,0.006646031979471445,-0.004561804234981537,-0.08671193569898605,-0.022829392924904823,-0.043535903096199036
wid,0.2543022334575653,0.16644152998924255,0.27113085985183716,0.17343716323375702,0.24488352239131927,0.27113085985183716,0.2614971995353699,0.14314715564250946,0.2873041331768036
[,0.010752761736512184,-0.06921151280403137,0.07130392640829086,0.03788110613822937,0.010817250236868858,0.07130392640829086,0.14262808859348297,0.12552239000797272,0.011015460826456547
en,0.2365063726902008,0.18463604152202606,0.1751408874988556,0.1630462110042572,0.12889879941940308,0.1751408874988556,0.08349055796861649,0.16079995036125183,0.3125995695590973
],-0.03775298595428467,-0.02998926118016243,-0.04779602214694023,0.005298541858792305,-0.035044461488723755,-0.04779602214694023,0.013741934671998024,-0.051512833684682846,-0.0022520492784678936
people,0.32444337010383606,0.34254953265190125,0.36838498711586,0.20475320518016815,0.3251037895679474,0.36838498711586,0.1782916635274887,0.20873238146305084,0.23739641904830933
’,-0.01733604073524475,0.024411404505372047,-0.04090067744255066,-0.0076379673555493355,-0.062016043812036514,-0.04090067744255066,-0.0365038700401783,0.03423800319433212,0.045561522245407104
s,0.3634900748729706,0.3467119336128235,0.46610721945762634,0.19974298775196075,0.42263656854629517,0.46610721945762634,0.1609041839838028,0.17509806156158447,0.25130221247673035
choices,0.3977566659450531,0.2188650518655777,0.26494893431663513,0.2752814292907715,0.27321237325668335,0.26494893431663513,0.3772680461406708,0.2724106013774872,0.34390366077423096
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.20885969698429108,0.5116966962814331,0.5171257257461548,0.2930736839771271,0.2348477989435196,0.20544172823429108
the,0.42745697498321533,0.5823672413825989,1.0,0.2443244755268097,0.733189046382904,1.0,0.2042628526687622,0.1999826431274414,0.22068053483963013
level,0.27376922965049744,0.24803997576236725,0.31442487239837646,0.22425006330013275,0.23504668474197388,0.31442487239837646,0.2986676096916199,0.14071118831634521,0.20528386533260345
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.1838325709104538,1.0,0.733189046382904,0.18993353843688965,0.20773443579673767,0.1826142966747284
their,0.35142919421195984,0.2101074606180191,0.516537070274353,0.2400694042444229,0.4329940676689148,0.516537070274353,0.34684044122695923,0.17286263406276703,0.1898253709077835
achieved,0.1794850081205368,0.17253297567367554,0.2821090817451477,0.35003116726875305,0.2701522707939148,0.2821090817451477,0.36347925662994385,0.2312147170305252,0.17008265852928162
well-being,0.3161223232746124,0.3382420837879181,0.4274795949459076,0.2381143420934677,0.3677307963371277,0.4274795949459076,0.36090266704559326,0.2410271316766739,0.27211615443229675
”,-0.08669018000364304,-0.03237918019294739,-0.13169695436954498,0.024959241971373558,-0.06583167612552643,-0.13169695436954498,0.08938466012477875,-0.045133426785469055,0.014230710454285145
through,0.23167094588279724,0.27805060148239136,0.44071322679519653,0.20255209505558014,0.3647414743900299,0.44071322679519653,0.23233555257320404,0.1882571130990982,0.16913433372974396
increasing,0.2066856026649475,0.21545660495758057,0.34958165884017944,0.190754234790802,0.3524707853794098,0.34958165884017944,0.3747677505016327,0.2526222765445709,0.0681626945734024
functionings,0.290803462266922,0.19443006813526154,0.25570741295814514,0.16694225370883942,0.20480068027973175,0.25570741295814514,0.48321688175201416,0.24438348412513733,0.20903807878494263
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.13172009587287903,0.35032153129577637,0.33289089798927307,0.16435016691684723,0.11552673578262329,0.40561532974243164
the,0.42745697498321533,0.5823672413825989,1.0,0.2443244755268097,0.733189046382904,1.0,0.2042628526687622,0.1999826431274414,0.22068053483963013
things,0.5577362775802612,0.27847638726234436,0.30825191736221313,0.1795811951160431,0.2970648407936096,0.30825191736221313,0.3496960699558258,0.2556322515010834,0.36181706190109253
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.20853768289089203,0.5052502155303955,0.5829201340675354,0.22750458121299744,0.2336270660161972,0.23916715383529663
person,0.41527870297431946,0.35233089327812195,0.3487054407596588,0.22993741929531097,0.27674683928489685,0.3487054407596588,0.23281067609786987,0.12999071180820465,0.324093222618103
values,0.28629231452941895,0.22639602422714233,0.23992402851581573,0.1812387853860855,0.21286797523498535,0.23992402851581573,0.3823873996734619,0.2690354585647583,0.23432563245296478
doing,0.5205235481262207,0.21740670502185822,0.29305580258369446,0.24283118546009064,0.25269845128059387,0.29305580258369446,0.32135850191116333,0.21404986083507538,0.4119948446750641
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.13925226032733917,0.3680361211299896,0.3456730246543884,0.16189293563365936,0.10722437500953674,0.42300865054130554
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2145523726940155,0.4946078956127167,0.4933079481124878,0.21266590058803558,0.3155236542224884,0.31091248989105225
capabilities,0.2514554262161255,0.13866184651851654,0.2042628526687622,0.2761124074459076,0.18993353843688965,0.2042628526687622,1.0000001192092896,0.22072456777095795,0.20460444688796997
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.13172009587287903,0.35032153129577637,0.33289089798927307,0.16435016691684723,0.11552673578262329,0.40561532974243164
the,0.42745697498321533,0.5823672413825989,1.0,0.2443244755268097,0.733189046382904,1.0,0.2042628526687622,0.1999826431274414,0.22068053483963013
freedom,0.21405836939811707,0.14184658229351044,0.24307598173618317,0.25871121883392334,0.26562249660491943,0.24307598173618317,0.2771829068660736,0.1560359001159668,0.1626027375459671
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.37094977498054504,0.41548454761505127,0.535392165184021,0.30316877365112305,0.33169451355934143,0.29463258385658264
enjoy,0.26737046241760254,0.17440982162952423,0.19656315445899963,0.13985231518745422,0.21310144662857056,0.19656315445899963,0.28586533665657043,0.179839089512825,0.22365233302116394
functionings,0.290803462266922,0.19443006813526154,0.25570741295814514,0.16694225370883942,0.20480068027973175,0.25570741295814514,0.48321688175201416,0.24438348412513733,0.20903807878494263
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.13925226032733917,0.3680361211299896,0.3456730246543884,0.16189293563365936,0.10722437500953674,0.42300865054130554
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.20885969698429108,0.5116966962814331,0.5171257257461548,0.2930736839771271,0.2348477989435196,0.20544172823429108
agency,0.1771060973405838,0.1915283501148224,0.24253644049167633,0.1355379968881607,0.21890796720981598,0.24253644049167633,0.14917264878749847,0.18504942953586578,0.18185843527317047
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.13172009587287903,0.35032153129577637,0.33289089798927307,0.16435016691684723,0.11552673578262329,0.40561532974243164
the,0.42745697498321533,0.5823672413825989,1.0,0.2443244755268097,0.733189046382904,1.0,0.2042628526687622,0.1999826431274414,0.22068053483963013
ability,0.26366251707077026,0.18390236794948578,0.24997951090335846,0.2682897746562958,0.21105368435382843,0.24997951090335846,0.5803990960121155,0.22638767957687378,0.1955445408821106
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.37094977498054504,0.41548454761505127,0.535392165184021,0.30316877365112305,0.33169451355934143,0.29463258385658264
pursue,0.21410717070102692,0.11472836881875992,0.21766875684261322,0.2765425741672516,0.17194563150405884,0.21766875684261322,0.2313913255929947,0.2872593104839325,0.1284760683774948
