,what,broadcast,group,is,the,largest,operator,of,abc,stations,?
the,0.42745697498321533,0.2713715434074402,0.30795547366142273,0.5823672413825989,1.0,0.3757036626338959,0.22986549139022827,0.733189046382904,0.2068762183189392,0.24762700498104095,0.22068053483963013
sinclair,0.13678078353405,0.18345536291599274,0.08703901618719101,0.22747954726219177,0.18596287071704865,0.1429101675748825,0.2273387461900711,0.18807722628116608,0.24845848977565765,0.18315404653549194,0.17342320084571838
broadcast,0.17857211828231812,1.0,0.15232448279857635,0.1702820062637329,0.2713715434074402,0.12819473445415497,0.2629414200782776,0.20155203342437744,0.4876510202884674,0.4233371615409851,0.15760008990764618
group,0.2114069163799286,0.15232448279857635,0.9999999403953552,0.22153858840465546,0.30795547366142273,0.23300331830978394,0.20969805121421814,0.25542253255844116,0.11665991693735123,0.19378070533275604,0.13827809691429138
is,0.28837618231773376,0.1702820062637329,0.22153858840465546,1.0,0.5823672413825989,0.3413417339324951,0.2346540242433548,0.4854315221309662,0.16037321090698242,0.2002124935388565,0.22961433231830597
the,0.42745697498321533,0.2713715434074402,0.30795547366142273,0.5823672413825989,1.0,0.3757036626338959,0.22986549139022827,0.733189046382904,0.2068762183189392,0.24762700498104095,0.22068053483963013
largest,0.13463157415390015,0.12819473445415497,0.23300331830978394,0.3413417339324951,0.3757036626338959,0.9999999403953552,0.21256251633167267,0.36650770902633667,0.09599892795085907,0.22964605689048767,0.12401245534420013
operator,0.19331371784210205,0.2629414200782776,0.20969805121421814,0.2346540242433548,0.22986549139022827,0.21256251633167267,1.0,0.178121879696846,0.21460629999637604,0.3288689851760864,0.12810945510864258
of,0.33290785551071167,0.20155203342437744,0.25542253255844116,0.4854315221309662,0.733189046382904,0.36650770902633667,0.178121879696846,1.0,0.14607268571853638,0.20414425432682037,0.1826142966747284
abc,0.1317344456911087,0.4876510202884674,0.11665991693735123,0.16037321090698242,0.2068762183189392,0.09599892795085907,0.21460629999637604,0.14607268571853638,1.0000001192092896,0.23858611285686493,0.19065172970294952
stations,0.1621520221233368,0.4233371615409851,0.19378070533275604,0.2002124935388565,0.24762700498104095,0.22964605689048767,0.3288689851760864,0.20414425432682037,0.23858611285686493,1.0,0.13192185759544373
by,0.2455483376979828,0.22584840655326843,0.2915726900100708,0.3899846076965332,0.4408751428127289,0.17839421331882477,0.15075917541980743,0.3646814823150635,0.17600902915000916,0.20435920357704163,0.17966607213020325
numerical,0.276495099067688,0.14065933227539062,0.15269075334072113,0.15379483997821808,0.21273735165596008,0.11325360089540482,0.2144649475812912,0.21296924352645874,0.13299362361431122,0.2064426988363266,0.21096135675907135
total,0.19850242137908936,0.1783313751220703,0.21857476234436035,0.18159881234169006,0.27068960666656494,0.29352495074272156,0.17390605807304382,0.29045331478118896,0.15866148471832275,0.22162707149982452,0.14396025240421295
",",0.3087472915649414,0.24917922914028168,0.2809832692146301,0.4691906273365021,0.4933079481124878,0.26626327633857727,0.2986533045768738,0.4946078956127167,0.2097204476594925,0.26337406039237976,0.31091248989105225
owning,0.31457746028900146,0.184177964925766,0.1742141842842102,0.25570210814476013,0.29914402961730957,0.22098173201084137,0.19007034599781036,0.2877778112888336,0.20329812169075012,0.20323096215724945,0.23171958327293396
or,0.33867141604423523,0.17618951201438904,0.30503612756729126,0.41870999336242676,0.4174870550632477,0.15706036984920502,0.18425631523132324,0.3792596757411957,0.10767780989408493,0.24090826511383057,0.32389625906944275
providing,0.21766136586666107,0.23741646111011505,0.19745320081710815,0.27256250381469727,0.29839932918548584,0.1732238382101059,0.24615073204040527,0.24403119087219238,0.14541544020175934,0.2929397523403168,0.1936793476343155
services,0.16048473119735718,0.27377739548683167,0.1810348480939865,0.2128378003835678,0.2381475418806076,0.23599693179130554,0.30889540910720825,0.23787347972393036,0.20619745552539825,0.44054195284843445,0.1328447163105011
to,0.455847829580307,0.2326623648405075,0.2672896385192871,0.42745086550712585,0.535392165184021,0.18687231838703156,0.24327775835990906,0.41548454761505127,0.1762417107820511,0.21700026094913483,0.29463258385658264
28,-0.2335955947637558,-0.11513176560401917,-0.08145666867494583,-0.1692609190940857,-0.31177106499671936,-0.21088391542434692,-0.050039682537317276,-0.2696417272090912,-0.04468327388167381,-0.16877472400665283,-0.012856917455792427
abc,0.1317344456911087,0.4876510202884674,0.11665991693735123,0.16037321090698242,0.2068762183189392,0.09599892795085907,0.21460629999637604,0.14607268571853638,1.0000001192092896,0.23858611285686493,0.19065172970294952
affiliates,0.13172908127307892,0.33917686343193054,0.2865011394023895,0.10302519798278809,0.1912562996149063,0.257845014333725,0.24157772958278656,0.1803562045097351,0.26733168959617615,0.34138554334640503,0.11092336475849152
and,0.31309178471565247,0.22526025772094727,0.3510662019252777,0.3859752118587494,0.5171257257461548,0.24602696299552917,0.23382140696048737,0.5116966962814331,0.16453155875205994,0.2687023878097534,0.20544172823429108
two,0.23363454639911652,0.1938299685716629,0.28780683875083923,0.2315155267715454,0.43858039379119873,0.17506080865859985,0.14805521070957184,0.37726253271102905,0.15247683227062225,0.25703883171081543,0.19645625352859497
additional,0.20172064006328583,0.16989247500896454,0.18671390414237976,0.1715312898159027,0.2539002597332001,0.1409679800271988,0.2155226767063141,0.2518594264984131,0.1623675376176834,0.22999928891658783,0.24309562146663666
subchannel-only,0.36202189326286316,0.4765452742576599,0.27033111453056335,0.4004402458667755,0.37583857774734497,0.19667208194732666,0.31231746077537537,0.29071205854415894,0.3885034918785095,0.4181337058544159,0.25985485315322876
affiliates,0.13172908127307892,0.33917686343193054,0.2865011394023895,0.10302519798278809,0.1912562996149063,0.257845014333725,0.24157772958278656,0.1803562045097351,0.26733168959617615,0.34138554334640503,0.11092336475849152
;,0.10986888408660889,0.009912485256791115,0.10666380822658539,0.05324986204504967,0.09152708947658539,0.0886458232998848,-0.08624915033578873,0.054534342139959335,-0.0012340332614257932,-0.0050702826119959354,0.10349778085947037
sinclair,0.13678078353405,0.18345536291599274,0.08703901618719101,0.22747954726219177,0.18596287071704865,0.1429101675748825,0.2273387461900711,0.18807722628116608,0.24845848977565765,0.18315404653549194,0.17342320084571838
