,what,type,of,arts,flourished,in,the,yuan,?
in,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.2445804625749588,0.27011770009994507,1.0,0.6662389636039734,0.14850552380084991,0.20430970191955566
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.23374557495117188,0.3080061078071594,0.6662389636039734,1.0,0.2548272907733917,0.22068053483963013
china,0.13832437992095947,0.1468234360218048,0.27699828147888184,0.18541227281093597,0.2822777032852173,0.267821341753006,0.3110525608062744,0.5794417262077332,0.18007943034172058
of,0.33290785551071167,0.18112817406654358,1.0,0.29211288690567017,0.3390863239765167,0.5696388483047485,0.733189046382904,0.22696353495121002,0.1826142966747284
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.23374557495117188,0.3080061078071594,0.6662389636039734,1.0,0.2548272907733917,0.22068053483963013
yuan,0.13503028452396393,0.10084673017263412,0.22696353495121002,0.1424955427646637,0.16283190250396729,0.14850552380084991,0.2548272907733917,1.0,0.12871281802654266
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2528577744960785,0.24501930177211761,0.5201468467712402,0.4933079481124878,0.20958951115608215,0.31091248989105225
or,0.33867141604423523,0.38183850049972534,0.3792596757411957,0.13578090071678162,0.19915854930877686,0.3586423695087433,0.4174870550632477,0.2459961175918579,0.32389625906944275
mongol,0.15870186686515808,0.1309989094734192,0.22712039947509766,0.1582675576210022,0.2772124111652374,0.16958336532115936,0.2924198508262634,0.5039428472518921,0.12849251925945282
era,0.18199029564857483,0.1341303139925003,0.20396220684051514,0.12185647338628769,0.34511038661003113,0.19679902493953705,0.266272634267807,0.17384901642799377,0.14369545876979828
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2528577744960785,0.24501930177211761,0.5201468467712402,0.4933079481124878,0.20958951115608215,0.31091248989105225
various,0.26045072078704834,0.16065464913845062,0.3196488320827484,0.25228947401046753,0.30949103832244873,0.266343355178833,0.3235042691230774,0.16661712527275085,0.12823495268821716
important,0.31164905428886414,0.215251624584198,0.43301743268966675,0.20870284736156464,0.38599956035614014,0.3796374499797821,0.39348116517066956,0.12005564570426941,0.17812499403953552
developments,0.22913794219493866,0.20800712704658508,0.2817978858947754,0.21115894615650177,0.3940669298171997,0.28820812702178955,0.35879647731781006,0.13529153168201447,0.1302815079689026
in,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.2445804625749588,0.27011770009994507,1.0,0.6662389636039734,0.14850552380084991,0.20430970191955566
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.23374557495117188,0.3080061078071594,0.6662389636039734,1.0,0.2548272907733917,0.22068053483963013
arts,0.15975245833396912,0.11199616640806198,0.29211288690567017,1.0000001192092896,0.2389383465051651,0.2445804625749588,0.23374557495117188,0.1424955427646637,0.09471383690834045
occurred,0.22118957340717316,0.18857350945472717,0.31296631693840027,0.06394539773464203,0.3419976532459259,0.3479720652103424,0.3372073173522949,0.17324773967266083,0.15880417823791504
or,0.33867141604423523,0.38183850049972534,0.3792596757411957,0.13578090071678162,0.19915854930877686,0.3586423695087433,0.4174870550632477,0.2459961175918579,0.32389625906944275
continued,0.17878234386444092,0.09478238970041275,0.2527073323726654,0.21480122208595276,0.365267813205719,0.2845509350299835,0.29953038692474365,0.13073308765888214,0.10404038429260254
in,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.2445804625749588,0.27011770009994507,1.0,0.6662389636039734,0.14850552380084991,0.20430970191955566
their,0.35142919421195984,0.14413684606552124,0.4329940676689148,0.1268109530210495,0.28276005387306213,0.34976133704185486,0.516537070274353,0.18182556331157684,0.1898253709077835
development,0.19014155864715576,0.20915132761001587,0.28700894117355347,0.1780381202697754,0.3735346496105194,0.2550492286682129,0.3362044394016266,0.11525894701480865,0.1211358830332756
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2528577744960785,0.24501930177211761,0.5201468467712402,0.4933079481124878,0.20958951115608215,0.31091248989105225
including,0.18328791856765747,0.12051080167293549,0.44195112586021423,0.25778740644454956,0.22634606063365936,0.35857823491096497,0.3738902807235718,0.1715574711561203,0.1633303165435791
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.23374557495117188,0.3080061078071594,0.6662389636039734,1.0,0.2548272907733917,0.22068053483963013
areas,0.23739881813526154,0.17178712785243988,0.2803763747215271,0.20508988201618195,0.3034348487854004,0.33029478788375854,0.3311663568019867,0.0838901549577713,0.1273590475320816
of,0.33290785551071167,0.18112817406654358,1.0,0.29211288690567017,0.3390863239765167,0.5696388483047485,0.733189046382904,0.22696353495121002,0.1826142966747284
painting,0.24190671741962433,0.13352061808109283,0.22635287046432495,0.3513708710670471,0.27480363845825195,0.22482578456401825,0.20519959926605225,0.14231765270233154,0.18062187731266022
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2528577744960785,0.24501930177211761,0.5201468467712402,0.4933079481124878,0.20958951115608215,0.31091248989105225
mathematics,0.23833249509334564,0.07277455180883408,0.24904926121234894,0.3628581762313843,0.1545122265815735,0.2075900435447693,0.17393603920936584,0.13541105389595032,0.1453448086977005
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2528577744960785,0.24501930177211761,0.5201468467712402,0.4933079481124878,0.20958951115608215,0.31091248989105225
calligraphy,0.23220379650592804,0.2869800329208374,0.28780436515808105,0.3025023341178894,0.36881497502326965,0.18647445738315582,0.220450296998024,0.32099664211273193,0.19383898377418518
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2528577744960785,0.24501930177211761,0.5201468467712402,0.4933079481124878,0.20958951115608215,0.31091248989105225
