,what,type,of,conservation,include,providing,advice,on,the,handling,of,items,?
areas,0.23739881813526154,0.17178712785243988,0.2803763747215271,0.3316267132759094,0.24348966777324677,0.3162316679954529,0.16546891629695892,0.25179940462112427,0.3311663568019867,0.19330719113349915,0.2803763747215271,0.3192080557346344,0.1273590475320816
covered,0.24682468175888062,0.20675866305828094,0.28798651695251465,0.1698600947856903,0.25550293922424316,0.2372409701347351,0.149931401014328,0.3599720597267151,0.3132939636707306,0.19232971966266632,0.28798651695251465,0.21225333213806152,0.139833465218544
by,0.2455483376979828,0.15232881903648376,0.3646814823150635,0.19771774113178253,0.24257268011569977,0.26217615604400635,0.14744728803634644,0.33887791633605957,0.4408751428127289,0.19391384720802307,0.3646814823150635,0.19412761926651,0.17966607213020325
conservator,0.1384488046169281,0.13022293150424957,0.2262362241744995,0.6881660223007202,0.10240995138883591,0.13176658749580383,0.21038277447223663,0.19502177834510803,0.24080626666545868,0.14058834314346313,0.2262362241744995,0.07931903749704361,0.09102696925401688
's,0.02692362666130066,0.05257158726453781,-0.03817026689648628,0.004845086485147476,-0.07849370688199997,-0.042589202523231506,0.008029541932046413,0.0026888418942689896,-0.01540423184633255,-0.029855627566576004,-0.03817026689648628,0.075004942715168,-0.023395681753754616
work,0.3762225806713104,0.2277381420135498,0.23473061621189117,0.3332507908344269,0.214955672621727,0.35012727975845337,0.31994470953941345,0.26663315296173096,0.2704800069332123,0.2992537319660187,0.23473061621189117,0.2325393408536911,0.2621155381202698
include,0.1535889357328415,0.20810997486114502,0.37431180477142334,0.17541679739952087,1.0,0.2370738983154297,0.15981805324554443,0.2332274466753006,0.2951717972755432,0.23079518973827362,0.37431180477142334,0.2772357165813446,0.14925788342952728
``,0.008517155423760414,0.03534303233027458,0.06780257821083069,-0.05680035054683685,-0.0020322874188423157,-0.008708976209163666,0.01133119035512209,-0.03274054825305939,0.029072100296616554,0.05901051312685013,0.06780257821083069,-0.018167367205023766,0.0685480609536171
preventive,0.31471678614616394,0.17810755968093872,0.28949329257011414,0.29993578791618347,0.21059823036193848,0.5077114105224609,0.3208591938018799,0.2159830629825592,0.279318243265152,0.3883233070373535,0.28949329257011414,0.19289931654930115,0.30507078766822815
'',0.08143015950918198,0.054222505539655685,0.13035868108272552,-0.006741742137819529,0.037203479558229446,-0.033388227224349976,0.07361817359924316,0.04238596186041832,0.041273195296525955,-0.0576862171292305,0.13035868108272552,0.04304955154657364,0.018684765323996544
