,what,does,the,internal,cavity,contain,?
the,0.42745697498321533,0.35928019881248474,1.0,0.24764955043792725,0.3135981261730194,0.26383090019226074,0.22068053483963013
internal,0.2065390944480896,0.1944301724433899,0.24764955043792725,1.0,0.31765538454055786,0.287123441696167,0.1665428727865219
cavity,0.21633920073509216,0.1917799860239029,0.3135981261730194,0.31765538454055786,0.9999999403953552,0.2728746831417084,0.16966374218463898
forms,0.16334041953086853,0.3104206919670105,0.2950737178325653,0.22164854407310486,0.26815539598464966,0.31029561161994934,0.1196754202246666
:,-0.12022944539785385,-0.11934193223714828,-0.03403344005346298,-0.0368206687271595,-0.12355906516313553,-0.12136782705783844,-0.07156077772378922
a,0.3320399522781372,0.38201746344566345,0.5829201340675354,0.25449109077453613,0.22175826132297516,0.23510922491550446,0.23916715383529663
mouth,0.18337541818618774,0.21820485591888428,0.3073960244655609,0.13959582149982452,0.4833231270313263,0.09419451653957367,0.21761061251163483
that,0.6297725439071655,0.4764937460422516,0.5473989248275757,0.2654999792575836,0.2669726312160492,0.36020758748054504,0.32716336846351624
can,0.34502777457237244,0.5156301856040955,0.312528520822525,0.24788330495357513,0.322445809841156,0.382681280374527,0.3226337134838104
usually,0.32521089911460876,0.3977598547935486,0.36782920360565186,0.28378748893737793,0.2879016101360321,0.41762229800224304,0.19435347616672516
be,0.3929833769798279,0.28696945309638977,0.4248143136501312,0.1929619163274765,0.19131308794021606,0.4570501148700714,0.3324260413646698
closed,0.1689339131116867,0.17437559366226196,0.2359541952610016,0.17583207786083221,0.2014695405960083,0.23417089879512787,0.15595348179340363
by,0.2455483376979828,0.143477201461792,0.4408751428127289,0.16261973977088928,0.16675138473510742,0.19216567277908325,0.17966607213020325
muscles,0.2155923992395401,0.27072080969810486,0.25795117020606995,0.34390968084335327,0.5496944785118103,0.2154403030872345,0.15752418339252472
;,0.10986888408660889,0.0650511160492897,0.09152708947658539,0.019078031182289124,-0.000699430238455534,0.08701131492853165,0.10349778085947037
a,0.3320399522781372,0.38201746344566345,0.5829201340675354,0.25449109077453613,0.22175826132297516,0.23510922491550446,0.23916715383529663
pharynx,0.24592235684394836,0.25885331630706787,0.3495643436908722,0.30397385358810425,0.6456170678138733,0.2699151635169983,0.19402775168418884
(,0.2411840260028839,0.2728188931941986,0.33289089798927307,0.1792517900466919,0.16929170489311218,0.18010157346725464,0.40561532974243164
``,0.008517155423760414,0.06539655476808548,0.029072100296616554,0.14901860058307648,0.10916517674922943,0.008403251878917217,0.0685480609536171
