,what,contributed,to,the,decreased,inequality,between,trained,and,untrained,workers,?
this,0.5489566326141357,0.32355841994285583,0.5759071707725525,0.6274310946464539,0.268371045589447,0.285918265581131,0.29040461778640747,0.176491841673851,0.42353692650794983,0.2925496995449066,0.21470068395137787,0.3155723512172699
decrease,0.20072416961193085,0.28265273571014404,0.2792290449142456,0.2781965136528015,0.8924605846405029,0.3187161982059479,0.2296943962574005,0.07663436979055405,0.21722403168678284,0.23965252935886383,0.14394024014472961,0.08518534898757935
in,0.30808621644973755,0.2594258189201355,0.45010748505592346,0.6662389636039734,0.22973182797431946,0.19402410089969635,0.41100412607192993,0.22047798335552216,0.4954058527946472,0.26641255617141724,0.2254374474287033,0.20430970191955566
wages,0.20351257920265198,0.22338899970054626,0.24337364733219147,0.15546856820583344,0.36346811056137085,0.4485587477684021,0.23426558077335358,0.25304579734802246,0.2664845883846283,0.3178165853023529,0.5291796326637268,0.19884631037712097
caused,0.22264783084392548,0.3523327112197876,0.2414499819278717,0.24990202486515045,0.3755743205547333,0.19065190851688385,0.29208576679229736,0.1407926380634308,0.2892237603664398,0.32399675250053406,0.17852729558944702,0.20679491758346558
a,0.3320399522781372,0.24738897383213043,0.45503583550453186,0.5829201340675354,0.19123229384422302,0.1783585250377655,0.29385313391685486,0.2291668951511383,0.3739250600337982,0.25132402777671814,0.25033822655677795,0.23916715383529663
period,0.24507179856300354,0.2563777565956116,0.24346192181110382,0.3125074505805969,0.26922115683555603,0.17890511453151703,0.2825007140636444,0.10579925030469894,0.23878438770771027,0.15279419720172882,0.1495899111032486,0.18706195056438446
of,0.33290785551071167,0.29837220907211304,0.41548454761505127,0.733189046382904,0.2523523271083832,0.27910974621772766,0.3737983703613281,0.17385481297969818,0.5116966962814331,0.25637882947921753,0.20827822387218475,0.1826142966747284
compression,0.23375190794467926,0.21779575943946838,0.2348061203956604,0.24867193400859833,0.33680811524391174,0.33879923820495605,0.16630549728870392,0.13058552145957947,0.19845055043697357,0.2890412509441376,0.1260756403207779,0.18572697043418884
and,0.31309178471565247,0.2908022403717041,0.48971283435821533,0.5171257257461548,0.23818784952163696,0.2590520679950714,0.40645647048950195,0.2759492099285126,1.0,0.35395896434783936,0.22632038593292236,0.20544172823429108
decreased,0.17693571746349335,0.36324793100357056,0.22956815361976624,0.27965670824050903,1.0000001192092896,0.31545016169548035,0.24393899738788605,0.14783769845962524,0.23818784952163696,0.3199659585952759,0.185878187417984,0.08292442560195923
inequality,0.30072227120399475,0.2292325347661972,0.24361056089401245,0.23508106172084808,0.31545016169548035,1.0000001192092896,0.29772037267684937,0.10799676179885864,0.2590520679950714,0.24934625625610352,0.3051680624485016,0.23619021475315094
between,0.2462156116962433,0.15916991233825684,0.3639189600944519,0.39067012071609497,0.24393899738788605,0.29772037267684937,0.9999999403953552,0.17799201607704163,0.40645647048950195,0.23109681904315948,0.14504988491535187,0.12887074053287506
skilled,0.23161742091178894,0.2767896354198456,0.22250553965568542,0.15767402946949005,0.210549458861351,0.2507544457912445,0.140970841050148,0.5106948614120483,0.29733091592788696,0.40169185400009155,0.2864622473716736,0.1555546671152115
and,0.31309178471565247,0.2908022403717041,0.48971283435821533,0.5171257257461548,0.23818784952163696,0.2590520679950714,0.40645647048950195,0.2759492099285126,1.0,0.35395896434783936,0.22632038593292236,0.20544172823429108
unskilled,0.22583582997322083,0.2861907184123993,0.2599128186702728,0.2347663789987564,0.311802476644516,0.32247087359428406,0.19037620723247528,0.4547863006591797,0.3121788799762726,0.49313127994537354,0.41951197385787964,0.17135822772979736
workers,0.21390831470489502,0.18582472205162048,0.2307046800851822,0.23066683113574982,0.185878187417984,0.3051680624485016,0.14504988491535187,0.2658121883869171,0.22632038593292236,0.264415979385376,1.0000001192092896,0.1706571877002716
.,0.3567904531955719,0.25505968928337097,0.4645031690597534,0.5934505462646484,0.22701291739940643,0.22563500702381134,0.30295518040657043,0.2017226666212082,0.588965117931366,0.2569986879825592,0.17509925365447998,0.4130953550338745
