,where,were,french,north,americans,settled,?
the,0.5003893971443176,0.3906462490558624,0.2555147111415863,0.36298373341560364,0.3275100290775299,0.29293251037597656,0.22068053483963013
french,0.17587623000144958,0.22002479434013367,1.0000001192092896,0.14223402738571167,0.2934901714324951,0.15523318946361542,0.1386883556842804
population,0.1827353984117508,0.17721828818321228,0.16878677904605865,0.27665644884109497,0.2938688099384308,0.36041906476020813,0.14449454843997955
numbered,0.23266787827014923,0.3299552798271179,0.10063035786151886,0.17977659404277802,0.18260036408901215,0.12309523671865463,0.20463265478610992
about,0.3108544647693634,0.29814305901527405,0.1707664281129837,0.24974049627780914,0.2465028464794159,0.2546132504940033,0.302409827709198
"75,000",-0.009724280796945095,-0.001827124273404479,0.05676037445664406,0.10619734227657318,0.09137585759162903,0.05799824744462967,0.026292284950613976
and,0.43859338760375977,0.42175528407096863,0.32751965522766113,0.2776443064212799,0.27944788336753845,0.25537189841270447,0.20544172823429108
was,0.20731619000434875,0.590133786201477,0.2523815333843231,0.29020047187805176,0.28990358114242554,0.3104991912841797,0.18412111699581146
heavily,0.21773716807365417,0.28229883313179016,0.17115521430969238,0.12851184606552124,0.2698174715042114,0.18015187978744507,0.1724066138267517
concentrated,0.27967604994773865,0.24565736949443817,0.12643800675868988,0.17195402085781097,0.19329819083213806,0.24396777153015137,0.11501483619213104
along,0.3530636131763458,0.30671337246894836,0.08793354034423828,0.28480100631713867,0.18177185952663422,0.2121213674545288,0.17134909331798553
the,0.5003893971443176,0.3906462490558624,0.2555147111415863,0.36298373341560364,0.3275100290775299,0.29293251037597656,0.22068053483963013
st.,0.21031931042671204,0.13992512226104736,0.16073863208293915,0.19807133078575134,0.05524386465549469,0.07930020242929459,0.13592876493930817
lawrence,0.24223731458187103,0.16789938509464264,0.20269858837127686,0.17818567156791687,0.14309455454349518,0.16650688648223877,0.1681434065103531
river,0.1886204034090042,0.1080881804227829,0.14718952775001526,0.3617013692855835,0.19434288144111633,0.27442502975463867,0.15390869975090027
valley,0.25941726565361023,0.14935101568698883,0.08975742012262344,0.34153690934181213,0.19994015991687775,0.24066151678562164,0.11486150324344635
",",0.3149496018886566,0.36755475401878357,0.28806620836257935,0.31834840774536133,0.2545861303806305,0.32133597135543823,0.31091248989105225
with,0.4142743945121765,0.3179011940956116,0.1637353003025055,0.185934916138649,0.23704731464385986,0.19451451301574707,0.2433311939239502
some,0.39480453729629517,0.4592604339122772,0.20150943100452423,0.18648658692836761,0.2894788682460785,0.2546985149383545,0.2562315762042999
also,0.5413004159927368,0.31877249479293823,0.24775905907154083,0.24276778101921082,0.2936237156391144,0.2071787416934967,0.21848613023757935
in,0.5344807505607605,0.3815755248069763,0.22093388438224792,0.39050599932670593,0.24953381717205048,0.30584418773651123,0.20430970191955566
acadia,0.1853722482919693,0.1719776690006256,0.31300926208496094,0.32672974467277527,0.23670218884944916,0.2965220510959625,0.05178680270910263
