,what,is,restrained,with,a,lever,in,the,top,of,a,boiler,?
such,0.23989605903625488,0.23545363545417786,0.2872524559497833,0.3346101939678192,0.2706976532936096,0.1916879564523697,0.2704046070575714,0.3575236201286316,0.18223270773887634,0.3209529519081116,0.2706976532936096,0.21537752449512482,0.17851735651493073
safety,0.1898718774318695,0.15942081809043884,0.27903348207473755,0.2208736687898636,0.18158207833766937,0.2334282249212265,0.182920441031456,0.25972458720207214,0.17144013941287994,0.18446403741836548,0.18158207833766937,0.267792671918869,0.1443338692188263
valves,0.21307212114334106,0.22393418848514557,0.2677447497844696,0.2232566922903061,0.2422410100698471,0.3666936159133911,0.12331581115722656,0.23917143046855927,0.17346535623073578,0.18978291749954224,0.2422410100698471,0.33336034417152405,0.1826052963733673
traditionally,0.22366398572921753,0.33712470531463623,0.2513737082481384,0.2947584390640259,0.3184170722961426,0.08702430874109268,0.31378570199012756,0.32626137137413025,0.20260651409626007,0.31117507815361023,0.3184170722961426,0.11616884917020798,0.10789176821708679
used,0.27546408772468567,0.3288823366165161,0.32354575395584106,0.3047430217266083,0.3864384889602661,0.21989957988262177,0.3090210556983948,0.3718377649784088,0.18761134147644043,0.3075267970561981,0.3864384889602661,0.2350785881280899,0.22430120408535004
a,0.3320399522781372,0.658733606338501,0.22489185631275177,0.3783375024795532,1.0,0.3004299998283386,0.539380669593811,0.5829201340675354,0.2422690987586975,0.5052502155303955,1.0,0.2275201976299286,0.23916715383529663
simple,0.4218197166919708,0.29377081990242004,0.23814091086387634,0.2723137438297272,0.34160614013671875,0.22986283898353577,0.18105459213256836,0.24738673865795135,0.24668337404727936,0.23205730319023132,0.34160614013671875,0.2194601148366928,0.4614735543727875
lever,0.20447008311748505,0.20557913184165955,0.25948768854141235,0.226790651679039,0.3004299998283386,0.9999998807907104,0.16523650288581848,0.21858155727386475,0.2527506351470947,0.1296941339969635,0.3004299998283386,0.3743447959423065,0.15690237283706665
to,0.455847829580307,0.42745086550712585,0.3326737582683563,0.4239959120750427,0.45503583550453186,0.22961865365505219,0.45010748505592346,0.535392165184021,0.20897358655929565,0.41548454761505127,0.45503583550453186,0.18706591427326202,0.29463258385658264
restrain,0.2651391923427582,0.11066941916942596,0.809255838394165,0.2931593358516693,0.22939738631248474,0.3320293128490448,0.18327532708644867,0.24991649389266968,0.16330882906913757,0.24058592319488525,0.22939738631248474,0.2903161346912384,0.15673117339611053
a,0.3320399522781372,0.658733606338501,0.22489185631275177,0.3783375024795532,1.0,0.3004299998283386,0.539380669593811,0.5829201340675354,0.2422690987586975,0.5052502155303955,1.0,0.2275201976299286,0.23916715383529663
plug,0.23678576946258545,0.21728534996509552,0.172782301902771,0.16076837480068207,0.2393636554479599,0.3546063005924225,0.11077767610549927,0.23200741410255432,0.2133239209651947,0.13498878479003906,0.2393636554479599,0.35947731137275696,0.23661160469055176
valve,0.20161333680152893,0.19948938488960266,0.1816360503435135,0.2250760942697525,0.24269413948059082,0.3424908220767975,0.1291256695985794,0.22700907289981842,0.194248229265213,0.18834803998470306,0.24269413948059082,0.35554614663124084,0.19203683733940125
in,0.30808621644973755,0.5394441485404968,0.20144441723823547,0.4080928862094879,0.539380669593811,0.16523650288581848,1.0,0.6662389636039734,0.2235720455646515,0.5696388483047485,0.539380669593811,0.25116536021232605,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,0.24833732843399048,0.4223487675189972,0.5829201340675354,0.21858155727386475,0.6662389636039734,1.0,0.31754136085510254,0.733189046382904,0.5829201340675354,0.2309672236442566,0.22068053483963013
top,0.21232028305530548,0.17102722823619843,0.16330654919147491,0.23125949501991272,0.2422690987586975,0.2527506351470947,0.2235720455646515,0.31754136085510254,1.0000001192092896,0.20362378656864166,0.2422690987586975,0.27815839648246765,0.17265194654464722
of,0.33290785551071167,0.4854315221309662,0.2571749985218048,0.41827285289764404,0.5052502155303955,0.1296941339969635,0.5696388483047485,0.733189046382904,0.20362378656864166,1.0,0.5052502155303955,0.16447360813617706,0.1826142966747284
a,0.3320399522781372,0.658733606338501,0.22489185631275177,0.3783375024795532,1.0,0.3004299998283386,0.539380669593811,0.5829201340675354,0.2422690987586975,0.5052502155303955,1.0,0.2275201976299286,0.23916715383529663
boiler,0.23551298677921295,0.14713223278522491,0.2453935593366623,0.21075351536273956,0.2275201976299286,0.3743447959423065,0.25116536021232605,0.2309672236442566,0.27815839648246765,0.16447360813617706,0.2275201976299286,0.9999999403953552,0.20881007611751556
.,0.3567904531955719,0.4569662809371948,0.2142486274242401,0.4446153938770294,0.50484299659729,0.19497139751911163,0.5591574311256409,0.5934505462646484,0.3064132034778595,0.5352458953857422,0.50484299659729,0.23300080001354218,0.4130953550338745
