,what,relationship,with,israel,is,sadat,for,?
egyptian,0.15441232919692993,0.12427771836519241,0.11917497962713242,0.37119296193122864,0.15807108581066132,0.43741893768310547,0.17144131660461426,0.14169205725193024
president,0.1870913952589035,0.11491621285676956,0.14994901418685913,0.2633418142795563,0.15443938970565796,0.4745725095272064,0.17469504475593567,0.14148259162902832
anwar,0.18555589020252228,0.24438266456127167,0.21164454519748688,0.3548985719680786,0.15475192666053772,0.6807706356048584,0.18802769482135773,0.2032770961523056
sadat,0.19806301593780518,0.16616180539131165,0.15747910737991333,0.4157402813434601,0.1532515436410904,0.9999999403953552,0.24794068932533264,0.2286619395017624
–,0.13008765876293182,0.16507600247859955,0.18760459125041962,0.11311445385217667,0.1436920464038849,0.30356717109680176,0.2408909648656845,0.2714554965496063
whose,0.22831642627716064,0.24541720747947693,0.3480498492717743,0.15873584151268005,0.26491984724998474,0.1771847903728485,0.22978365421295166,0.16990536451339722
policies,0.37312451004981995,0.23939424753189087,0.18950343132019043,0.16183990240097046,0.1406831294298172,0.2498268336057663,0.2570570409297943,0.2969106435775757
included,0.2288810908794403,0.13873496651649475,0.329644113779068,0.11827848106622696,0.23363345861434937,0.15667960047721863,0.3889397978782654,0.14385655522346497
opening,0.18146683275699615,0.13573046028614044,0.20575091242790222,0.13285893201828003,0.1926470547914505,0.1495298445224762,0.2649282217025757,0.16502447426319122
egypt,0.1976596713066101,0.13689857721328735,0.16734418272972107,0.46510323882102966,0.16368485987186432,0.50239098072052,0.17121455073356628,0.17769601941108704
to,0.455847829580307,0.25194117426872253,0.4239959120750427,0.182975634932518,0.42745086550712585,0.16968092322349548,0.4451248347759247,0.29463258385658264
western,0.2454150915145874,0.12300797551870346,0.2322099357843399,0.20457598567008972,0.2572968304157257,0.2102317363023758,0.15054884552955627,0.17439141869544983
investment,0.21795563399791718,0.2564917802810669,0.14308218657970428,0.1812041997909546,0.22608432173728943,0.2642606198787689,0.2421431541442871,0.17811161279678345
(,0.2411840260028839,0.15291789174079895,0.29503780603408813,0.09258992969989777,0.35393038392066956,0.19498813152313232,0.3357032239437103,0.40561532974243164
infitah,0.2616238594055176,0.22862471640110016,0.24126674234867096,0.40079212188720703,0.16440078616142273,0.4295772910118103,0.22734728455543518,0.20328617095947266
),0.26259949803352356,0.16473416984081268,0.3069596290588379,0.09583352506160736,0.37732169032096863,0.2189616709947586,0.3639558255672455,0.42300865054130554
;,0.10986888408660889,0.08337178826332092,0.12944702804088593,0.08014114946126938,0.05324986204504967,-0.032308969646692276,0.0293948445469141,0.10349778085947037
transferring,0.2779305875301361,0.2455361932516098,0.25187239050865173,0.13109087944030762,0.24914954602718353,0.133295476436615,0.32367587089538574,0.17889004945755005
egypt,0.1976596713066101,0.13689857721328735,0.16734418272972107,0.46510323882102966,0.16368485987186432,0.50239098072052,0.17121455073356628,0.17769601941108704
's,0.02692362666130066,-0.04484357684850693,-0.04624466598033905,-0.03163225203752518,0.02396530658006668,-0.013392134569585323,-0.07241261005401611,-0.023395681753754616
