,to,what,extent,did,fermat,confirm,the,validity,of,fermat,numbers,?
fermat,0.17767852544784546,0.21418137848377228,0.0789320319890976,0.17491422593593597,1.0000001192092896,0.21422840654850006,0.20773477852344513,0.2754746973514557,0.19480057060718536,1.0000001192092896,0.35297852754592896,0.19266122579574585
also,0.5348826050758362,0.42747777700424194,0.2726883292198181,0.39334940910339355,0.2307804971933365,0.2452041208744049,0.6021018624305725,0.2230227142572403,0.4924938678741455,0.2307804971933365,0.2499070018529892,0.21848613023757935
conjectured,0.14125356078147888,0.24757727980613708,0.1866213083267212,0.2081182301044464,0.5243617296218872,0.28399336338043213,0.1689261645078659,0.3477363884449005,0.2096056193113327,0.5243617296218872,0.28727102279663086,0.2194962203502655
that,0.5436353087425232,0.6297725439071655,0.3597891628742218,0.47518548369407654,0.2800214886665344,0.3934524655342102,0.5473989248275757,0.41268202662467957,0.41498205065727234,0.2800214886665344,0.342125803232193,0.32716336846351624
all,0.42520734667778015,0.41981086134910583,0.2962070405483246,0.33943864703178406,0.15680359303951263,0.2641187012195587,0.4860881567001343,0.2628397047519684,0.42798417806625366,0.15680359303951263,0.35674673318862915,0.29575422406196594
numbers,0.29515770077705383,0.24586999416351318,0.2615017294883728,0.20272064208984375,0.35297852754592896,0.2024783045053482,0.293011337518692,0.3081059157848358,0.228018656373024,0.35297852754592896,1.0,0.19297972321510315
of,0.41548454761505127,0.33290785551071167,0.31072598695755005,0.2513895630836487,0.19480057060718536,0.2521459758281708,0.733189046382904,0.24193468689918518,1.0,0.19480057060718536,0.228018656373024,0.1826142966747284
the,0.535392165184021,0.42745697498321533,0.2727625370025635,0.34736719727516174,0.20773477852344513,0.27139049768447876,1.0,0.22486650943756104,0.733189046382904,0.20773477852344513,0.293011337518692,0.22068053483963013
form,0.2772196829319,0.15868011116981506,0.24550864100456238,0.18086659908294678,0.20634332299232483,0.13417910039424896,0.29286009073257446,0.19817712903022766,0.29600051045417786,0.20634332299232483,0.22903932631015778,0.1463010311126709
22n,-0.1607443392276764,-0.0897146463394165,-0.04218928515911102,-0.11283280700445175,0.17759573459625244,0.04654032364487648,-0.10938963294029236,0.05839722603559494,-0.04971498250961304,0.17759573459625244,-0.010934998281300068,0.14890536665916443
+,0.1585809290409088,0.1158081665635109,0.16314803063869476,0.1297273337841034,0.23160122334957123,0.18975739181041718,0.12941905856132507,0.14648723602294922,0.14862146973609924,0.23160122334957123,0.28473323583602905,0.2903686463832855
