,why,was,this,short,termed,organization,created,?
in,0.23227278888225555,0.45514053106307983,0.45205554366111755,0.26193615794181824,0.23346757888793945,0.2513086795806885,0.2843434810638428,0.20430970191955566
1973,-0.19607025384902954,-0.1900326907634735,-0.2269694209098816,-0.034814637154340744,-0.0778512954711914,-0.12827269732952118,-0.09662361443042755,-0.07644321769475937
",",0.2827242314815521,0.45456063747406006,0.4316047728061676,0.311238169670105,0.18856148421764374,0.1819751113653183,0.2755771577358246,0.31091248989105225
nixon,0.21098849177360535,0.20094674825668335,0.1911357194185257,0.15839636325836182,0.08112038671970367,0.14050564169883728,0.07574819773435593,0.18047039210796356
named,0.20064528286457062,0.37528327107429504,0.2266731709241867,0.15257978439331055,0.13312163949012756,0.15271946787834167,0.33366113901138306,0.1297498345375061
william,0.1383371651172638,0.28444796800613403,0.14386652410030365,0.1855180561542511,0.11410018056631088,0.13367140293121338,0.1416419893503189,0.14462219178676605
e.,0.030979327857494354,0.04124482721090317,0.04401832073926926,-0.049164969474077225,-0.002867292147129774,0.008490040898323059,0.05490881949663162,0.04848470166325569
simon,0.1377016305923462,0.1887473315000534,0.12696991860866547,0.15397338569164276,0.10867103934288025,0.13515391945838928,0.14368514716625214,0.10385744273662567
as,0.3103298544883728,0.3677520453929901,0.43993282318115234,0.20446330308914185,0.22891250252723694,0.24784187972545624,0.25030744075775146,0.27043893933296204
the,0.30742117762565613,0.48711544275283813,0.6274310946464539,0.29603123664855957,0.26657095551490784,0.311172217130661,0.3539263904094696,0.22068053483963013
first,0.21323956549167633,0.5022147297859192,0.41690850257873535,0.2438122183084488,0.21346785128116608,0.2089657038450241,0.32392561435699463,0.18701928853988647
administrator,0.23369857668876648,0.26034414768218994,0.2879053056240082,0.10716768354177475,0.08446560055017471,0.21656399965286255,0.21842974424362183,0.2915230691432953
of,0.28464117646217346,0.4069072902202606,0.45148900151252747,0.2761780321598053,0.23425649106502533,0.25438958406448364,0.32043445110321045,0.1826142966747284
the,0.30742117762565613,0.48711544275283813,0.6274310946464539,0.29603123664855957,0.26657095551490784,0.311172217130661,0.3539263904094696,0.22068053483963013
federal,0.16199146211147308,0.23023395240306854,0.1937854290008545,0.19431178271770477,0.1961953490972519,0.27786585688591003,0.1525861620903015,0.1812247931957245
energy,0.2028510570526123,0.15364649891853333,0.24117910861968994,0.13883471488952637,0.23165959119796753,0.2441999316215515,0.18346628546714783,0.14860127866268158
office,0.09107764065265656,0.3002835810184479,0.1731400340795517,0.14206808805465698,0.1463245004415512,0.27800706028938293,0.15045012533664703,0.16497313976287842
",",0.2827242314815521,0.45456063747406006,0.4316047728061676,0.311238169670105,0.18856148421764374,0.1819751113653183,0.2755771577358246,0.31091248989105225
a,0.2667238116264343,0.4508470594882965,0.5422310829162598,0.39202192425727844,0.31132349371910095,0.2565373480319977,0.30777761340141296,0.23916715383529663
short-term,0.3221045434474945,0.2717204988002777,0.43398967385292053,0.6368116140365601,0.46864214539527893,0.3339451253414154,0.2665972411632538,0.23832911252975464
organization,0.192666694521904,0.20457664132118225,0.28337109088897705,0.10447124391794205,0.18903683125972748,1.0000001192092896,0.22262372076511383,0.2069297879934311
created,0.24139124155044556,0.3592788577079773,0.31965404748916626,0.16965387761592865,0.13533024489879608,0.22262372076511383,1.0,0.21177415549755096
to,0.4100138247013092,0.3636345863342285,0.5759071707725525,0.25023147463798523,0.23832596838474274,0.26166829466819763,0.2592601478099823,0.29463258385658264
coordinate,0.18431630730628967,0.0518430694937706,0.24550630152225494,0.14085844159126282,0.1669204980134964,0.25129470229148865,0.13023892045021057,0.2085915356874466
the,0.30742117762565613,0.48711544275283813,0.6274310946464539,0.29603123664855957,0.26657095551490784,0.311172217130661,0.3539263904094696,0.22068053483963013
response,0.28092360496520996,0.2303798496723175,0.37390729784965515,0.13683651387691498,0.21843741834163666,0.17022079229354858,0.17326374351978302,0.2007838636636734
to,0.4100138247013092,0.3636345863342285,0.5759071707725525,0.25023147463798523,0.23832596838474274,0.26166829466819763,0.2592601478099823,0.29463258385658264
the,0.30742117762565613,0.48711544275283813,0.6274310946464539,0.29603123664855957,0.26657095551490784,0.311172217130661,0.3539263904094696,0.22068053483963013
embargo,0.16918177902698517,0.09949713945388794,0.29120132327079773,0.10627123713493347,0.18654455244541168,0.2883940637111664,0.07493983209133148,0.21724076569080353
.,0.32909876108169556,0.40146201848983765,0.500583827495575,0.2740369439125061,0.13457205891609192,0.20656518638134003,0.3230568766593933,0.4130953550338745
