,how,does,the,d-loop,finish,replicating,?
as,0.33782753348350525,0.31202155351638794,0.48381632566452026,0.21927745640277863,0.197872132062912,0.2484353631734848,0.27043893933296204
the,0.33890387415885925,0.35928019881248474,1.0,0.24095092713832855,0.23846492171287537,0.2896326780319214,0.22068053483963013
d-loop,0.24141915142536163,0.16480229794979095,0.24095092713832855,0.9999998807907104,0.21555714309215546,0.14846675097942352,0.23209285736083984
moves,0.2772510051727295,0.26055991649627686,0.3217451572418213,0.22780242562294006,0.16599498689174652,0.20246310532093048,0.22897186875343323
through,0.2704794108867645,0.21495459973812103,0.44071322679519653,0.2658413350582123,0.13734474778175354,0.22930113971233368,0.16913433372974396
the,0.33890387415885925,0.35928019881248474,1.0,0.24095092713832855,0.23846492171287537,0.2896326780319214,0.22068053483963013
circular,0.22137777507305145,0.17794103920459747,0.281954824924469,0.30332526564598083,0.17994673550128937,0.33477017283439636,0.11291391402482986
dna,0.20989857614040375,0.17757323384284973,0.19235704839229584,0.17409920692443848,0.18404626846313477,0.5255842208862305,0.1548636108636856
",",0.22659391164779663,0.28617382049560547,0.4933079481124878,0.19608555734157562,0.23325271904468536,0.22871632874011993,0.31091248989105225
it,0.36714982986450195,0.34188351035118103,0.6251175999641418,0.24140818417072296,0.25471457839012146,0.20808812975883484,0.25732165575027466
adopts,0.13833892345428467,0.24379751086235046,0.2880178391933441,0.1372765600681305,0.10290253162384033,0.19422435760498047,0.1470593363046646
a,0.29312583804130554,0.38201746344566345,0.5829201340675354,0.2449972927570343,0.27042049169540405,0.30593276023864746,0.23916715383529663
theta,0.17233820259571075,0.18083320558071136,0.2262166142463684,0.2809599041938782,0.14436063170433044,0.20064860582351685,0.17596326768398285
intermediary,0.19242598116397858,0.19028469920158386,0.3020869493484497,0.22353798151016235,0.14540798962116241,0.3992901146411896,0.1413000077009201
form,0.1948026418685913,0.26710256934165955,0.29286009073257446,0.10903030633926392,0.1822383999824524,0.2788940668106079,0.1463010311126709
",",0.22659391164779663,0.28617382049560547,0.4933079481124878,0.19608555734157562,0.23325271904468536,0.22871632874011993,0.31091248989105225
also,0.43506327271461487,0.4118025600910187,0.6021018624305725,0.20149993896484375,0.22247859835624695,0.26559552550315857,0.21848613023757935
known,0.16194356977939606,0.24860821664333344,0.3624623417854309,0.1308218538761139,0.09827139973640442,0.21079444885253906,0.18314571678638458
as,0.33782753348350525,0.31202155351638794,0.48381632566452026,0.21927745640277863,0.197872132062912,0.2484353631734848,0.27043893933296204
a,0.29312583804130554,0.38201746344566345,0.5829201340675354,0.2449972927570343,0.27042049169540405,0.30593276023864746,0.23916715383529663
cairns,0.19669586420059204,0.1844203770160675,0.20943382382392883,0.21482686698436737,0.1256221979856491,0.1301838755607605,0.09319575130939484
replication,0.25632908940315247,0.25218117237091064,0.30478328466415405,0.18134717643260956,0.15471304953098297,0.8852123618125916,0.1812686026096344
intermediate,0.19318947196006775,0.21320046484470367,0.31626471877098083,0.1308637410402298,0.1603303849697113,0.3803156018257141,0.11814447492361069
",",0.22659391164779663,0.28617382049560547,0.4933079481124878,0.19608555734157562,0.23325271904468536,0.22871632874011993,0.31091248989105225
and,0.33647966384887695,0.3461615741252899,0.5171257257461548,0.2037063091993332,0.21416880190372467,0.22435392439365387,0.20544172823429108
completes,0.2189120650291443,0.2396390289068222,0.3362879753112793,0.15605440735816956,0.43481165170669556,0.260176420211792,0.034475307911634445
replication,0.25632908940315247,0.25218117237091064,0.30478328466415405,0.18134717643260956,0.15471304953098297,0.8852123618125916,0.1812686026096344
with,0.3525622487068176,0.26186925172805786,0.4223487675189972,0.16601444780826569,0.22121065855026245,0.27667316794395447,0.2433311939239502
a,0.29312583804130554,0.38201746344566345,0.5829201340675354,0.2449972927570343,0.27042049169540405,0.30593276023864746,0.23916715383529663
rolling,0.21479357779026031,0.15609213709831238,0.2699836790561676,0.2977355718612671,0.19312341511249542,0.1895313411951065,0.1866474598646164
circle,0.16854920983314514,0.09987574815750122,0.22970527410507202,0.26013505458831787,0.11840315908193588,0.15064649283885956,0.08528484404087067
mechanism,0.31148314476013184,0.23931892216205597,0.24941077828407288,0.18411730229854584,0.14639265835285187,0.41571420431137085,0.1732848435640335
.,0.3287222981452942,0.3022993505001068,0.5934505462646484,0.24110370874404907,0.20195505023002625,0.2545683681964874,0.4130953550338745
