,when,did,astor,provide,the,money,?
in,0.4431333839893341,0.2593238651752472,0.21867625415325165,0.1910654902458191,0.6662389636039734,0.2393328845500946,0.20430970191955566
1899,-0.035124603658914566,0.02170962281525135,-0.14866529405117035,-0.040954142808914185,-0.11493653059005737,0.05537983775138855,-0.09203046560287476
",",0.36674630641937256,0.3015086054801941,0.3132045865058899,0.20966707170009613,0.4933079481124878,0.24156853556632996,0.31091248989105225
john,0.20069552958011627,0.18785913288593292,0.24896055459976196,0.1716294288635254,0.2230520099401474,0.18082590401172638,0.13162356615066528
jacob,0.2063625007867813,0.1499553918838501,0.3663964867591858,0.06389322876930237,0.22024451196193695,0.18830734491348267,0.11618305742740631
astor,0.16955603659152985,0.12745295464992523,1.0000001192092896,0.1260172426700592,0.2178436517715454,0.09219232201576233,0.14222437143325806
iv,0.25298017263412476,0.10158560425043106,0.21802383661270142,0.10641954839229584,0.22478210926055908,0.1367640197277069,0.16932271420955658
invested,0.25116822123527527,0.2700634300708771,0.21756385266780853,0.29341772198677063,0.22607377171516418,0.5289795994758606,0.13308873772621155
$,0.17828483879566193,0.23203131556510925,0.1484498232603073,0.15432752668857574,0.23367542028427124,0.49513715505599976,0.2786129117012024
"100,000",0.07283136248588562,0.10198205709457397,0.07559937238693237,0.01025679986923933,0.12082944065332413,0.11984963715076447,0.035472359508275986
for,0.43402108550071716,0.318512886762619,0.18184232711791992,0.42299434542655945,0.4739971458911896,0.3105318546295166,0.264628142118454
tesla,0.1504557579755783,0.09757418930530548,0.14406681060791016,0.1830475628376007,0.1324402391910553,0.1636640876531601,0.10250775516033173
to,0.5423505902290344,0.4452643394470215,0.20034965872764587,0.3479624092578888,0.535392165184021,0.3124290704727173,0.29463258385658264
further,0.2538713812828064,0.216647207736969,0.047050945460796356,0.2834337055683136,0.32531118392944336,0.17270435392856598,0.20960763096809387
develop,0.2735966444015503,0.21923236548900604,0.11736433953046799,0.3293642997741699,0.26276466250419617,0.15986239910125732,0.15784582495689392
and,0.4716290831565857,0.34479495882987976,0.22594130039215088,0.32960009574890137,0.5171257257461548,0.3070235550403595,0.20544172823429108
produce,0.2970345914363861,0.21033655107021332,0.08993999660015106,0.43741223216056824,0.23457570374011993,0.2073962390422821,0.19229066371917725
a,0.44397395849227905,0.2552328109741211,0.2129538208246231,0.26036545634269714,0.5829201340675354,0.2777978479862213,0.23916715383529663
new,0.257220059633255,0.227974995970726,0.2150687426328659,0.1687231808900833,0.3845241069793701,0.2387741506099701,0.14782847464084625
lighting,0.2340172380208969,0.19960185885429382,0.12232080101966858,0.28705713152885437,0.2831954061985016,0.21066875755786896,0.13502714037895203
system,0.27706024050712585,0.1967303454875946,0.02368590235710144,0.24529114365577698,0.3233085572719574,0.17691157758235931,0.15556083619594574
.,0.475719153881073,0.35288307070732117,0.30079877376556396,0.23842981457710266,0.5934505462646484,0.2570818066596985,0.4130953550338745
