,how,long,is,the,term,of,a,judicial,council,member,?
it,0.36714982986450195,0.34568047523498535,0.6328473687171936,0.6251175999641418,0.24376648664474487,0.38761502504348755,0.5452592968940735,0.22543735802173615,0.21568971872329712,0.14092883467674255,0.25732165575027466
consists,0.14797210693359375,0.18072234094142914,0.43405216932296753,0.3362659811973572,0.22009800374507904,0.41510096192359924,0.3022095263004303,0.17092743515968323,0.184028759598732,0.244319885969162,-0.004641483072191477
of,0.2480744868516922,0.2567519545555115,0.4854315221309662,0.733189046382904,0.26047757267951965,1.0,0.5052502155303955,0.2965162694454193,0.2972237169742584,0.2701796889305115,0.1826142966747284
nine,0.1557593196630478,0.2318415641784668,0.17531593143939972,0.33253175020217896,0.13025693595409393,0.29486238956451416,0.2446976900100708,0.18708938360214233,0.18175484240055084,0.2213175743818283,0.13964155316352844
members,0.20418256521224976,0.09242745488882065,0.1897467076778412,0.3321719169616699,0.15077292919158936,0.28120753169059753,0.1873859316110611,0.20645000040531158,0.3003452718257904,0.7046385407447815,0.10212311148643494
",",0.22659391164779663,0.3431144952774048,0.4691906273365021,0.4933079481124878,0.21599270403385162,0.4946078956127167,0.427140474319458,0.230997234582901,0.23820561170578003,0.25757819414138794,0.31091248989105225
both,0.3017238676548004,0.26186197996139526,0.31409940123558044,0.4931981563568115,0.23493531346321106,0.3565710783004761,0.3171786069869995,0.19394461810588837,0.11913405358791351,0.15871591866016388,0.19455738365650177
laity,0.2736656665802002,0.1540028154850006,0.2247636616230011,0.25578728318214417,0.23847787082195282,0.2445983737707138,0.20302750170230865,0.22604890167713165,0.2064567506313324,0.11302516609430313,0.2055709958076477
and,0.33647966384887695,0.3395216166973114,0.3859752118587494,0.5171257257461548,0.22272127866744995,0.5116966962814331,0.3739250600337982,0.2202012538909912,0.25117602944374084,0.28606608510017395,0.20544172823429108
clergy,0.15283432602882385,0.08724870532751083,0.14745484292507172,0.26154741644859314,0.17583893239498138,0.2905072271823883,0.19379808008670807,0.3584257960319519,0.3025865852832794,0.19435496628284454,0.14422976970672607
",",0.22659391164779663,0.3431144952774048,0.4691906273365021,0.4933079481124878,0.21599270403385162,0.4946078956127167,0.427140474319458,0.230997234582901,0.23820561170578003,0.25757819414138794,0.31091248989105225
elected,0.15145733952522278,0.1541784554719925,0.1221529170870781,0.23167964816093445,0.32113417983055115,0.2767166793346405,0.18310341238975525,0.33440959453582764,0.4162713587284088,0.4493750035762787,0.1966295689344406
by,0.34370526671409607,0.17269869148731232,0.3899846076965332,0.4408751428127289,0.1564474254846573,0.3646814823150635,0.32094135880470276,0.14751248061656952,0.18552932143211365,0.14692413806915283,0.17966607213020325
the,0.33890387415885925,0.3075225353240967,0.5823672413825989,1.0,0.2740369141101837,0.733189046382904,0.5829201340675354,0.27282875776290894,0.2829204201698303,0.2806392312049866,0.22068053483963013
general,0.19638104736804962,0.16063736379146576,0.20144300162792206,0.28634732961654663,0.255196750164032,0.28352999687194824,0.2157215178012848,0.2172645926475525,0.29982858896255493,0.1539999097585678,0.1972234547138214
conference,0.12395361065864563,0.10014505684375763,0.13909097015857697,0.25393402576446533,0.1491464376449585,0.19579021632671356,0.1375192254781723,0.19475053250789642,0.29785650968551636,0.23268674314022064,0.11172781884670258
for,0.3308170735836029,0.2547193765640259,0.43268078565597534,0.4739971458911896,0.2766548991203308,0.4185989499092102,0.44038116931915283,0.20194660127162933,0.1601620316505432,0.2718653976917267,0.264628142118454
an,0.2520636022090912,0.22368325293064117,0.4654068350791931,0.4207492768764496,0.16153281927108765,0.32280945777893066,0.44552403688430786,0.19821026921272278,0.13216540217399597,0.20242485404014587,0.19793890416622162
eight-year,0.21159641444683075,0.288822740316391,0.2411653697490692,0.38172024488449097,0.21835772693157196,0.33587318658828735,0.2958105206489563,0.18475349247455597,0.21010644733905792,0.19648483395576477,0.25363337993621826
term,0.23617766797542572,0.282439261674881,0.270183801651001,0.2740369141101837,1.0,0.26047757267951965,0.3080509603023529,0.18857629597187042,0.2115360051393509,0.15771128237247467,0.1901002675294876
.,0.3287222981452942,0.3247973620891571,0.4569662809371948,0.5934505462646484,0.18456575274467468,0.5352458953857422,0.50484299659729,0.2003612220287323,0.2314436286687851,0.19907453656196594,0.4130953550338745
