,what,is,the,usual,form,of,the,government,'s,wealth,redistribution,?
robert,0.1948658525943756,0.16191203892230988,0.2257954627275467,0.047591812908649445,0.0729825496673584,0.2398476004600525,0.2257954627275467,0.1111178994178772,0.028171386569738388,0.09552517533302307,0.0672212764620781,0.11293095350265503
nozick,0.2608667016029358,0.12071522325277328,0.12186837941408157,0.10996881872415543,0.1337791383266449,0.13482312858104706,0.12186837941408157,0.24771907925605774,0.026345323771238327,0.1805008351802826,0.19928501546382904,0.22039884328842163
argued,0.31776854395866394,0.08507123589515686,0.1919303685426712,0.17827583849430084,0.10613907128572464,0.19172857701778412,0.1919303685426712,0.2942756116390228,-0.03666406124830246,0.2531653940677643,0.2248476892709732,0.18905270099639893
that,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.3843860328197479,0.31894639134407043,0.41498205065727234,0.5473989248275757,0.29558056592941284,0.04397977516055107,0.256238728761673,0.32852911949157715,0.32716336846351624
government,0.28074538707733154,0.20343491435050964,0.31798112392425537,0.12760019302368164,0.18117623031139374,0.3475167155265808,0.31798112392425537,1.0000001192092896,0.00033092309604398906,0.33007606863975525,0.2581864297389984,0.18851417303085327
redistributes,0.24882610142230988,0.2464771270751953,0.31868210434913635,0.28886470198631287,0.2995969355106354,0.31571927666664124,0.31868210434913635,0.24898794293403625,0.08103913813829422,0.3072202205657959,0.7979660034179688,0.11713492125272751
wealth,0.2415573000907898,0.19482117891311646,0.24999672174453735,0.10837910324335098,0.1520005315542221,0.27235376834869385,0.24999672174453735,0.33007606863975525,0.1138739213347435,0.9999998807907104,0.2974836230278015,0.1624586433172226
by,0.2455483376979828,0.3899846076965332,0.4408751428127289,0.16895191371440887,0.20338405668735504,0.3646814823150635,0.4408751428127289,0.24235671758651733,-0.010884488001465797,0.1584445983171463,0.24856552481651306,0.17966607213020325
force,0.16915984451770782,0.22036980092525482,0.2800885736942291,0.13196244835853577,0.20255571603775024,0.27094775438308716,0.2800885736942291,0.32347920536994934,0.020782919600605965,0.18202006816864014,0.1607898771762848,0.1650998443365097
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.18307524919509888,0.1860738843679428,0.35032153129577637,0.33289089798927307,0.14655277132987976,0.0012731997994706035,0.13117057085037231,0.16586755216121674,0.40561532974243164
usually,0.32521089911460876,0.4230746626853943,0.36782920360565186,0.6240521669387817,0.36483505368232727,0.33931583166122437,0.36782920360565186,0.2110610455274582,0.08620650321245193,0.12547074258327484,0.23107221722602844,0.19435347616672516
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.2860795259475708,0.2815987169742584,0.5696388483047485,0.6662389636039734,0.3066793978214264,-0.037580832839012146,0.1835664063692093,0.2321719378232956,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,1.0,0.3319869339466095,0.29286009073257446,0.733189046382904,1.0,0.31798112392425537,-0.01540423184633255,0.24999672174453735,0.2993870973587036,0.22068053483963013
form,0.15868011116981506,0.3218395411968231,0.29286009073257446,0.2470541000366211,0.9999999403953552,0.29600051045417786,0.29286009073257446,0.18117623031139374,0.07059726119041443,0.1520005315542221,0.23061223328113556,0.1463010311126709
