,how,many,appearances,have,the,denver,broncos,made,in,the,super,bowl,?
the,0.33890387415885925,0.4335206151008606,0.25270983576774597,0.40389683842658997,1.0,0.2052404284477234,0.25985947251319885,0.3885267674922943,0.6662389636039734,1.0,0.21959073841571808,0.21576224267482758,0.22068053483963013
broncos,0.11217407882213593,0.1706678420305252,0.29627928137779236,0.16986088454723358,0.25985947251319885,0.5774994492530823,1.0000001192092896,0.19829139113426208,0.20316283404827118,0.25985947251319885,0.36141330003738403,0.4351775348186493,0.18377114832401276
finished,0.18142320215702057,0.15678347647190094,0.18895655870437622,0.17094801366329193,0.2754973769187927,0.11362142860889435,0.21319273114204407,0.2866627275943756,0.2933714687824249,0.2754973769187927,0.2583681046962738,0.26552706956863403,0.14789283275604248
the,0.33890387415885925,0.4335206151008606,0.25270983576774597,0.40389683842658997,1.0,0.2052404284477234,0.25985947251319885,0.3885267674922943,0.6662389636039734,1.0,0.21959073841571808,0.21576224267482758,0.22068053483963013
regular,0.2358456701040268,0.31490984559059143,0.35652679204940796,0.3675557076931,0.3214086890220642,0.20430372655391693,0.26932692527770996,0.2385934740304947,0.23172755539417267,0.3214086890220642,0.21446830034255981,0.2318909466266632,0.18334713578224182
season,0.13036081194877625,0.14251810312271118,0.3922994136810303,0.20235268771648407,0.2507155239582062,0.2508152425289154,0.3664494454860687,0.1318005621433258,0.2184021919965744,0.2507155239582062,0.2755677402019501,0.3117852509021759,0.16793298721313477
with,0.3525622487068176,0.35744401812553406,0.27327048778533936,0.48046383261680603,0.4223487675189972,0.20079316198825836,0.2245701551437378,0.3459964990615845,0.4080928862094879,0.4223487675189972,0.1518537551164627,0.18353787064552307,0.2433311939239502
a,0.29312583804130554,0.2872205972671509,0.2695651054382324,0.338716596364975,0.5829201340675354,0.179859921336174,0.19771797955036163,0.3180864453315735,0.539380669593811,0.5829201340675354,0.26005712151527405,0.19533146917819977,0.23916715383529663
12–4,0.2203845977783203,0.05484515428543091,0.10509155690670013,0.11413563787937164,0.06233663484454155,-0.04389326274394989,0.01670256443321705,0.04498478025197983,0.019164228811860085,0.06233663484454155,0.07920704782009125,0.060973159968853,0.4863562285900116
record,0.1698412001132965,0.17106595635414124,0.3090127110481262,0.23839209973812103,0.23569516837596893,0.19634279608726501,0.18765106797218323,0.19051337242126465,0.23162534832954407,0.23569516837596893,0.2505435347557068,0.24389338493347168,0.14407116174697876
