,what,type,of,approaches,for,primary,school,are,available,that,are,different,than,the,norm,?
however,0.4480680823326111,0.23281864821910858,0.3800618350505829,0.3011036217212677,0.44511833786964417,0.2171051800251007,0.20284941792488098,0.44812726974487305,0.36065226793289185,0.6336373090744019,0.44812726974487305,0.3967854082584381,0.3964720070362091,0.49814513325691223,0.21827764809131622,0.2152075469493866
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2856583893299103,0.4464869201183319,0.2565748989582062,0.27141863107681274,0.4062570035457611,0.2614012062549591,0.4137537479400635,0.4062570035457611,0.32220861315727234,0.3371901512145996,0.4933079481124878,0.20988225936889648,0.31091248989105225
alternative,0.1948106437921524,0.27551186084747314,0.2218208760023117,0.2405770868062973,0.3680151700973511,0.27134469151496887,0.15217220783233643,0.2894335091114044,0.3186551332473755,0.2644931972026825,0.2894335091114044,0.3299124538898468,0.227270245552063,0.24553248286247253,0.1505928933620453,0.22607778012752533
approaches,0.29933157563209534,0.12358948588371277,0.2620902359485626,1.0,0.22373615205287933,0.16155219078063965,0.23428156971931458,0.27044206857681274,0.10328780114650726,0.299746036529541,0.27044206857681274,0.24342656135559082,0.24823592603206635,0.2746894657611847,0.22178111970424652,0.16919754445552826
for,0.3017193675041199,0.20848464965820312,0.4185989499092102,0.22373615205287933,0.9999999403953552,0.2533470094203949,0.18618352711200714,0.3895993232727051,0.3672940731048584,0.4137635827064514,0.3895993232727051,0.34825223684310913,0.30793827772140503,0.4739971458911896,0.25246381759643555,0.264628142118454
primary,0.2113915979862213,0.20088249444961548,0.23414276540279388,0.16155219078063965,0.2533470094203949,1.0,0.4102175533771515,0.24237659573554993,0.21852298080921173,0.2296912968158722,0.24237659573554993,0.27170029282569885,0.17828716337680817,0.25688621401786804,0.08661869168281555,0.16286636888980865
education,0.19940856099128723,0.07525362819433212,0.3015166223049164,0.22008994221687317,0.27265021204948425,0.3644731044769287,0.5861870050430298,0.14324818551540375,0.1610902100801468,0.1599552482366562,0.14324818551540375,0.15440194308757782,0.1475612074136734,0.23982903361320496,0.13624168932437897,0.18067774176597595
do,0.4609605669975281,0.18961571156978607,0.26150479912757874,0.21600574254989624,0.29510271549224854,0.21139554679393768,0.13649480044841766,0.41111594438552856,0.2372470647096634,0.44533252716064453,0.41111594438552856,0.35756775736808777,0.2387038916349411,0.30239659547805786,0.1783888190984726,0.4093979299068451
exist,0.3340267241001129,0.13770776987075806,0.28013259172439575,0.2475791871547699,0.23112118244171143,0.15680599212646484,0.09875818341970444,0.4066506326198578,0.3135523200035095,0.42369726300239563,0.4066506326198578,0.4011842906475067,0.25275036692619324,0.3024537265300751,0.18202130496501923,0.28923845291137695
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.22648845613002777,0.4726039469242096,0.22422198951244354,0.24214158952236176,0.3452940285205841,0.3383464217185974,0.4460422694683075,0.3452940285205841,0.31511759757995605,0.3594527542591095,0.5934505462646484,0.23357605934143066,0.4130953550338745
,what,type,of,approaches,for,primary,school,are,available,that,are,different,than,the,norm,?
one,0.376489520072937,0.2377735823392868,0.4999135136604309,0.21438361704349518,0.384836345911026,0.18737681210041046,0.20067162811756134,0.42537835240364075,0.251289427280426,0.5133185982704163,0.42537835240364075,0.3770311772823334,0.43810948729515076,0.5514441132545471,0.13464170694351196,0.2673267424106598
of,0.33290785551071167,0.18112817406654358,1.0,0.2620902359485626,0.4185989499092102,0.23414276540279388,0.2391800880432129,0.39081433415412903,0.2416580766439438,0.41498205065727234,0.39081433415412903,0.3747533857822418,0.33036211133003235,0.733189046382904,0.07171522080898285,0.1826142966747284
these,0.4164220690727234,0.26445475220680237,0.42684608697891235,0.2721325755119324,0.41566818952560425,0.240659698843956,0.18179039657115936,0.7107698917388916,0.3430587649345398,0.5512621402740479,0.7107698917388916,0.6184550523757935,0.35475656390190125,0.49086877703666687,0.13721871376037598,0.2571668326854706
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2856583893299103,0.4464869201183319,0.2565748989582062,0.27141863107681274,0.4062570035457611,0.2614012062549591,0.4137537479400635,0.4062570035457611,0.32220861315727234,0.3371901512145996,0.4933079481124878,0.20988225936889648,0.31091248989105225
sometimes,0.34229418635368347,0.29955020546913147,0.296434611082077,0.21333125233650208,0.28293126821517944,0.1832711398601532,0.12589311599731445,0.47411349415779114,0.13543100655078888,0.3928869664669037,0.47411349415779114,0.4310488700866699,0.34453392028808594,0.35816407203674316,0.13210852444171906,0.1751544177532196
referred,0.16724665462970734,0.1660090535879135,0.317892849445343,0.19247546792030334,0.21213997900485992,0.2173338383436203,0.12793564796447754,0.25784921646118164,0.19358587265014648,0.2206440567970276,0.25784921646118164,0.19749988615512848,0.24111202359199524,0.3088674545288086,0.07212737202644348,0.06677805632352829
to,0.455847829580307,0.19930607080459595,0.41548454761505127,0.33063793182373047,0.4451248347759247,0.27388349175453186,0.24496325850486755,0.3504326641559601,0.2394571453332901,0.5436353087425232,0.3504326641559601,0.3617510497570038,0.3192550539970398,0.535392165184021,0.21037925779819489,0.29463258385658264
as,0.31749409437179565,0.19307732582092285,0.3886612355709076,0.21547405421733856,0.44774648547172546,0.2169201374053955,0.2065676748752594,0.3826591968536377,0.23867487907409668,0.4735107421875,0.3826591968536377,0.2646806538105011,0.40532299876213074,0.48381632566452026,0.24783313274383545,0.27043893933296204
