,what,is,the,mlolongo,system,?
the,0.42745697498321533,0.5823672413825989,1.0,0.3588796555995941,0.3233085572719574,0.22068053483963013
election,0.2325795590877533,0.16769170761108398,0.22873377799987793,0.22289226949214935,0.133778378367424,0.23105260729789734
held,0.0974166989326477,0.19884860515594482,0.32185450196266174,0.13835427165031433,0.10446743667125702,0.14103956520557404
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.30965539813041687,0.21978288888931274,0.20430970191955566
1988,-0.09063374996185303,0.026195600628852844,-0.009787061251699924,0.3864426910877228,-0.021793900057673454,0.08449683338403702
saw,0.24788837134838104,0.20157958567142487,0.318278044462204,0.12503096461296082,0.043438415974378586,0.14690998196601868
the,0.42745697498321533,0.5823672413825989,1.0,0.3588796555995941,0.3233085572719574,0.22068053483963013
advent,0.19781844317913055,0.12407537549734116,0.23288919031620026,0.10691056400537491,0.16313615441322327,0.14403489232063293
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.2946107089519501,0.25597915053367615,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.3588796555995941,0.3233085572719574,0.22068053483963013
mlolongo,0.18308241665363312,0.2712920010089874,0.3588796555995941,1.0,0.11123282462358475,0.2607135772705078
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.34325528144836426,0.15626809000968933,0.40561532974243164
queuing,0.32285982370376587,0.22102133929729462,0.2919006943702698,0.18018858134746552,0.3749143183231354,0.23543961346149445
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.34078261256217957,0.15207810699939728,0.42300865054130554
system,0.23557309806346893,0.2282046526670456,0.3233085572719574,0.11123282462358475,1.0000001192092896,0.15556083619594574
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.3396674394607544,0.18439900875091553,0.31091248989105225
where,0.4457937180995941,0.3586711287498474,0.5003893971443176,0.17146509885787964,0.2373466193675995,0.24793872237205505
voters,0.2528998553752899,0.22449064254760742,0.2605440318584442,0.21425430476665497,0.19388414919376373,0.21165518462657928
were,0.22298263013362885,0.29386836290359497,0.3906462490558624,0.1790563315153122,0.1800099015235901,0.17890112102031708
supposed,0.48471322655677795,0.26327794790267944,0.33562925457954407,0.09165744483470917,0.19586500525474548,0.36114630103111267
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.20948578417301178,0.26662686467170715,0.29463258385658264
line,0.2245367169380188,0.19879867136478424,0.29789501428604126,0.11441773921251297,0.1988029032945633,0.16271452605724335
up,0.28591108322143555,0.2853454053401947,0.38423117995262146,0.16131159663200378,0.1728370487689972,0.1819818764925003
behind,0.1959938108921051,0.24618369340896606,0.38928431272506714,0.10796742886304855,0.10511405020952225,0.19274599850177765
their,0.35142919421195984,0.2101074606180191,0.516537070274353,0.12815268337726593,0.22435083985328674,0.1898253709077835
favoured,0.13219767808914185,0.14047224819660187,0.28071853518486023,0.15969160199165344,0.1240471825003624,0.06716812402009964
candidates,0.21254537999629974,0.17431387305259705,0.2590187191963196,0.18256066739559174,0.24105438590049744,0.2568073272705078
instead,0.4104403555393219,0.3180348575115204,0.3940567970275879,0.1647023856639862,0.27583619952201843,0.2942638397216797
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.2946107089519501,0.25597915053367615,0.1826142966747284
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.2735391855239868,0.2589043080806732,0.23916715383529663
secret,0.2518046498298645,0.17441964149475098,0.23541073501110077,0.1257660984992981,0.14591743052005768,0.16440534591674805
ballot,0.14773842692375183,0.1836814135313034,0.26649942994117737,0.15169674158096313,0.21150460839271545,0.19360579550266266
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.34179556369781494,0.2277725487947464,0.4130953550338745
