,what,are,the,two,primary,constitutional,sources,of,the,european,union,?
the,0.42745697498321533,0.40399202704429626,1.0,0.43858039379119873,0.25688621401786804,0.2926941215991974,0.27209216356277466,0.733189046382904,1.0,0.3423081040382385,0.24421639740467072,0.22068053483963013
eu,0.15409135818481445,0.13638608157634735,0.14126400649547577,0.04171726852655411,0.04234253242611885,0.2730419635772705,0.07032576203346252,0.1579294353723526,0.14126400649547577,0.46552222967147827,0.3292396068572998,0.21586786210536957
's,0.02692362666130066,-0.008927806280553341,-0.01540423184633255,0.038143858313560486,-0.06354844570159912,-0.05937647446990013,-0.006692466326057911,-0.03817026689648628,-0.01540423184633255,0.08902547508478165,0.10892792046070099,-0.023395681753754616
primary,0.2113915979862213,0.24237659573554993,0.25688621401786804,0.19679397344589233,1.0,0.22618308663368225,0.27182701230049133,0.23414276540279388,0.25688621401786804,0.10110604763031006,0.10285277664661407,0.16286636888980865
constitutional,0.24835939705371857,0.17561578750610352,0.2926941215991974,0.2079426497220993,0.22618308663368225,1.0,0.16473188996315002,0.3563419580459595,0.2926941215991974,0.254330575466156,0.3105352520942688,0.2199033498764038
sources,0.30212491750717163,0.3228793740272522,0.27209216356277466,0.1896013617515564,0.27182701230049133,0.16473188996315002,1.0,0.20696839690208435,0.27209216356277466,0.1349249929189682,0.08081434667110443,0.2886999845504761
are,0.29724663496017456,1.0,0.40399202704429626,0.46276170015335083,0.24237659573554993,0.17561578750610352,0.3228793740272522,0.39081433415412903,0.40399202704429626,0.15548661351203918,0.15829040110111237,0.24591213464736938
the,0.42745697498321533,0.40399202704429626,1.0,0.43858039379119873,0.25688621401786804,0.2926941215991974,0.27209216356277466,0.733189046382904,1.0,0.3423081040382385,0.24421639740467072,0.22068053483963013
treaty,0.17237819731235504,0.11571057140827179,0.2690109610557556,0.16604124009609222,0.09991617500782013,0.4070098400115967,0.10160664469003677,0.2602092921733856,0.2690109610557556,0.25059598684310913,0.3147597312927246,0.1174844279885292
on,0.34226128458976746,0.268924742937088,0.5107308030128479,0.3205535411834717,0.2339327335357666,0.21524028480052948,0.29381874203681946,0.3966929316520691,0.5107308030128479,0.19710737466812134,0.15769828855991364,0.2714994251728058
european,0.15324164927005768,0.15548661351203918,0.3423081040382385,0.19338899850845337,0.10110604763031006,0.254330575466156,0.1349249929189682,0.2507138252258301,0.3423081040382385,0.9999998807907104,0.3571677803993225,0.14560863375663757
union,0.1396910548210144,0.15829040110111237,0.24421639740467072,0.22333486378192902,0.10285277664661407,0.3105352520942688,0.08081434667110443,0.2642118036746979,0.24421639740467072,0.3571677803993225,0.9999999403953552,0.07797172665596008
(,0.2411840260028839,0.23263892531394958,0.33289089798927307,0.2169162482023239,0.21913397312164307,0.17082451283931732,0.27034464478492737,0.35032153129577637,0.33289089798927307,0.17014704644680023,0.13465912640094757,0.40561532974243164
teu,0.1524437665939331,0.2244163602590561,0.31191012263298035,0.24354435503482819,0.19831998646259308,0.11974742263555527,0.13259801268577576,0.2679056227207184,0.31191012263298035,0.28529414534568787,0.21982774138450623,0.12451952695846558
),0.26259949803352356,0.2373749315738678,0.3456730246543884,0.24161455035209656,0.19666743278503418,0.18356911838054657,0.27196794748306274,0.3680361211299896,0.3456730246543884,0.17755553126335144,0.15587253868579865,0.42300865054130554
and,0.31309178471565247,0.48576638102531433,0.5171257257461548,0.4671151638031006,0.2539214491844177,0.2651209533214569,0.27464351058006287,0.5116966962814331,0.5171257257461548,0.24143946170806885,0.2594362497329712,0.20544172823429108
the,0.42745697498321533,0.40399202704429626,1.0,0.43858039379119873,0.25688621401786804,0.2926941215991974,0.27209216356277466,0.733189046382904,1.0,0.3423081040382385,0.24421639740467072,0.22068053483963013
treaty,0.17237819731235504,0.11571057140827179,0.2690109610557556,0.16604124009609222,0.09991617500782013,0.4070098400115967,0.10160664469003677,0.2602092921733856,0.2690109610557556,0.25059598684310913,0.3147597312927246,0.1174844279885292
on,0.34226128458976746,0.268924742937088,0.5107308030128479,0.3205535411834717,0.2339327335357666,0.21524028480052948,0.29381874203681946,0.3966929316520691,0.5107308030128479,0.19710737466812134,0.15769828855991364,0.2714994251728058
the,0.42745697498321533,0.40399202704429626,1.0,0.43858039379119873,0.25688621401786804,0.2926941215991974,0.27209216356277466,0.733189046382904,1.0,0.3423081040382385,0.24421639740467072,0.22068053483963013
functioning,0.3041251599788666,0.2942333221435547,0.2907642722129822,0.1984098255634308,0.28642547130584717,0.2519935965538025,0.28261515498161316,0.22997455298900604,0.2907642722129822,0.14831213653087616,0.1555691808462143,0.1929340660572052
of,0.33290785551071167,0.39081433415412903,0.733189046382904,0.37726253271102905,0.23414276540279388,0.3563419580459595,0.20696839690208435,1.0,0.733189046382904,0.2507138252258301,0.2642118036746979,0.1826142966747284
the,0.42745697498321533,0.40399202704429626,1.0,0.43858039379119873,0.25688621401786804,0.2926941215991974,0.27209216356277466,0.733189046382904,1.0,0.3423081040382385,0.24421639740467072,0.22068053483963013
european,0.15324164927005768,0.15548661351203918,0.3423081040382385,0.19338899850845337,0.10110604763031006,0.254330575466156,0.1349249929189682,0.2507138252258301,0.3423081040382385,0.9999998807907104,0.3571677803993225,0.14560863375663757
union,0.1396910548210144,0.15829040110111237,0.24421639740467072,0.22333486378192902,0.10285277664661407,0.3105352520942688,0.08081434667110443,0.2642118036746979,0.24421639740467072,0.3571677803993225,0.9999999403953552,0.07797172665596008
(,0.2411840260028839,0.23263892531394958,0.33289089798927307,0.2169162482023239,0.21913397312164307,0.17082451283931732,0.27034464478492737,0.35032153129577637,0.33289089798927307,0.17014704644680023,0.13465912640094757,0.40561532974243164
tfeu,0.1779472827911377,0.12704014778137207,0.23805710673332214,0.11555960029363632,0.08983192592859268,0.13522055745124817,0.1055816188454628,0.19117312133312225,0.23805710673332214,0.25883084535598755,0.24710100889205933,0.2193283885717392
),0.26259949803352356,0.2373749315738678,0.3456730246543884,0.24161455035209656,0.19666743278503418,0.18356911838054657,0.27196794748306274,0.3680361211299896,0.3456730246543884,0.17755553126335144,0.15587253868579865,0.42300865054130554
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.35859420895576477,0.2565748989582062,0.26596060395240784,0.3490506112575531,0.4946078956127167,0.4933079481124878,0.19684812426567078,0.2362271547317505,0.31091248989105225
which,0.5261979103088379,0.42922598123550415,0.6521818041801453,0.4674137234687805,0.3064635396003723,0.2864847183227539,0.2549097537994385,0.5011631846427917,0.6521818041801453,0.2234036773443222,0.23846890032291412,0.25814583897590637
have,0.39808809757232666,0.6577680706977844,0.40389683842658997,0.4498785734176636,0.21564412117004395,0.2192072570323944,0.3191109299659729,0.3802283704280853,0.40389683842658997,0.19048169255256653,0.16471676528453827,0.32991164922714233
been,0.2567804455757141,0.4703826308250427,0.3563927710056305,0.3638966381549835,0.13911563158035278,0.2358006238937378,0.2518520951271057,0.31685134768486023,0.3563927710056305,0.1689886897802353,0.16404001414775848,0.24354910850524902
agreed,0.3416297733783722,0.15648964047431946,0.24722334742546082,0.24111202359199524,0.09569258242845535,0.3182089030742645,0.1558329313993454,0.24395716190338135,0.24722334742546082,0.2157640904188156,0.1989077925682068,0.21258382499217987
or,0.33867141604423523,0.5374364256858826,0.4174870550632477,0.3349444568157196,0.24037444591522217,0.2618081569671631,0.29787003993988037,0.3792596757411957,0.4174870550632477,0.2412617802619934,0.21298456192016602,0.32389625906944275
adhered,0.264276921749115,0.28619134426116943,0.24798347055912018,0.16732311248779297,0.19639703631401062,0.22511324286460876,0.27113279700279236,0.30841952562332153,0.24798347055912018,0.17317678034305573,0.20868241786956787,0.23165585100650787
to,0.455847829580307,0.3504326641559601,0.535392165184021,0.3343428373336792,0.27388349175453186,0.2574991285800934,0.29232558608055115,0.41548454761505127,0.535392165184021,0.21011990308761597,0.16926777362823486,0.29463258385658264
among,0.21154822409152985,0.3811550438404083,0.3507058024406433,0.3255499601364136,0.1496342420578003,0.16720035672187805,0.21405169367790222,0.3679063022136688,0.3507058024406433,0.21465376019477844,0.15342235565185547,0.14343059062957764
the,0.42745697498321533,0.40399202704429626,1.0,0.43858039379119873,0.25688621401786804,0.2926941215991974,0.27209216356277466,0.733189046382904,1.0,0.3423081040382385,0.24421639740467072,0.22068053483963013
