,when,was,the,rhine,first,discovered,?
the,0.5091903209686279,0.48711544275283813,1.0,0.30735138058662415,0.49448907375335693,0.27493247389793396,0.22068053483963013
rhine,0.13750529289245605,0.18681856989860535,0.30735138058662415,1.0,0.13051658868789673,0.12577007710933685,0.13754533231258392
was,0.37326499819755554,1.0000001192092896,0.48711544275283813,0.18681856989860535,0.5022147297859192,0.3177400529384613,0.18412111699581146
not,0.4799930453300476,0.2888734042644501,0.4310511648654938,0.18424437940120697,0.2955942749977112,0.22524185478687286,0.41942933201789856
known,0.1836930811405182,0.35203275084495544,0.3624623417854309,0.12647588551044464,0.274125337600708,0.32120445370674133,0.18314571678638458
to,0.5423505902290344,0.3636345863342285,0.535392165184021,0.1736302673816681,0.3792489171028137,0.17764629423618317,0.29463258385658264
herodotus,0.1592412292957306,0.22220081090927124,0.20547567307949066,0.1722838580608368,0.21036091446876526,0.2535490095615387,0.19187898933887482
and,0.4716290831565857,0.3740963041782379,0.5171257257461548,0.22029656171798706,0.3167642652988434,0.21031536161899567,0.20544172823429108
first,0.4282494783401489,0.5022147297859192,0.49448907375335693,0.13051658868789673,1.0,0.27240344882011414,0.18701928853988647
enters,0.30568742752075195,0.18340186774730682,0.36934712529182434,0.20562417805194855,0.209030419588089,0.22438177466392517,0.09810265153646469
the,0.5091903209686279,0.48711544275283813,1.0,0.30735138058662415,0.49448907375335693,0.27493247389793396,0.22068053483963013
historical,0.151133731007576,0.18540561199188232,0.30835282802581787,0.13686296343803406,0.1561516970396042,0.07531239092350006,0.1665111482143402
period,0.3356073200702667,0.2820133864879608,0.3125074505805969,0.14820457994937897,0.3305831849575043,0.23304255306720734,0.18706195056438446
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.24648422002792358,0.4127444326877594,0.2801778018474579,0.20430970191955566
the,0.5091903209686279,0.48711544275283813,1.0,0.30735138058662415,0.49448907375335693,0.27493247389793396,0.22068053483963013
1st,0.18998867273330688,0.27590855956077576,0.2525756061077118,0.22343063354492188,0.3171619772911072,0.18450815975666046,0.2033112645149231
century,0.22992412745952606,0.3521432876586914,0.3617299497127533,0.21836237609386444,0.32110705971717834,0.30326300859451294,0.1026201918721199
bc,0.20833487808704376,0.18112368881702423,0.2513079047203064,0.25015801191329956,0.1904160976409912,0.25002607703208923,0.1382298320531845
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.24648422002792358,0.4127444326877594,0.2801778018474579,0.20430970191955566
roman-era,0.10657992959022522,0.24536022543907166,0.26507288217544556,0.2988612949848175,0.15623582899570465,0.151592418551445,0.22112348675727844
geography,0.12322583794593811,0.12020937353372574,0.20259734988212585,0.1564008593559265,0.16269801557064056,0.16547034680843353,0.17832398414611816
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.2089352011680603,0.4345304071903229,0.23523737490177155,0.4130953550338745
