,what,is,the,common,term,for,the,loss,of,key,members,of,french,society,to,huguenot,emigration,?
the,0.42745697498321533,0.5823672413825989,1.0,0.2705984115600586,0.2740369141101837,0.4739971458911896,1.0,0.27898719906806946,0.733189046382904,0.2260027974843979,0.3321719169616699,0.733189046382904,0.2555147111415863,0.2789285480976105,0.535392165184021,0.29557526111602783,0.33268171548843384,0.22068053483963013
exodus,0.25344720482826233,0.12359359860420227,0.21896156668663025,0.12801797688007355,0.163115993142128,0.16181892156600952,0.21896156668663025,0.1772538125514984,0.19406749308109283,0.07928157597780228,0.2520788311958313,0.19406749308109283,0.11688879132270813,0.17599160969257355,0.12425104528665543,0.2616857588291168,0.34819862246513367,0.14324861764907837
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.2949881851673126,0.26047757267951965,0.4185989499092102,0.733189046382904,0.26357072591781616,1.0,0.24036972224712372,0.28120753169059753,1.0,0.19450366497039795,0.23646748065948486,0.41548454761505127,0.29061198234558105,0.28587231040000916,0.1826142966747284
huguenots,0.22128188610076904,0.09711743891239166,0.30745792388916016,0.13696078956127167,0.09713360667228699,0.17568211257457733,0.30745792388916016,0.1516229659318924,0.27577435970306396,0.0930277481675148,0.27230414748191833,0.27577435970306396,0.4879878759384155,0.19993522763252258,0.2685132324695587,0.9459913372993469,0.3970017731189728,0.16010338068008423
from,0.2737620174884796,0.27355384826660156,0.40150508284568787,0.1902724653482437,0.25269290804862976,0.314039945602417,0.40150508284568787,0.14446182548999786,0.4249346852302551,0.14647065103054047,0.2350950688123703,0.4249346852302551,0.19660584628582,0.18421071767807007,0.4069952368736267,0.1858682930469513,0.2563789486885071,0.19969791173934937
france,0.17793065309524536,0.22835302352905273,0.35517507791519165,0.11349804699420929,0.13628262281417847,0.21557466685771942,0.35517507791519165,0.17066322267055511,0.3265724182128906,0.1271788328886032,0.14174669981002808,0.3265724182128906,0.5492131114006042,0.11796863377094269,0.2670897841453552,0.44110438227653503,0.2368079125881195,0.15069349110126495
created,0.20714101195335388,0.28467464447021484,0.3539263904094696,0.10768742114305496,0.16678112745285034,0.25684574246406555,0.3539263904094696,0.10485612601041794,0.32043445110321045,0.05691979080438614,0.17089006304740906,0.32043445110321045,0.23771527409553528,0.17452195286750793,0.2592601478099823,0.1795702874660492,0.1927116960287094,0.21177415549755096
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.29638534784317017,0.3080509603023529,0.44038116931915283,0.5829201340675354,0.20714472234249115,0.5052502155303955,0.23475825786590576,0.1873859316110611,0.5052502155303955,0.24285779893398285,0.22652459144592285,0.45503583550453186,0.22502337396144867,0.22660602629184723,0.23916715383529663
brain,0.26156795024871826,0.21082638204097748,0.25109198689460754,0.14000719785690308,0.15380685031414032,0.17547352612018585,0.25109198689460754,0.17849019169807434,0.2293534129858017,0.21031813323497772,0.135590061545372,0.2293534129858017,0.0868627056479454,0.2339700311422348,0.21741782128810883,0.08398812264204025,0.16760167479515076,0.17415454983711243
drain,0.21668347716331482,0.23514574766159058,0.31268492341041565,0.18290287256240845,0.08708038926124573,0.16501876711845398,0.31268492341041565,0.2673155665397644,0.24482177197933197,0.07632491737604141,0.06338025629520416,0.24482177197933197,0.11895094066858292,0.13252928853034973,0.26587653160095215,0.07471315562725067,0.13151948153972626,0.18119575083255768
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2497023195028305,0.21599270403385162,0.4464869201183319,0.4933079481124878,0.23328691720962524,0.4946078956127167,0.20467913150787354,0.2357054501771927,0.4946078956127167,0.28806620836257935,0.20629194378852844,0.44245919585227966,0.24752236902713776,0.2729322612285614,0.31091248989105225
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.2140667736530304,0.3224089443683624,0.44774648547172546,0.48381632566452026,0.18081268668174744,0.3886612355709076,0.1981334537267685,0.21428564190864563,0.3886612355709076,0.20159029960632324,0.18661245703697205,0.42092081904411316,0.15821954607963562,0.18644748628139496,0.27043893933296204
many,0.36131182312965393,0.2649032473564148,0.4335206151008606,0.3503221273422241,0.22119450569152832,0.40972793102264404,0.4335206151008606,0.1755927950143814,0.37253960967063904,0.178392693400383,0.25127971172332764,0.37253960967063904,0.2158181369304657,0.2873149514198303,0.40243685245513916,0.24653638899326324,0.2688727080821991,0.2124512493610382
huguenots,0.22128188610076904,0.09711743891239166,0.30745792388916016,0.13696078956127167,0.09713360667228699,0.17568211257457733,0.30745792388916016,0.1516229659318924,0.27577435970306396,0.0930277481675148,0.27230414748191833,0.27577435970306396,0.4879878759384155,0.19993522763252258,0.2685132324695587,0.9459913372993469,0.3970017731189728,0.16010338068008423
had,0.23849567770957947,0.2932159900665283,0.3875846862792969,0.15328574180603027,0.16051872074604034,0.3270139992237091,0.3875846862792969,0.21993182599544525,0.37755560874938965,0.1291266232728958,0.2699684798717499,0.37755560874938965,0.1956298053264618,0.1453699916601181,0.37984350323677063,0.2470320463180542,0.2251843512058258,0.20728366076946259
occupied,0.2295091450214386,0.17384637892246246,0.3288927674293518,0.09150001406669617,0.20059478282928467,0.13494350016117096,0.3288927674293518,0.10079504549503326,0.3310187757015228,0.13244184851646423,0.15041807293891907,0.3310187757015228,0.17906871438026428,0.153577521443367,0.18831755220890045,0.30973443388938904,0.28608670830726624,0.11679025739431381
important,0.31164905428886414,0.350485235452652,0.39348116517066956,0.38180869817733765,0.16665123403072357,0.3458578288555145,0.39348116517066956,0.21839451789855957,0.43301743268966675,0.31722700595855713,0.16388632357120514,0.43301743268966675,0.18080931901931763,0.21757817268371582,0.30913278460502625,0.23857249319553375,0.25333932042121887,0.17812499403953552
places,0.19604378938674927,0.3042297065258026,0.31653955578804016,0.3168184161186218,0.18948137760162354,0.3050630986690521,0.31653955578804016,0.12245598435401917,0.26612308621406555,0.15608705580234528,0.17934975028038025,0.26612308621406555,0.09745362401008606,0.18860682845115662,0.3195951581001282,0.13483016192913055,0.18054625391960144,0.17623652517795563
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.23149342834949493,0.27866655588150024,0.4322226941585541,0.6662389636039734,0.21028298139572144,0.5696388483047485,0.21450091898441315,0.196792870759964,0.5696388483047485,0.22093388438224792,0.21229879558086395,0.45010748505592346,0.26198551058769226,0.30670469999313354,0.20430970191955566
