,how,many,major,bus,stations,are,in,the,city,of,newcastle,?
there,0.3328511416912079,0.4993700683116913,0.27976733446121216,0.19871748983860016,0.27333587408065796,0.5433560013771057,0.5361666083335876,0.47025805711746216,0.27553731203079224,0.44397735595703125,0.1536160409450531,0.29405656456947327
are,0.311818927526474,0.5655534863471985,0.21536177396774292,0.18755505979061127,0.28331783413887024,1.0,0.3841303884983063,0.40399202704429626,0.19493703544139862,0.39081433415412903,0.1428472399711609,0.24591213464736938
two,0.2499001920223236,0.5147606730461121,0.2501676380634308,0.2700095772743225,0.25703883171081543,0.46276170015335083,0.36463531851768494,0.43858039379119873,0.17386646568775177,0.37726253271102905,0.15140333771705627,0.19645625352859497
major,0.12500809133052826,0.2907782793045044,0.9999998807907104,0.14019884169101715,0.21470504999160767,0.21536177396774292,0.3249945342540741,0.31775903701782227,0.259122371673584,0.2641255557537079,0.15312890708446503,0.19788557291030884
bus,0.14968723058700562,0.18821316957473755,0.14019884169101715,1.0,0.38173606991767883,0.18755505979061127,0.19241473078727722,0.19768238067626953,0.24379955232143402,0.15900543332099915,0.11108064651489258,0.10113320499658585
stations,0.18198855221271515,0.2893238365650177,0.21470504999160767,0.38173606991767883,1.0,0.28331783413887024,0.25864288210868835,0.24762700498104095,0.26229754090309143,0.20414425432682037,0.24480663239955902,0.13192185759544373
in,0.2601168751716614,0.41474202275276184,0.3249945342540741,0.19241473078727722,0.25864288210868835,0.3841303884983063,1.0,0.6662389636039734,0.3911624252796173,0.5696388483047485,0.19270820915699005,0.20430970191955566
the,0.33890387415885925,0.4335206151008606,0.31775903701782227,0.19768238067626953,0.24762700498104095,0.40399202704429626,0.6662389636039734,1.0,0.35769423842430115,0.733189046382904,0.2253497689962387,0.22068053483963013
city,0.12024712562561035,0.21416836977005005,0.259122371673584,0.24379955232143402,0.26229754090309143,0.19493703544139862,0.3911624252796173,0.35769423842430115,1.0,0.32503411173820496,0.32860881090164185,0.13423943519592285
:,-0.11215605586767197,-0.10786184668540955,0.02358236350119114,-0.04903494566679001,-0.14831317961215973,-0.1189703419804573,0.020521078258752823,-0.03403344005346298,-0.06421580910682678,-0.08807745575904846,-0.07358825206756592,-0.07156077772378922
haymarket,0.14019708335399628,0.2365145981311798,0.2052714079618454,0.3442310094833374,0.3409094214439392,0.13352450728416443,0.31262460350990295,0.24661125242710114,0.34547141194343567,0.19002003967761993,0.31346699595451355,0.15778425335884094
bus,0.14968723058700562,0.18821316957473755,0.14019884169101715,1.0,0.38173606991767883,0.18755505979061127,0.19241473078727722,0.19768238067626953,0.24379955232143402,0.15900543332099915,0.11108064651489258,0.10113320499658585
station,0.12616953253746033,0.15228354930877686,0.18357005715370178,0.3797439932823181,0.8503052592277527,0.12370817363262177,0.21784305572509766,0.23609806597232819,0.28755414485931396,0.17394597828388214,0.26673999428749084,0.12574981153011322
and,0.33647966384887695,0.5296266674995422,0.29795366525650024,0.24086548388004303,0.2687023878097534,0.48576638102531433,0.4954058527946472,0.5171257257461548,0.2827445864677429,0.5116966962814331,0.20204751193523407,0.20544172823429108
eldon,0.13046571612358093,0.15851761400699615,0.1719224750995636,0.2548201084136963,0.17731866240501404,0.11156542599201202,0.29987475275993347,0.21200692653656006,0.26356983184814453,0.1765909343957901,0.19764482975006104,0.18489088118076324
square,0.0836852416396141,0.2124457061290741,0.11230197548866272,0.19948191940784454,0.2259906381368637,0.18786215782165527,0.2193731665611267,0.2809545397758484,0.3497491180896759,0.2585134208202362,0.20575816929340363,0.1201515942811966
bus,0.14968723058700562,0.18821316957473755,0.14019884169101715,1.0,0.38173606991767883,0.18755505979061127,0.19241473078727722,0.19768238067626953,0.24379955232143402,0.15900543332099915,0.11108064651489258,0.10113320499658585
station,0.12616953253746033,0.15228354930877686,0.18357005715370178,0.3797439932823181,0.8503052592277527,0.12370817363262177,0.21784305572509766,0.23609806597232819,0.28755414485931396,0.17394597828388214,0.26673999428749084,0.12574981153011322
.,0.3287222981452942,0.3974229395389557,0.3054012954235077,0.2277638167142868,0.22839494049549103,0.3452940285205841,0.5591574311256409,0.5934505462646484,0.29856356978416443,0.5352458953857422,0.2714749276638031,0.4130953550338745
