,j.,a.,hobson,wanted,which,races,to,develop,the,world,?
by,0.050707943737506866,0.050561677664518356,0.2735545039176941,0.22902604937553406,0.40543368458747864,0.1306540071964264,0.33534231781959534,0.16370567679405212,0.4408751428127289,0.22306372225284576,0.17966607213020325
the,0.03800997510552406,-0.06011331453919411,0.2172650247812271,0.3011050522327423,0.6521818041801453,0.20953570306301117,0.535392165184021,0.26276466250419617,1.0,0.33604270219802856,0.22068053483963013
races,-0.00015482782328035682,-0.04141901060938835,0.11324853450059891,0.14271162450313568,0.16684280335903168,1.0,0.19053417444229126,0.13508367538452148,0.20953570306301117,0.2873638868331909,0.12153562903404236
of,0.014586188830435276,-0.11198592185974121,0.15904636681079865,0.28092440962791443,0.5011631846427917,0.1723267138004303,0.41548454761505127,0.2259741723537445,0.733189046382904,0.2828933000564575,0.1826142966747284
highest,-0.018619636073708534,-0.04802612215280533,0.12682345509529114,0.08783148229122162,0.2561801075935364,0.17254643142223358,0.21947018802165985,0.08877652138471603,0.36945265531539917,0.28919854760169983,0.11527936160564423
'social,-0.05776064842939377,-0.02777528576552868,0.19784682989120483,0.22038666903972626,0.2836509048938751,0.17138300836086273,0.2361280918121338,0.2424028515815735,0.2241983711719513,0.21809035539627075,0.17671562731266022
efficiency,-0.02500602975487709,-0.0041364384815096855,0.15112538635730743,0.1700563281774521,0.25888732075691223,0.17045681178569794,0.28056567907333374,0.279592365026474,0.18687312304973602,0.17877016961574554,0.14680004119873047
',-0.015611421316862106,0.061735138297080994,0.2507172226905823,0.22325202822685242,0.32852497696876526,0.13533735275268555,0.34544456005096436,0.1206030547618866,0.474788099527359,0.22446990013122559,0.330942302942276
'',0.05435700714588165,-0.09184451401233673,-0.028580155223608017,0.0032693222165107727,-0.03332270681858063,-0.03253769874572754,-0.009905828163027763,-0.053215742111206055,0.041273195296525955,-0.07833857089281082,0.018684765323996544
.,-0.011139007285237312,0.02116589993238449,0.3195596933364868,0.30680814385414124,0.45942068099975586,0.18939174711704254,0.4645031690597534,0.2532461881637573,0.5934505462646484,0.3177160322666168,0.4130953550338745
