,what,was,the,total,number,of,homes,sky,announced,that,had,sky+hd,in,march,of,2012,?
on,0.34226128458976746,0.3909217119216919,0.5107308030128479,0.19572006165981293,0.2978411018848419,0.3966929316520691,0.1787196695804596,0.18642869591712952,0.303989976644516,0.42569106817245483,0.36692994832992554,0.2865566611289978,0.46853652596473694,0.33868420124053955,0.3966929316520691,0.24696305394172668,0.2714994251728058
31,0.04987277463078499,-0.07483632862567902,0.12550820410251617,0.12902890145778656,0.13367816805839539,0.13315030932426453,0.07975320518016815,0.07169321924448013,-0.10876383632421494,0.10916130989789963,-0.04459457844495773,0.03733200579881668,0.06804506480693817,-0.1268230378627777,0.13315030932426453,0.17826512455940247,-0.017570214346051216
march,0.20529508590698242,0.4297752380371094,0.2680487632751465,0.12543267011642456,0.1144530400633812,0.20692677795886993,0.08521268516778946,0.11340527981519699,0.32473424077033997,0.20178008079528809,0.22425010800361633,0.22513297200202942,0.29730337858200073,1.0000001192092896,0.20692677795886993,0.205331951379776,0.2802562415599823
2012,0.2266836017370224,0.2899843454360962,0.46885523200035095,0.2982551157474518,0.2244439572095871,0.4422316551208496,0.3225209712982178,0.23523804545402527,0.14009785652160645,0.32257330417633057,0.2411087453365326,0.24989546835422516,0.3800647258758545,0.205331951379776,0.4422316551208496,1.0,0.18042556941509247
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.25815486907958984,0.2535701394081116,0.4946078956127167,0.2378510683774948,0.22621183097362518,0.23036719858646393,0.4137537479400635,0.35487717390060425,0.28284984827041626,0.5201468467712402,0.4256272315979004,0.4946078956127167,0.42079734802246094,0.31091248989105225
sky,0.16493305563926697,0.181777685880661,0.26521286368370056,0.1179640144109726,0.12032142281532288,0.16284865140914917,0.1313551664352417,1.0,0.14871138334274292,0.27413034439086914,0.15309657156467438,0.5964149236679077,0.20324937999248505,0.11340527981519699,0.16284865140914917,0.23523804545402527,0.11270341277122498
announced,0.09249057620763779,0.34205326437950134,0.2277132272720337,0.11597991734743118,0.0691022053360939,0.22339491546154022,0.10731565207242966,0.14871138334274292,1.0,0.26166632771492004,0.3365541100502014,0.2845173478126526,0.2528248429298401,0.32473424077033997,0.22339491546154022,0.14009785652160645,0.17416009306907654
the,0.42745697498321533,0.48711544275283813,1.0,0.27068960666656494,0.35145696997642517,0.733189046382904,0.22941356897354126,0.26521286368370056,0.2277132272720337,0.5473989248275757,0.3875846862792969,0.3039562702178955,0.6662389636039734,0.2680487632751465,0.733189046382904,0.46885523200035095,0.22068053483963013
total,0.19850242137908936,0.14069223403930664,0.27068960666656494,0.9999999403953552,0.42508429288864136,0.29045331478118896,0.22913719713687897,0.1179640144109726,0.11597991734743118,0.25605857372283936,0.24812166392803192,0.1831192821264267,0.27667245268821716,0.12543267011642456,0.29045331478118896,0.2982551157474518,0.14396025240421295
number,0.23046229779720306,0.1855042725801468,0.35145696997642517,0.42508429288864136,1.0,0.2778518795967102,0.16541630029678345,0.12032142281532288,0.0691022053360939,0.32951247692108154,0.2758786678314209,0.1886446177959442,0.3024539053440094,0.1144530400633812,0.2778518795967102,0.2244439572095871,0.19256845116615295
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.29045331478118896,0.2778518795967102,1.0,0.2122298777103424,0.16284865140914917,0.22339491546154022,0.41498205065727234,0.37755560874938965,0.23265449702739716,0.5696388483047485,0.20692677795886993,1.0,0.4422316551208496,0.1826142966747284
homes,0.1709814965724945,0.21167151629924774,0.22941356897354126,0.22913719713687897,0.16541630029678345,0.2122298777103424,1.0,0.1313551664352417,0.10731565207242966,0.22932316362857819,0.2827519476413727,0.2510521709918976,0.2459857165813446,0.08521268516778946,0.2122298777103424,0.3225209712982178,0.12707971036434174
with,0.2464839518070221,0.27411898970603943,0.4223487675189972,0.1768326759338379,0.2513769268989563,0.41827285289764404,0.18574486672878265,0.20754678547382355,0.19698800146579742,0.4154358208179474,0.4739086329936981,0.25748345255851746,0.4080928862094879,0.1895335465669632,0.41827285289764404,0.27785399556159973,0.2433311939239502
sky+hd,0.20940111577510834,0.2956903874874115,0.3039562702178955,0.1831192821264267,0.1886446177959442,0.23265449702739716,0.2510521709918976,0.5964149236679077,0.2845173478126526,0.2883332669734955,0.23635858297348022,1.0000001192092896,0.33051231503486633,0.22513297200202942,0.23265449702739716,0.24989546835422516,0.17647938430309296
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.14069223403930664,0.1855042725801468,0.4069072902202606,0.21167151629924774,0.181777685880661,0.34205326437950134,0.33670201897621155,0.5927209258079529,0.2956903874874115,0.45514053106307983,0.4297752380371094,0.4069072902202606,0.2899843454360962,0.18412111699581146
"4,222,000",0.020441751927137375,-0.01404308807104826,-0.01171489804983139,-0.05444041267037392,-0.029227277263998985,0.02850400283932686,-0.05094239488244057,-0.054910048842430115,-0.005807717330753803,0.0015839964617043734,-0.015646331012248993,0.0851946622133255,-0.010456091724336147,0.04892481118440628,0.02850400283932686,-0.11004320532083511,0.018463049083948135
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.2295650690793991,0.3256329298019409,0.5352458953857422,0.27827757596969604,0.19117935001850128,0.20513638854026794,0.4460422694683075,0.37348684668540955,0.2952575385570526,0.5591574311256409,0.349947065114975,0.5352458953857422,0.37805238366127014,0.4130953550338745
