,the,mountain,ranges,tail,off,into,what,kind,of,geographical,formation,?
the,1.0,0.2931090295314789,0.2618407607078552,0.2563059329986572,0.2773582935333252,0.39493247866630554,0.42745697498321533,0.2516445517539978,0.733189046382904,0.3164447844028473,0.33687281608581543,0.22068053483963013
region,0.35020557045936584,0.21147207915782928,0.25814932584762573,0.13050636649131775,0.13726577162742615,0.14896553754806519,0.2298986315727234,0.16578975319862366,0.2852717339992523,0.36870047450065613,0.3290780186653137,0.13441751897335052
spans,0.3057820200920105,0.16961705684661865,0.2741258442401886,0.2509568929672241,0.04202328249812126,0.18373771011829376,0.17010384798049927,0.0857611745595932,0.24773009121418,0.27749907970428467,0.2193164974451065,0.13849228620529175
from,0.40150508284568787,0.18535856902599335,0.23139509558677673,0.17195847630500793,0.2782316207885742,0.3410196900367737,0.2737620174884796,0.1906990259885788,0.4249346852302551,0.1959545612335205,0.2397208958864212,0.19969791173934937
pacific,0.28543707728385925,0.2743209898471832,0.22509250044822693,0.16083726286888123,0.18414849042892456,0.14942249655723572,0.12389002740383148,0.08605325222015381,0.21646003425121307,0.24741016328334808,0.21519501507282257,0.13060949742794037
ocean,0.3185477554798126,0.3013077974319458,0.24473965167999268,0.23479652404785156,0.30277132987976074,0.2670654356479645,0.21858152747154236,0.14019770920276642,0.25798606872558594,0.3071180582046509,0.25694403052330017,0.15205028653144836
islands,0.27959951758384705,0.284837931394577,0.24057279527187347,0.17853964865207672,0.16537275910377502,0.11010871827602386,0.12194207310676575,0.10818862915039062,0.277767539024353,0.2934376299381256,0.19082963466644287,0.11824353039264679
",",0.4933079481124878,0.2732870280742645,0.23355913162231445,0.23271693289279938,0.26180344820022583,0.2826121151447296,0.3087472915649414,0.20629581809043884,0.4946078956127167,0.2952534854412079,0.24612528085708618,0.31091248989105225
shorelines,0.34449177980422974,0.2509227991104126,0.34699422121047974,0.3236813545227051,0.26029855012893677,0.24314633011817932,0.21401512622833252,0.14256957173347473,0.3322344422340393,0.3386428952217102,0.33099353313446045,0.13851986825466156
",",0.4933079481124878,0.2732870280742645,0.23355913162231445,0.23271693289279938,0.26180344820022583,0.2826121151447296,0.3087472915649414,0.20629581809043884,0.4946078956127167,0.2952534854412079,0.24612528085708618,0.31091248989105225
