,np,complete,problems,contain,the,lowest,likelihood,of,being,located,in,what,problem,class,?
if,0.30719754099845886,0.26859959959983826,0.3437747657299042,0.2986987829208374,0.33724796772003174,0.2555732727050781,0.5040979981422424,0.2557544410228729,0.4287751317024231,0.097633957862854,0.2589588761329651,0.5277165174484253,0.43518564105033875,0.19012384116649628,0.4441644251346588
a,0.19096361100673676,0.29913821816444397,0.21523453295230865,0.23510922491550446,0.5829201340675354,0.2451467216014862,0.33071842789649963,0.5052502155303955,0.3727131485939026,0.2605401277542114,0.539380669593811,0.3320399522781372,0.2605542540550232,0.23462694883346558,0.23916715383529663
problem,0.4497864544391632,0.27093052864074707,0.7913808822631836,0.20537663996219635,0.24928659200668335,0.16902756690979004,0.43773871660232544,0.20464475452899933,0.2995333671569824,0.10883520543575287,0.16969570517539978,0.42183366417884827,1.0,0.19669321179389954,0.3762950301170349
x,0.18771763145923615,0.13250453770160675,0.17143216729164124,0.18999986350536346,0.20980626344680786,0.022830214351415634,0.21220014989376068,0.1708947718143463,0.1827971637248993,0.08955014497041702,0.16749148070812225,0.13783220946788788,0.17171038687229156,0.1357298642396927,0.23304535448551178
is,0.2208731323480606,0.2201630026102066,0.16985496878623962,0.31030410528182983,0.5823672413825989,0.2606837749481201,0.34445491433143616,0.4854315221309662,0.4445112943649292,0.35717159509658813,0.5394441485404968,0.28837618231773376,0.23238427937030792,0.1275252103805542,0.22961433231830597
in,0.15881246328353882,0.2201821506023407,0.21061907708644867,0.23975171148777008,0.6662389636039734,0.2796158194541931,0.2647380828857422,0.5696388483047485,0.33162933588027954,0.35149815678596497,1.0,0.30808621644973755,0.16969570517539978,0.1761927455663681,0.20430970191955566
c,0.16705317795276642,0.09849392622709274,0.10926929116249084,0.15146660804748535,0.17891426384449005,0.17764335870742798,0.1687672734260559,0.1682119220495224,0.17480221390724182,0.1465200036764145,0.1977744996547699,0.13697408139705658,0.1311071813106537,0.16583140194416046,0.14264722168445587
and,0.1060066819190979,0.20886704325675964,0.285793662071228,0.3066939413547516,0.5171257257461548,0.21811194717884064,0.3043304681777954,0.5116966962814331,0.4286794066429138,0.24183952808380127,0.4954058527946472,0.31309178471565247,0.24328261613845825,0.20710228383541107,0.20544172823429108
hard,0.29150816798210144,0.20217150449752808,0.2970162034034729,0.2337929755449295,0.25233224034309387,0.15148569643497467,0.2481009066104889,0.21288733184337616,0.2276957929134369,0.1071428507566452,0.20126917958259583,0.3417404592037201,0.3147989511489868,0.1615394502878189,0.1823338270187378
for,0.1543017327785492,0.23847275972366333,0.27039530873298645,0.30063194036483765,0.4739971458911896,0.22372238337993622,0.35288912057876587,0.4185989499092102,0.41687241196632385,0.1493360996246338,0.4322226941585541,0.3017193675041199,0.2661307752132416,0.17833863198757172,0.264628142118454
c,0.16705317795276642,0.09849392622709274,0.10926929116249084,0.15146660804748535,0.17891426384449005,0.17764335870742798,0.1687672734260559,0.1682119220495224,0.17480221390724182,0.1465200036764145,0.1977744996547699,0.13697408139705658,0.1311071813106537,0.16583140194416046,0.14264722168445587
",",0.1823609173297882,0.23945219814777374,0.2596952021121979,0.24384500086307526,0.4933079481124878,0.2272098958492279,0.26524072885513306,0.4946078956127167,0.34499165415763855,0.2678719460964203,0.5201468467712402,0.3087472915649414,0.23938199877738953,0.1753857135772705,0.31091248989105225
then,0.16720212996006012,0.24599680304527283,0.23982973396778107,0.19816234707832336,0.4297412931919098,0.18649546802043915,0.3136972486972809,0.2937326431274414,0.3652275502681732,0.17748352885246277,0.36253848671913147,0.4072686731815338,0.27799543738365173,0.20113933086395264,0.2884598970413208
