,members,of,which,organizations,are,disqualified,from,sitting,in,the,sp,as,elected,msps,?
members,0.9999998807907104,0.28120753169059753,0.295350044965744,0.3599779009819031,0.31528955698013306,0.15943622589111328,0.2350950688123703,0.2116272896528244,0.196792870759964,0.3321719169616699,0.1204267367720604,0.21428564190864563,0.37164974212646484,0.48753979802131653,0.10212311148643494
of,0.28120753169059753,1.0,0.5011631846427917,0.24586479365825653,0.39081433415412903,0.08448971062898636,0.4249346852302551,0.25816693902015686,0.5696388483047485,0.733189046382904,0.1475101262331009,0.3886612355709076,0.2767166793346405,0.32335641980171204,0.1826142966747284
the,0.3321719169616699,0.733189046382904,0.6521818041801453,0.2850687503814697,0.40399202704429626,0.2044222503900528,0.40150508284568787,0.34434789419174194,0.6662389636039734,1.0,0.14163239300251007,0.48381632566452026,0.23167964816093445,0.3199247419834137,0.22068053483963013
police,0.22674134373664856,0.19770009815692902,0.17365802824497223,0.25884339213371277,0.18255393207073212,0.22682461142539978,0.19563883543014526,0.17926034331321716,0.2662045955657959,0.2206914722919464,0.05752745270729065,0.21138590574264526,0.20037472248077393,0.258494108915329,0.1765819936990738
and,0.2994427978992462,0.5116966962814331,0.506277859210968,0.2811741828918457,0.48576638102531433,0.16630250215530396,0.3601827025413513,0.22681930661201477,0.4954058527946472,0.5171257257461548,0.12404820322990417,0.49487000703811646,0.19514460861682892,0.2830604016780853,0.20544172823429108
the,0.3321719169616699,0.733189046382904,0.6521818041801453,0.2850687503814697,0.40399202704429626,0.2044222503900528,0.40150508284568787,0.34434789419174194,0.6662389636039734,1.0,0.14163239300251007,0.48381632566452026,0.23167964816093445,0.3199247419834137,0.22068053483963013
armed,0.31948691606521606,0.24764959514141083,0.25638556480407715,0.3527498245239258,0.19221976399421692,0.21614927053451538,0.15979550778865814,0.15843597054481506,0.2077496349811554,0.2418309897184372,0.1297043263912201,0.1771813929080963,0.2436043620109558,0.3469255268573761,0.18816959857940674
forces,0.17616847157478333,0.3090144991874695,0.2267666757106781,0.26030296087265015,0.22039441764354706,0.151668518781662,0.15575696527957916,0.08080806583166122,0.2565164566040039,0.3134811818599701,0.12328633666038513,0.1724308878183365,0.17767977714538574,0.3005969524383545,0.16984491050243378
are,0.31528955698013306,0.39081433415412903,0.42922598123550415,0.29940158128738403,1.0,0.11893125623464584,0.2674213647842407,0.19820302724838257,0.3841303884983063,0.40399202704429626,0.11271944642066956,0.3826591968536377,0.08523022383451462,0.33991923928260803,0.24591213464736938
disqualified,0.15943622589111328,0.08448971062898636,0.15907429158687592,0.11800339072942734,0.11893125623464584,1.0,0.17321017384529114,0.27560320496559143,0.14320585131645203,0.2044222503900528,0.060831449925899506,0.18785656988620758,0.2609648108482361,0.2241961508989334,0.16874074935913086
