,relegation,to,secondary,status,for,abc,resulted,in,viewership,how,much,lower,than,their,competitors,",",according,to,goldenson,?
according,0.1473996788263321,0.28520727157592773,0.15505005419254303,0.21683616936206818,0.1956551969051361,0.17095112800598145,0.2725266218185425,0.29259276390075684,0.24304351210594177,0.29424387216567993,0.14022965729236603,0.08326106518507004,0.21595615148544312,0.22182291746139526,0.048845697194337845,0.3107093870639801,1.0,0.28520727157592773,0.15906700491905212,0.21173474192619324
to,0.27386924624443054,1.0,0.27947136759757996,0.268886923789978,0.4451248347759247,0.1762417107820511,0.24989460408687592,0.45010748505592346,0.29246488213539124,0.44169697165489197,0.40610215067863464,0.233318492770195,0.3192550539970398,0.44619059562683105,0.2333730012178421,0.44245919585227966,0.28520727157592773,1.0,0.18715453147888184,0.29463258385658264
goldenson,0.20016592741012573,0.18715453147888184,0.08257235586643219,0.18600554764270782,0.2793877124786377,0.29072654247283936,0.11565840989351273,0.2430626004934311,0.26148080825805664,0.23606936633586884,0.17073003947734833,0.11129089444875717,0.1491968333721161,0.2320617437362671,0.19580905139446259,0.3194567561149597,0.15906700491905212,0.18715453147888184,1.0,0.2495560646057129
",",0.23694710433483124,0.44245919585227966,0.2158004194498062,0.2404196411371231,0.4464869201183319,0.2097204476594925,0.21903154253959656,0.5201468467712402,0.2360859364271164,0.22659391164779663,0.36182254552841187,0.236776202917099,0.3371901512145996,0.3045167922973633,0.22969336807727814,1.0000001192092896,0.3107093870639801,0.44245919585227966,0.3194567561149597,0.31091248989105225
this,0.2999781370162964,0.5759071707725525,0.1917422115802765,0.2951132357120514,0.5082864165306091,0.16107726097106934,0.30420592427253723,0.45205554366111755,0.3598095774650574,0.45272302627563477,0.5015546083450317,0.25191617012023926,0.42539164423942566,0.40095847845077515,0.20962783694267273,0.4316047728061676,0.2687089741230011,0.5759071707725525,0.26477110385894775,0.3155723512172699
meant,0.2323341816663742,0.38652777671813965,0.10750248283147812,0.18005579710006714,0.375589519739151,0.14319024980068207,0.28671330213546753,0.25344955921173096,0.23580007255077362,0.36433035135269165,0.3559747338294983,0.17594076693058014,0.33308854699134827,0.31997111439704895,0.24307437241077423,0.2770281732082367,0.23692595958709717,0.38652777671813965,0.15811416506767273,0.28817421197891235
that,0.2583962380886078,0.5436353087425232,0.1989964246749878,0.2510426938533783,0.4137635827064514,0.17440107464790344,0.22833308577537537,0.435920387506485,0.3408862352371216,0.557814359664917,0.4869440197944641,0.25661587715148926,0.4891277849674225,0.4266771972179413,0.33175650238990784,0.4137537479400635,0.29146862030029297,0.5436353087425232,0.273436039686203,0.32716336846351624
an,0.11999502032995224,0.3138085603713989,0.14836344122886658,0.1671348363161087,0.3236706852912903,0.16561369597911835,0.18006636202335358,0.2605783939361572,0.1838802993297577,0.2520636022090912,0.2866077721118927,0.0962325856089592,0.2493579238653183,0.19624626636505127,0.147453173995018,0.3581022024154663,0.16550497710704803,0.3138085603713989,0.21420323848724365,0.19793890416622162
hour,0.21051138639450073,0.2576034665107727,0.15068525075912476,0.10410675406455994,0.23131200671195984,0.2939651310443878,0.28095152974128723,0.18130972981452942,0.3393922746181488,0.18705321848392487,0.23219798505306244,0.131914421916008,0.2943193316459656,0.17927834391593933,0.13754117488861084,0.21336033940315247,0.16336393356323242,0.2576034665107727,0.1670471727848053,0.18463996052742004
of,0.2071606069803238,0.41548454761505127,0.219074085354805,0.20139996707439423,0.4185989499092102,0.14607268571853638,0.3479447662830353,0.5696388483047485,0.20606210827827454,0.2480744868516922,0.2671096920967102,0.31757521629333496,0.33036211133003235,0.4329940676689148,0.16556251049041748,0.4946078956127167,0.3307822346687317,0.41548454761505127,0.21861588954925537,0.1826142966747284
