,what,type,of,surnames,is,their,a,strong,presence,of,?
there,0.35085538029670715,0.2376682013273239,0.44397735595703125,0.22454018890857697,0.3904260993003845,0.3165968358516693,0.4214206337928772,0.23779571056365967,0.2683667242527008,0.44397735595703125,0.29405656456947327
is,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.16170011460781097,1.0,0.2101074606180191,0.658733606338501,0.24643836915493011,0.27154475450515747,0.4854315221309662,0.22961433231830597
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.14168789982795715,0.658733606338501,0.29698723554611206,1.0,0.3321513831615448,0.2469376027584076,0.5052502155303955,0.23916715383529663
strong,0.19839218258857727,0.21529075503349304,0.2524286210536957,0.09132499992847443,0.24643836915493011,0.2735729515552521,0.3321513831615448,1.0,0.3230956792831421,0.2524286210536957,0.11990999430418015
presence,0.24428647756576538,0.192283496260643,0.2917717397212982,0.16188465058803558,0.27154475450515747,0.29482147097587585,0.2469376027584076,0.3230956792831421,0.9999999403953552,0.2917717397212982,0.08592845499515533
of,0.33290785551071167,0.18112817406654358,1.0,0.18380562961101532,0.4854315221309662,0.4329940676689148,0.5052502155303955,0.2524286210536957,0.2917717397212982,1.0,0.1826142966747284
border,0.26696228981018066,0.13176748156547546,0.24084383249282837,0.08539453148841858,0.22676031291484833,0.16215860843658447,0.20451702177524567,0.17564274370670319,0.19076178967952728,0.24084383249282837,0.1706928312778473
reiver,0.2459236979484558,0.09832953661680222,0.09685961902141571,0.04524634778499603,0.24433283507823944,0.1813180297613144,0.2336810827255249,0.20097532868385315,0.1098099872469902,0.09685961902141571,0.2147630751132965
surnames,0.15947236120700836,0.08776462078094482,0.18380562961101532,1.0,0.16170011460781097,0.2273976355791092,0.14168789982795715,0.09132499992847443,0.16188465058803558,0.18380562961101532,0.1774638444185257
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2633417248725891,0.4691906273365021,0.3045167922973633,0.427140474319458,0.3008308410644531,0.21457527577877045,0.4946078956127167,0.31091248989105225
such,0.23989605903625488,0.2636772096157074,0.3209529519081116,0.16177792847156525,0.23545363545417786,0.30566170811653137,0.2706976532936096,0.27974560856819153,0.31763818860054016,0.3209529519081116,0.17851735651493073
as,0.31749409437179565,0.19307732582092285,0.3886612355709076,0.2599829137325287,0.43216490745544434,0.29218852519989014,0.39550232887268066,0.29006344079971313,0.2591531276702881,0.3886612355709076,0.27043893933296204
armstrong,0.13854533433914185,0.16780783236026764,0.22170914709568024,0.16586622595787048,0.1491171419620514,0.17728732526302338,0.24452151358127594,0.34060806035995483,0.13503830134868622,0.22170914709568024,0.16033582389354706
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2633417248725891,0.4691906273365021,0.3045167922973633,0.427140474319458,0.3008308410644531,0.21457527577877045,0.4946078956127167,0.31091248989105225
charlton,0.10478371381759644,0.10585334151983261,0.13293112814426422,0.1674799919128418,0.19540898501873016,0.10781396925449371,0.1860436201095581,0.1484314650297165,0.11229261755943298,0.13293112814426422,0.15759405493736267
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2633417248725891,0.4691906273365021,0.3045167922973633,0.427140474319458,0.3008308410644531,0.21457527577877045,0.4946078956127167,0.31091248989105225
elliot,0.15374787151813507,0.11149071902036667,0.10618462413549423,0.14405912160873413,0.13397963345050812,0.22115319967269897,0.1495424062013626,0.13907192647457123,0.05874337628483772,0.10618462413549423,0.1330009549856186
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2633417248725891,0.4691906273365021,0.3045167922973633,0.427140474319458,0.3008308410644531,0.21457527577877045,0.4946078956127167,0.31091248989105225
johnstone,0.1648307889699936,0.09760929644107819,0.2098076045513153,0.13335159420967102,0.20837850868701935,0.15164466202259064,0.2393406629562378,0.10877246409654617,0.10141768306493759,0.2098076045513153,0.1940518319606781
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2633417248725891,0.4691906273365021,0.3045167922973633,0.427140474319458,0.3008308410644531,0.21457527577877045,0.4946078956127167,0.31091248989105225
kerr,0.15899355709552765,0.12021772563457489,0.20425228774547577,0.10681044310331345,0.19250895082950592,0.16007761657238007,0.16628921031951904,0.1499108374118805,0.09515831619501114,0.20425228774547577,0.2155774086713791
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2633417248725891,0.4691906273365021,0.3045167922973633,0.427140474319458,0.3008308410644531,0.21457527577877045,0.4946078956127167,0.31091248989105225
hall,0.10849796235561371,0.09146706759929657,0.23551815748214722,0.11466891318559647,0.21646162867546082,0.15491051971912384,0.23568391799926758,0.12624134123325348,0.12203680723905563,0.23551815748214722,0.13520537316799164
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2633417248725891,0.4691906273365021,0.3045167922973633,0.427140474319458,0.3008308410644531,0.21457527577877045,0.4946078956127167,0.31091248989105225
nixon,0.18846890330314636,0.07389011234045029,0.1782437115907669,0.13911087810993195,0.10398634523153305,0.17342907190322876,0.1866707056760788,0.17851807177066803,0.17413663864135742,0.1782437115907669,0.18047039210796356
