,what,is,the,name,of,another,type,of,prime,here,p+1,or,p-1,takes,a,certain,shape,?
other,0.341873437166214,0.25895947217941284,0.44152235984802246,0.20388714969158173,0.38583824038505554,0.4440920054912567,0.2522227168083191,0.38583824038505554,0.12105745822191238,0.3811691701412201,0.14080998301506042,0.5325124859809875,0.25156018137931824,0.20307515561580658,0.2806335389614105,0.5099844932556152,0.2332415133714676,0.24682199954986572
primes,0.2505246102809906,0.2382466346025467,0.22359657287597656,0.17554329335689545,0.22199293971061707,0.2227129191160202,0.14125247299671173,0.22199293971061707,0.7104739546775818,0.26243314146995544,0.17892986536026,0.18961890041828156,0.11574617773294449,0.16761335730552673,0.21026647090911865,0.2068222463130951,0.2231428474187851,0.18851876258850098
where,0.4457937180995941,0.3586711287498474,0.5003893971443176,0.24663519859313965,0.38066378235816956,0.42079871892929077,0.2292499989271164,0.38066378235816956,0.1555541604757309,0.472715824842453,0.14262913167476654,0.3651050925254822,0.20330172777175903,0.2697744369506836,0.40997210144996643,0.40590155124664307,0.20171105861663818,0.24793872237205505
either,0.3851809501647949,0.3086068034172058,0.3795609474182129,0.1591757982969284,0.24225673079490662,0.41866961121559143,0.2706933617591858,0.24225673079490662,0.14808383584022522,0.38015463948249817,0.08741764724254608,0.6381545066833496,0.13362513482570648,0.18377117812633514,0.40784984827041626,0.46597981452941895,0.2293858528137207,0.31498292088508606
p,0.18586504459381104,0.11757151037454605,0.16481639444828033,0.12600450217723846,0.18174134194850922,0.18335872888565063,0.19127611815929413,0.18174134194850922,0.17530764639377594,0.16085399687290192,0.1555454283952713,0.1296345591545105,0.17172545194625854,0.1087963730096817,0.15866722166538239,0.10052938759326935,0.1409619301557541,0.20840544998645782
+,0.1158081665635109,0.12961794435977936,0.12941905856132507,0.0907977744936943,0.14862146973609924,0.17676423490047455,0.1153663694858551,0.14862146973609924,0.18566271662712097,0.22654525935649872,0.15162166953086853,0.23950374126434326,0.16761349141597748,0.11571668088436127,0.10495228320360184,0.19085124135017395,0.14461451768875122,0.2903686463832855
1,-0.21266892552375793,-0.12491171807050705,-0.1554475575685501,-0.18995489180088043,-0.09473495930433273,-0.2542208731174469,-0.13035114109516144,-0.09473495930433273,-0.17159132659435272,-0.21911947429180145,-0.060889337211847305,-0.21893133223056793,-0.06967667490243912,-0.1857132464647293,-0.20817746222019196,-0.3205966353416443,-0.06045594438910484,-0.249979168176651
or,0.33867141604423523,0.41870999336242676,0.4174870550632477,0.19621294736862183,0.3792596757411957,0.4401204288005829,0.38183850049972534,0.3792596757411957,0.12635108828544617,0.3268282115459442,0.09605097770690918,1.0000001192092896,0.18748977780342102,0.275495320558548,0.48853766918182373,0.49912479519844055,0.29728466272354126,0.32389625906944275
p,0.18586504459381104,0.11757151037454605,0.16481639444828033,0.12600450217723846,0.18174134194850922,0.18335872888565063,0.19127611815929413,0.18174134194850922,0.17530764639377594,0.16085399687290192,0.1555454283952713,0.1296345591545105,0.17172545194625854,0.1087963730096817,0.15866722166538239,0.10052938759326935,0.1409619301557541,0.20840544998645782
−,0.14940914511680603,0.16782180964946747,0.15648725628852844,0.1099875196814537,0.12494775652885437,0.16021154820919037,0.06475920230150223,0.12494775652885437,0.2215985357761383,0.11989107728004456,0.21380388736724854,0.1287921518087387,0.09467014670372009,0.19240868091583252,0.11609785258769989,0.12741200625896454,0.1470392644405365,0.22067660093307495
