,who,was,iqbal,a,critic,of,?
he,0.5500732064247131,0.5410010814666748,0.2922578454017639,0.4393508732318878,0.28106534481048584,0.38706058263778687,0.2089974731206894
was,0.3318818509578705,1.0000001192092896,0.31416603922843933,0.4508470594882965,0.33573490381240845,0.4069072902202606,0.18412111699581146
a,0.36608949303627014,0.4508470594882965,0.19544151425361633,1.0,0.24868325889110565,0.5052502155303955,0.23916715383529663
critic,0.2336529940366745,0.33573490381240845,0.2935667335987091,0.24868325889110565,1.0000001192092896,0.14776557683944702,0.1728995442390442
of,0.2827862501144409,0.4069072902202606,0.17434294521808624,0.5052502155303955,0.14776557683944702,1.0,0.1826142966747284
the,0.3733934462070465,0.48711544275283813,0.1828971952199936,0.5829201340675354,0.16926419734954834,0.733189046382904,0.22068053483963013
mainstream,0.2113107591867447,0.22521357238292694,0.2672440707683563,0.24071624875068665,0.3028176724910736,0.1556297391653061,0.15872372686862946
indian,0.27032554149627686,0.23096419870853424,0.3442074656486511,0.21449552476406097,0.27515730261802673,0.24303589761257172,0.09909533709287643
nationalist,0.3018501400947571,0.29047420620918274,0.32683104276657104,0.20176255702972412,0.34541085362434387,0.1902468353509903,0.15158766508102417
and,0.41279885172843933,0.3740963041782379,0.26650312542915344,0.3739250600337982,0.26078635454177856,0.5116966962814331,0.20544172823429108
secularist,0.2658076584339142,0.2933575212955475,0.3614893853664398,0.2249424159526825,0.36397966742515564,0.26765596866607666,0.16021908819675446
indian,0.27032554149627686,0.23096419870853424,0.3442074656486511,0.21449552476406097,0.27515730261802673,0.24303589761257172,0.09909533709287643
national,0.18105065822601318,0.2433898150920868,0.22550000250339508,0.27889734506607056,0.22796012461185455,0.3314673602581024,0.15643028914928436
congress,0.1701458990573883,0.23910820484161377,0.2515510022640228,0.1857503354549408,0.19449539482593536,0.2447044849395752,0.2020287960767746
.,0.3541337847709656,0.40146201848983765,0.2092389315366745,0.50484299659729,0.23640619218349457,0.5352458953857422,0.4130953550338745
