,how,many,tons,of,carbon,are,absorbed,the,amazon,in,a,typical,year,?
in,0.2601168751716614,0.41474202275276184,0.19120186567306519,0.5696388483047485,0.1857566386461258,0.3841303884983063,0.2717096209526062,0.6662389636039734,0.12227833271026611,1.0,0.539380669593811,0.2587708830833435,0.3359307050704956,0.20430970191955566
a,0.29312583804130554,0.2872205972671509,0.16760815680027008,0.5052502155303955,0.22569981217384338,0.265255331993103,0.24711519479751587,0.5829201340675354,0.1865728348493576,0.539380669593811,1.0,0.4022108316421509,0.29350247979164124,0.23916715383529663
typical,0.24768081307411194,0.3185737729072571,0.14856208860874176,0.33413293957710266,0.20548951625823975,0.30390527844429016,0.24548804759979248,0.28039172291755676,0.20349423587322235,0.2587708830833435,0.4022108316421509,1.0,0.05211680382490158,0.15633712708950043
year,0.19631797075271606,0.21933086216449738,0.1723073422908783,0.2578314542770386,0.1846146285533905,0.1750577986240387,0.08991089463233948,0.3609684407711029,0.1589571088552475,0.3359307050704956,0.29350247979164124,0.05211680382490158,1.0,0.18315006792545319
the,0.33890387415885925,0.4335206151008606,0.20730508863925934,0.733189046382904,0.23183570802211761,0.40399202704429626,0.3526548445224762,1.0,0.260541707277298,0.6662389636039734,0.5829201340675354,0.28039172291755676,0.3609684407711029,0.22068053483963013
amazon,0.16216763854026794,0.22591036558151245,0.19077828526496887,0.20143137872219086,0.1535501331090927,0.15230076014995575,0.17413018643856049,0.260541707277298,1.0000001192092896,0.12227833271026611,0.1865728348493576,0.20349423587322235,0.1589571088552475,0.18144656717777252
absorbs,0.3004227578639984,0.24335989356040955,0.257820188999176,0.2537328600883484,0.4686315357685089,0.27571675181388855,0.7641632556915283,0.27842673659324646,0.2235538214445114,0.20395399630069733,0.25061121582984924,0.26981374621391296,0.08637238293886185,0.17056214809417725
1.5,-0.0821528434753418,-0.05444888398051262,0.17334714531898499,-0.05789397656917572,0.026759587228298187,0.01531984843313694,-0.02867654152214527,-0.0306364968419075,-0.04558926075696945,0.006299155298620462,0.030027519911527634,-0.0335908867418766,0.06705087423324585,0.007378216367214918
gigatons,0.2769482433795929,0.30789801478385925,0.5541175603866577,0.2787681519985199,0.3988065719604492,0.3403164744377136,0.20275379717350006,0.31882598996162415,0.29096561670303345,0.20916076004505157,0.25995582342147827,0.2818923592567444,0.16304050385951996,0.20556609332561493
of,0.2480744868516922,0.37253960967063904,0.19702266156673431,1.0,0.22596238553524017,0.39081433415412903,0.2725847065448761,0.733189046382904,0.20143137872219086,0.5696388483047485,0.5052502155303955,0.33413293957710266,0.2578314542770386,0.1826142966747284
carbon,0.24845077097415924,0.2032410353422165,0.3705548048019409,0.22596238553524017,1.0000001192092896,0.2875964641571045,0.3182238042354584,0.23183570802211761,0.1535501331090927,0.1857566386461258,0.22569981217384338,0.20548951625823975,0.1846146285533905,0.19040444493293762
dioxide,0.26440125703811646,0.22679080069065094,0.33572500944137573,0.19224253296852112,0.796758234500885,0.2802322804927826,0.3636268079280853,0.21460992097854614,0.21887308359146118,0.16380831599235535,0.17966489493846893,0.19864457845687866,0.18116341531276703,0.19322559237480164
;,0.07230665534734726,0.11763367056846619,-0.0707673504948616,0.054534342139959335,0.03503986820578575,0.15315808355808258,0.021105412393808365,0.09152708947658539,0.11813170462846756,0.092739537358284,-0.02122584730386734,0.03989478200674057,0.00956164300441742,0.10349778085947037
during,0.26830652356147766,0.3661181330680847,0.1267145574092865,0.3869180977344513,0.13719074428081512,0.2297976016998291,0.24661380052566528,0.4838213622570038,0.11170908063650131,0.4627237319946289,0.30341604351997375,0.24994854629039764,0.3447895348072052,0.1325719803571701
