,what,did,guo,shoujing,do,for,calendars,?
guo,0.15294545888900757,0.19615724682807922,1.0,0.5889161229133606,0.15840686857700348,0.25654762983322144,0.20485562086105347,0.21861954033374786
shoujing,0.34609338641166687,0.2944992780685425,0.5889161229133606,1.0,0.25136104226112366,0.3289255201816559,0.3049111068248749,0.31839457154273987
applied,0.1944669634103775,0.1921747773885727,0.12829184532165527,0.2199649065732956,0.25950026512145996,0.28770551085472107,0.1806751787662506,0.15585725009441376
mathematics,0.23833249509334564,0.18638913333415985,0.21919266879558563,0.2833704352378845,0.21442121267318726,0.2045057862997055,0.27418363094329834,0.1453448086977005
to,0.455847829580307,0.4452643394470215,0.19290319085121155,0.28708764910697937,0.38876664638519287,0.4451248347759247,0.19962887465953827,0.29463258385658264
the,0.42745697498321533,0.34736719727516174,0.24603934586048126,0.351561963558197,0.30239659547805786,0.4739971458911896,0.1856866478919983,0.22068053483963013
construction,0.20329850912094116,0.1474381983280182,0.24482402205467224,0.3306192457675934,0.14409466087818146,0.2193669229745865,0.18563413619995117,0.13494056463241577
of,0.33290785551071167,0.2513895630836487,0.2414080798625946,0.28500378131866455,0.26150479912757874,0.4185989499092102,0.1526276171207428,0.1826142966747284
calendars,0.19569607079029083,0.19281445443630219,0.20485562086105347,0.3049111068248749,0.21471267938613892,0.17202311754226685,1.0000001192092896,0.18057796359062195
.,0.3567904531955719,0.35288307070732117,0.27196362614631653,0.29798418283462524,0.3613996207714081,0.4726039469242096,0.17516836524009705,0.4130953550338745
