,what,drama,from,aaron,spelling,debuted,on,abc,in,the,80s,?
several,0.22446060180664062,0.19119800627231598,0.2822973132133484,0.1440989077091217,0.144394189119339,0.1489071398973465,0.33774417638778687,0.1428346037864685,0.39405709505081177,0.40559855103492737,-0.00610506534576416,0.15595775842666626
flagship,0.12794113159179688,0.24556615948677063,0.1945747286081314,0.11553161591291428,0.15653802454471588,0.29756832122802734,0.3151450753211975,0.3940317928791046,0.2960335314273834,0.33778491616249084,-0.03114146925508976,0.0801878422498703
series,0.17328087985515594,0.42834165692329407,0.20279763638973236,0.17401792109012604,0.09755084663629532,0.2802524268627167,0.23828625679016113,0.38518208265304565,0.2914260923862457,0.31376904249191284,0.0181881096214056,0.1709602326154709
debuted,0.08543460816144943,0.1770562082529068,0.18207629024982452,0.10874229669570923,0.14662198722362518,0.9999999403953552,0.3414226770401001,0.27247121930122375,0.25110283493995667,0.28418588638305664,-0.01780182681977749,0.12089905142784119
on,0.34226128458976746,0.25024503469467163,0.36926645040512085,0.1696627140045166,0.1778590828180313,0.3414226770401001,0.9999999403953552,0.2862928807735443,0.46853652596473694,0.5107308030128479,0.03275653347373009,0.2714994251728058
the,0.42745697498321533,0.2408958077430725,0.40150508284568787,0.201257586479187,0.23768942058086395,0.28418588638305664,0.5107308030128479,0.2068762183189392,0.6662389636039734,1.0,-0.01839756779372692,0.22068053483963013
network,0.16917307674884796,0.20221145451068878,0.13736474514007568,0.1573265790939331,0.11459214240312576,0.28641700744628906,0.30190837383270264,0.4295894205570221,0.19496823847293854,0.27187061309814453,-0.044965628534555435,0.17853789031505585
during,0.24137552082538605,0.2056724727153778,0.3186885714530945,0.20893993973731995,0.10007989406585693,0.2861698865890503,0.3347817361354828,0.18870772421360016,0.4627237319946289,0.4838213622570038,0.05185355618596077,0.1325719803571701
this,0.5489566326141357,0.20493528246879578,0.3469814360141754,0.1552487462759018,0.2623215317726135,0.1850968450307846,0.4193967580795288,0.16107726097106934,0.45205554366111755,0.6274310946464539,0.005713189486414194,0.3155723512172699
time,0.36319252848625183,0.15658996999263763,0.2964353561401367,0.20228281617164612,0.15740153193473816,0.2211022526025772,0.30044233798980713,0.17553414404392242,0.3431483507156372,0.43061500787734985,-0.011562292464077473,0.27391523122787476
including,0.18328791856765747,0.19052813947200775,0.3061726689338684,0.15057893097400665,0.14025332033634186,0.14016272127628326,0.324923574924469,0.1471431404352188,0.35857823491096497,0.3738902807235718,0.055824678391218185,0.1633303165435791
dynasty,0.17240095138549805,0.15775379538536072,0.17493854463100433,0.10749500244855881,0.16424822807312012,0.10694099217653275,0.10236000269651413,0.17172697186470032,0.15246383845806122,0.26267939805984497,0.10099048167467117,0.15884074568748474
",",0.3087472915649414,0.240437850356102,0.39760664105415344,0.20254378020763397,0.2965300381183624,0.23864160478115082,0.49057599902153015,0.2097204476594925,0.5201468467712402,0.4933079481124878,0.029205748811364174,0.31091248989105225
an,0.2821882665157318,0.18521735072135925,0.20876385271549225,0.18292833864688873,0.21581794321537018,0.19938445091247559,0.3192969560623169,0.16561369597911835,0.2605783939361572,0.4207492768764496,0.03870077431201935,0.19793890416622162
