,primitive,jawless,vertebrates,possess,an,array,of,receptors,referred,to,as,what,?
these,0.343059778213501,0.24026432633399963,0.3350789248943329,0.35442978143692017,0.16632772982120514,0.21331869065761566,0.42684608697891235,0.345714271068573,0.22457730770111084,0.46852558851242065,0.3802948296070099,0.4164220690727234,0.2571668326854706
animals,0.3799155354499817,0.3938828110694885,0.5768664479255676,0.3420764207839966,0.19857095181941986,0.13036711513996124,0.2599885165691376,0.3413817286491394,0.1606665998697281,0.28293174505233765,0.22922728955745697,0.26212990283966064,0.16430135071277618
possess,0.3689247667789459,0.4075721502304077,0.33452022075653076,1.0000001192092896,0.20875659584999084,0.22079874575138092,0.27185752987861633,0.32704558968544006,0.2346017062664032,0.287485271692276,0.26841098070144653,0.26773881912231445,0.1285712569952011
a,0.23558078706264496,0.2381671965122223,0.22984667122364044,0.2543204426765442,0.44552403688430786,0.2241743952035904,0.5052502155303955,0.22610558569431305,0.2686276137828827,0.45503583550453186,0.39550232887268066,0.3320399522781372,0.23916715383529663
large,0.3051247000694275,0.2712388336658478,0.31637412309646606,0.2411869466304779,0.25319868326187134,0.3269440531730652,0.3569655418395996,0.20699810981750488,0.2424640953540802,0.3150999844074249,0.24282054603099823,0.2017821967601776,0.1355665624141693
array,0.19303001463413239,0.2200990915298462,0.2528317868709564,0.22079874575138092,0.19101451337337494,1.0,0.17498986423015594,0.21722257137298584,0.09573877602815628,0.19122515618801117,0.1379435509443283,0.2076577991247177,0.18988128006458282
of,0.2775842249393463,0.22845003008842468,0.2946195900440216,0.27185752987861633,0.32280945777893066,0.17498986423015594,1.0,0.19634202122688293,0.317892849445343,0.41548454761505127,0.3886612355709076,0.33290785551071167,0.1826142966747284
molecules,0.21400628983974457,0.21945253014564514,0.4196745455265045,0.278281033039093,0.16183172166347504,0.25498947501182556,0.24428431689739227,0.5433341264724731,0.14023873209953308,0.2749134600162506,0.2531224191188812,0.2143162339925766,0.17409995198249817
called,0.2928380072116852,0.18856565654277802,0.19273005425930023,0.2556827664375305,0.2858632802963257,0.18773621320724487,0.4222904443740845,0.2505668103694916,0.5142771601676941,0.2987143397331238,0.2827680706977844,0.3235960602760315,0.18963319063186646
variable,0.1909429430961609,0.2030247151851654,0.2669561803340912,0.22407525777816772,0.18767240643501282,0.42721793055534363,0.1980873942375183,0.27277296781539917,0.17207373678684235,0.20649605989456177,0.22872738540172577,0.21000628173351288,0.1795729100704193
lymphocyte,0.2582884132862091,0.27263134717941284,0.5089545249938965,0.22874410450458527,0.1635313779115677,0.28022170066833496,0.26249200105667114,0.5771373510360718,0.15861020982265472,0.21054427325725555,0.17217150330543518,0.19295191764831543,0.19066374003887177
receptors,0.3049635887145996,0.269070565700531,0.48123592138290405,0.32704558968544006,0.19382160902023315,0.21722257137298584,0.19634202122688293,1.0,0.13318923115730286,0.22309477627277374,0.2267514020204544,0.2304931879043579,0.1343143880367279
(,0.1431330442428589,0.18256118893623352,0.16492655873298645,0.11058305203914642,0.286407470703125,0.1690962314605713,0.35032153129577637,0.18011443316936493,0.1912713348865509,0.30882009863853455,0.32029855251312256,0.2411840260028839,0.40561532974243164
