,what,was,the,cost,for,a,half,minute,ad,?
cbs,0.1950361132621765,0.26256829500198364,0.2283918708562851,0.1723526418209076,0.20941372215747833,0.16314536333084106,0.13520333170890808,0.21769653260707855,0.07904361933469772,0.14594407379627228
broadcast,0.17857211828231812,0.24068336188793182,0.2713715434074402,0.13827234506607056,0.2546502649784088,0.2046348601579666,0.15698014199733734,0.2957013249397278,0.08856480568647385,0.15760008990764618
super,0.13651713728904724,0.21420986950397491,0.21959073841571808,0.1336439698934555,0.22938419878482819,0.26005712151527405,0.10353774577379227,0.17703157663345337,0.06299305707216263,0.166326642036438
bowl,0.15942467749118805,0.21915455162525177,0.21576224267482758,0.2092275321483612,0.24430087208747864,0.19533146917819977,0.1286057084798813,0.16801349818706512,0.1156758964061737,0.21118052303791046
50,-0.04124141484498978,-0.0011744623770937324,0.03602437674999237,-0.040493376553058624,0.029183456674218178,0.034183140844106674,-0.030513115227222443,-0.11304541677236557,0.03135479614138603,0.030512850731611252
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.25200018286705017,0.4322226941585541,0.539380669593811,0.25644969940185547,0.19168905913829803,0.1957923024892807,0.20430970191955566
the,0.42745697498321533,0.48711544275283813,1.0,0.23177006840705872,0.4739971458911896,0.5829201340675354,0.3189295828342438,0.1967015564441681,0.24233382940292358,0.22068053483963013
u.s.,0.11178889125585556,0.06837434321641922,0.06592652946710587,0.024254169315099716,0.11615988612174988,0.0347411222755909,0.08742354065179825,0.09939887374639511,0.0604739747941494,0.07886100560426712
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.20970560610294342,0.4464869201183319,0.427140474319458,0.26690807938575745,0.1875860095024109,0.21154692769050598,0.31091248989105225
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.2846847474575043,0.5064792633056641,0.3739250600337982,0.2865435779094696,0.20974476635456085,0.1829509735107422,0.20544172823429108
charged,0.191240593791008,0.2394018918275833,0.2047804892063141,0.24120937287807465,0.17613565921783447,0.21603477001190186,0.12966811656951904,0.06647671014070511,0.08693517744541168,0.1305682212114334
an,0.2821882665157318,0.3694365322589874,0.4207492768764496,0.15845364332199097,0.3236706852912903,0.44552403688430786,0.14947959780693054,0.058212488889694214,0.1621062159538269,0.19793890416622162
average,0.24068789184093475,0.18843130767345428,0.27058175206184387,0.2914794087409973,0.20724235475063324,0.23812800645828247,0.2778952717781067,0.26646238565444946,0.07775484770536423,0.21764592826366425
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.23332229256629944,0.4185989499092102,0.5052502155303955,0.2784358561038971,0.14535203576087952,0.1761893332004547,0.1826142966747284
$,0.24858909845352173,0.23838669061660767,0.23367542028427124,0.5133980512619019,0.22711659967899323,0.22939236462116241,0.23650839924812317,0.24976544082164764,0.16893021762371063,0.2786129117012024
5,0.09269922226667404,-0.020029501989483833,0.09255307912826538,0.0013155064079910517,0.06971735507249832,0.07282212376594543,-0.02020477131009102,0.028537379577755928,0.11036597192287445,0.06222071498632431
million,0.22197039425373077,0.24203833937644958,0.277012437582016,0.3814373016357422,0.18660776317119598,0.1811940222978592,0.3345211446285248,0.21522898972034454,0.16669094562530518,0.23092924058437347
for,0.3017193675041199,0.3863949179649353,0.4739971458911896,0.2728281319141388,0.9999999403953552,0.44038116931915283,0.21664121747016907,0.2039429098367691,0.09682639688253403,0.264628142118454
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.21993719041347504,0.44038116931915283,1.0,0.29977813363075256,0.25094980001449585,0.1853104531764984,0.23916715383529663
30-second,0.2115969955921173,0.27058619260787964,0.3721327483654022,0.23334260284900665,0.20732535421848297,0.3324473798274994,0.36081790924072266,0.3695417046546936,0.1701144427061081,0.18454498052597046
commercial,0.12070754915475845,0.22333669662475586,0.23051398992538452,0.27838024497032166,0.25690725445747375,0.2696971893310547,0.15222859382629395,0.2006390243768692,0.1564321517944336,0.04216946288943291
during,0.24137552082538605,0.4470829963684082,0.4838213622570038,0.2707549035549164,0.3448435664176941,0.30341604351997375,0.2575306296348572,0.22324718534946442,0.13994094729423523,0.1325719803571701
the,0.42745697498321533,0.48711544275283813,1.0,0.23177006840705872,0.4739971458911896,0.5829201340675354,0.3189295828342438,0.1967015564441681,0.24233382940292358,0.22068053483963013
game,0.2246788740158081,0.2568269371986389,0.285271555185318,0.18034349381923676,0.2608485519886017,0.23211604356765747,0.15070702135562897,0.25192198157310486,0.08543296158313751,0.1829071193933487
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.26134178042411804,0.4726039469242096,0.50484299659729,0.2995082437992096,0.23421281576156616,0.2654629051685333,0.4130953550338745
