,how,did,hobson,argue,to,rid,the,world,of,imperialism,?
hobson,0.23487335443496704,0.1711030900478363,1.0,0.2743596136569977,0.2265094816684723,0.15076492726802826,0.2172650247812271,0.14375780522823334,0.15904636681079865,0.11299009621143341,0.19245846569538116
theorized,0.2968067228794098,0.2632977068424225,0.16594061255455017,0.29975375533103943,0.2128838151693344,0.1522708237171173,0.24957996606826782,0.18680943548679352,0.26842209696769714,0.30532002449035645,0.10721861571073532
that,0.557814359664917,0.47518548369407654,0.21345439553260803,0.403499037027359,0.5436353087425232,0.33910471200942993,0.5473989248275757,0.2972288429737091,0.41498205065727234,0.23209288716316223,0.32716336846351624
state,0.15028610825538635,0.152080237865448,0.10230792313814163,0.20533958077430725,0.25557461380958557,0.2040845900774002,0.3097178041934967,0.23890167474746704,0.34253445267677307,0.28228023648262024,0.1160883978009224
intervention,0.21999064087867737,0.23382987082004547,0.16826987266540527,0.2088237851858139,0.3095496892929077,0.22506822645664215,0.29976826906204224,0.15695710480213165,0.24540026485919952,0.2887653410434723,0.20387029647827148
through,0.2704794108867645,0.14190755784511566,0.16662436723709106,0.09630018472671509,0.4062686562538147,0.2552240490913391,0.44071322679519653,0.16810309886932373,0.3647414743900299,0.13557466864585876,0.16913433372974396
taxation,0.2096252143383026,0.2398497611284256,0.18003089725971222,0.27219927310943604,0.2542955279350281,0.24407519400119781,0.2914186716079712,0.12519893050193787,0.31190910935401917,0.4294593334197998,0.16318899393081665
could,0.47830453515052795,0.6308382749557495,0.13592243194580078,0.3279750347137451,0.5461788773536682,0.265182763338089,0.35393214225769043,0.23941387236118317,0.29043012857437134,0.23286715149879456,0.3411986827850342
boost,0.2808785140514374,0.25381484627723694,0.173684224486351,0.23543210327625275,0.31145206093788147,0.2548566162586212,0.2371932715177536,0.18863829970359802,0.21631518006324768,0.2573520243167877,0.19418038427829742
broader,0.2722856104373932,0.1403363049030304,0.1776871383190155,0.2988222539424896,0.34871745109558105,0.14011789858341217,0.3188554048538208,0.18667563796043396,0.271144837141037,0.24090959131717682,0.31004589796066284
consumption,0.23946534097194672,0.18743722140789032,0.1564704030752182,0.31100964546203613,0.3022409975528717,0.1784759759902954,0.23633816838264465,0.19447177648544312,0.249590665102005,0.26402145624160767,0.1937485784292221
",",0.22659391164779663,0.3015086054801941,0.3612361550331116,0.2622731626033783,0.44245919585227966,0.18882755935192108,0.4933079481124878,0.26091980934143066,0.4946078956127167,0.2420617640018463,0.31091248989105225
create,0.3201237618923187,0.275378555059433,0.10915913432836533,0.28590887784957886,0.41124165058135986,0.37021851539611816,0.25265660881996155,0.17887330055236816,0.23675619065761566,0.22157476842403412,0.300167441368103
wealth,0.22943173348903656,0.18967029452323914,0.1628294438123703,0.2981451451778412,0.30562296509742737,0.13262614607810974,0.24999672174453735,0.25328367948532104,0.27235376834869385,0.405937135219574,0.1624586433172226
",",0.22659391164779663,0.3015086054801941,0.3612361550331116,0.2622731626033783,0.44245919585227966,0.18882755935192108,0.4933079481124878,0.26091980934143066,0.4946078956127167,0.2420617640018463,0.31091248989105225
and,0.33647966384887695,0.34479495882987976,0.3322136700153351,0.27943217754364014,0.48971283435821533,0.2246866226196289,0.5171257257461548,0.3246132433414459,0.5116966962814331,0.19073538482189178,0.20544172823429108
encourage,0.37874868512153625,0.33932557702064514,0.17565803229808807,0.3738279938697815,0.4254889488220215,0.30966994166374207,0.25321751832962036,0.2059188038110733,0.2560228705406189,0.23104988038539886,0.3081754148006439
