,in,what,year,did,the,first,european,travel,the,entire,length,of,the,amazon,river,?
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.34736719727516174,1.0,0.49448907375335693,0.3423081040382385,0.2857808768749237,1.0,0.4870373010635376,0.26581600308418274,0.733189046382904,1.0,0.260541707277298,0.2894456386566162,0.22068053483963013
first,0.4127444326877594,0.28086137771606445,0.3099139928817749,0.33691170811653137,0.49448907375335693,1.0,0.3093690872192383,0.23025411367416382,0.49448907375335693,0.27585896849632263,0.21919138729572296,0.3536086082458496,0.49448907375335693,0.16250154376029968,0.1314089447259903,0.18701928853988647
european,0.23319172859191895,0.15324164927005768,0.18094593286514282,0.2440035194158554,0.3423081040382385,0.3093690872192383,0.9999998807907104,0.21760687232017517,0.3423081040382385,0.12239070981740952,0.10764465481042862,0.2507138252258301,0.3423081040382385,0.19342482089996338,0.11015722155570984,0.14560863375663757
to,0.45010748505592346,0.455847829580307,0.23523004353046417,0.4452643394470215,0.535392165184021,0.3792489171028137,0.21011990308761597,0.324314147233963,0.535392165184021,0.37588366866111755,0.19374629855155945,0.41548454761505127,0.535392165184021,0.17033490538597107,0.13636653125286102,0.29463258385658264
travel,0.22463937103748322,0.19747209548950195,0.18495431542396545,0.11813092976808548,0.2857808768749237,0.23025411367416382,0.21760687232017517,1.0,0.2857808768749237,0.1716499775648117,0.25353488326072693,0.23167268931865692,0.2857808768749237,0.2628987431526184,0.16004948318004608,0.10014409571886063
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.34736719727516174,1.0,0.49448907375335693,0.3423081040382385,0.2857808768749237,1.0,0.4870373010635376,0.26581600308418274,0.733189046382904,1.0,0.260541707277298,0.2894456386566162,0.22068053483963013
length,0.1989525854587555,0.20598092675209045,0.15561190247535706,0.12838096916675568,0.26581600308418274,0.21919138729572296,0.10764465481042862,0.25353488326072693,0.26581600308418274,0.2673020362854004,1.0,0.22847424447536469,0.26581600308418274,0.23138318955898285,0.2794579565525055,0.16668567061424255
of,0.5696388483047485,0.33290785551071167,0.2578314542770386,0.2513895630836487,0.733189046382904,0.3536086082458496,0.2507138252258301,0.23167268931865692,0.733189046382904,0.3766143023967743,0.22847424447536469,1.0,0.733189046382904,0.20143137872219086,0.19903257489204407,0.1826142966747284
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.34736719727516174,1.0,0.49448907375335693,0.3423081040382385,0.2857808768749237,1.0,0.4870373010635376,0.26581600308418274,0.733189046382904,1.0,0.260541707277298,0.2894456386566162,0.22068053483963013
amazon,0.12227833271026611,0.16355936229228973,0.1589571088552475,0.15553738176822662,0.260541707277298,0.16250154376029968,0.19342482089996338,0.2628987431526184,0.260541707277298,0.22461362183094025,0.23138318955898285,0.20143137872219086,0.260541707277298,1.0000001192092896,0.35898590087890625,0.18144656717777252
river,0.2149806171655655,0.13815869390964508,0.1546591818332672,0.15783563256263733,0.2894456386566162,0.1314089447259903,0.11015722155570984,0.16004948318004608,0.2894456386566162,0.16877517104148865,0.2794579565525055,0.19903257489204407,0.2894456386566162,0.35898590087890625,0.9999999403953552,0.15390869975090027
was,0.45514053106307983,0.22111038863658905,0.3209837079048157,0.41399896144866943,0.48711544275283813,0.5022147297859192,0.22463937103748322,0.1548587530851364,0.48711544275283813,0.2562327980995178,0.13514478504657745,0.4069072902202606,0.48711544275283813,0.14616160094738007,0.15785206854343414,0.18412111699581146
francisco,0.21278683841228485,0.17887917160987854,0.09950915724039078,0.1959451586008072,0.25086042284965515,0.2252713292837143,0.20373336970806122,0.11481481790542603,0.25086042284965515,0.13004469871520996,0.15571656823158264,0.19117538630962372,0.25086042284965515,0.2139676958322525,0.14473628997802734,0.1020219698548317
de,0.24818959832191467,0.10476839542388916,0.14729079604148865,0.09745011478662491,0.23491892218589783,0.21795547008514404,0.1771853119134903,0.13409565389156342,0.23491892218589783,0.08172433078289032,0.105496346950531,0.26292696595191956,0.23491892218589783,0.24810928106307983,0.1869780272245407,0.11064168810844421
orellana,0.22684058547019958,0.14244788885116577,0.09017456322908401,0.12893511354923248,0.23356853425502777,0.12752428650856018,0.1415826678276062,0.1021067202091217,0.23356853425502777,0.16627328097820282,0.11257300525903702,0.19904737174510956,0.23356853425502777,0.2791232764720917,0.22919808328151703,0.14185306429862976
in,1.0,0.30808621644973755,0.3359307050704956,0.2593238651752472,0.6662389636039734,0.4127444326877594,0.23319172859191895,0.22463937103748322,0.6662389636039734,0.3347092568874359,0.1989525854587555,0.5696388483047485,0.6662389636039734,0.12227833271026611,0.2149806171655655,0.20430970191955566
1542,0.00877314805984497,-0.08702553063631058,0.007559388875961304,0.07463250309228897,-0.08821538835763931,0.0960632860660553,0.047911789268255234,0.030893390998244286,-0.08821538835763931,-0.16420528292655945,-0.1579839289188385,0.02141333743929863,-0.08821538835763931,-0.126008078455925,-0.10486903786659241,-0.08775735646486282
.,0.5591574311256409,0.3567904531955719,0.32538118958473206,0.35288307070732117,0.5934505462646484,0.4345304071903229,0.2095622420310974,0.22954578697681427,0.5934505462646484,0.31781989336013794,0.2983158230781555,0.5352458953857422,0.5934505462646484,0.262887567281723,0.21443960070610046,0.4130953550338745
