,data,from,physical,experiments,can,be,extrapolated,to,the,field,to,understand,what,processes,?
this,0.24432523548603058,0.3469814360141754,0.24299249053001404,0.3048359751701355,0.4006461203098297,0.566177248954773,0.35645735263824463,0.5759071707725525,0.6274310946464539,0.23614506423473358,0.5759071707725525,0.44480934739112854,0.5489566326141357,0.36330434679985046,0.3155723512172699
research,0.26049697399139404,0.19734305143356323,0.22286801040172577,0.5054687261581421,0.20920716226100922,0.22765620052814484,0.2625775635242462,0.2667310833930969,0.24391183257102966,0.2291812300682068,0.2667310833930969,0.2666122615337372,0.237140491604805,0.3166685998439789,0.13481977581977844
can,0.21799646317958832,0.2516351342201233,0.3102372884750366,0.28376835584640503,1.0,0.5791122913360596,0.28086596727371216,0.4979398250579834,0.312528520822525,0.15660448372364044,0.4979398250579834,0.38971054553985596,0.34502777457237244,0.3569703698158264,0.3226337134838104
be,0.20036695897579193,0.3107333183288574,0.27982616424560547,0.3123800754547119,0.5791122913360596,1.0,0.3334881067276001,0.4972836375236511,0.4248143136501312,0.21388062834739685,0.4972836375236511,0.41549092531204224,0.3929833769798279,0.3484317362308502,0.3324260413646698
extrapolated,0.31331685185432434,0.2666230797767639,0.24562616646289825,0.31147414445877075,0.28086596727371216,0.3334881067276001,1.0,0.26050883531570435,0.276935338973999,0.16529105603694916,0.26050883531570435,0.24520115554332733,0.23043213784694672,0.3160827159881592,0.15688835084438324
to,0.24776634573936462,0.4069952368736267,0.24461913108825684,0.273220032453537,0.4979398250579834,0.4972836375236511,0.26050883531570435,1.0,0.535392165184021,0.2647967040538788,1.0,0.40101751685142517,0.455847829580307,0.3017963469028473,0.29463258385658264
the,0.20546740293502808,0.40150508284568787,0.20230218768119812,0.21008943021297455,0.312528520822525,0.4248143136501312,0.276935338973999,0.535392165184021,1.0,0.2105809599161148,0.535392165184021,0.2701992988586426,0.42745697498321533,0.24400095641613007,0.22068053483963013
field,0.1816049963235855,0.16799847781658173,0.30339646339416504,0.2889730632305145,0.15660448372364044,0.21388062834739685,0.16529105603694916,0.2647967040538788,0.2105809599161148,1.0,0.2647967040538788,0.1712895929813385,0.1825202852487564,0.21077774465084076,0.11279727518558502
to,0.24776634573936462,0.4069952368736267,0.24461913108825684,0.273220032453537,0.4979398250579834,0.4972836375236511,0.26050883531570435,1.0,0.535392165184021,0.2647967040538788,1.0,0.40101751685142517,0.455847829580307,0.3017963469028473,0.29463258385658264
understand,0.26788321137428284,0.21567170321941376,0.28214600682258606,0.28255143761634827,0.38971054553985596,0.41549092531204224,0.24520115554332733,0.40101751685142517,0.2701992988586426,0.1712895929813385,0.40101751685142517,1.0,0.537946343421936,0.3990256190299988,0.390200674533844
metamorphic,0.2099190205335617,0.22044725716114044,0.2827271521091461,0.18806301057338715,0.28249213099479675,0.22635863721370697,0.3321970999240875,0.18366014957427979,0.19381749629974365,0.06863507628440857,0.18366014957427979,0.233807772397995,0.22321857511997223,0.38570496439933777,0.11114242672920227
processes,0.25086846947669983,0.1768932342529297,0.3349335789680481,0.3541662096977234,0.3569703698158264,0.3484317362308502,0.3160827159881592,0.3017963469028473,0.24400095641613007,0.21077774465084076,0.3017963469028473,0.3990256190299988,0.35821089148521423,1.0000001192092896,0.22719913721084595
and,0.23368559777736664,0.3601827025413513,0.30796876549720764,0.3053898811340332,0.3675691485404968,0.41766801476478577,0.3053414821624756,0.48971283435821533,0.5171257257461548,0.26487240195274353,0.48971283435821533,0.3232683539390564,0.31309178471565247,0.267813503742218,0.20544172823429108
the,0.20546740293502808,0.40150508284568787,0.20230218768119812,0.21008943021297455,0.312528520822525,0.4248143136501312,0.276935338973999,0.535392165184021,1.0,0.2105809599161148,0.535392165184021,0.2701992988586426,0.42745697498321533,0.24400095641613007,0.22068053483963013
conditions,0.13499586284160614,0.19634586572647095,0.2960440218448639,0.315877765417099,0.31035202741622925,0.328298419713974,0.34420880675315857,0.2756218910217285,0.2622014284133911,0.22650979459285736,0.2756218910217285,0.2495335191488266,0.27960067987442017,0.41833847761154175,0.17021824419498444
of,0.20013196766376495,0.4249346852302551,0.3124530017375946,0.16935081779956818,0.2603091299533844,0.33904364705085754,0.30372026562690735,0.41548454761505127,0.733189046382904,0.20410659909248352,0.41548454761505127,0.22435243427753448,0.33290785551071167,0.2369685024023056,0.1826142966747284
crystallization,0.24612653255462646,0.18463394045829773,0.33667200803756714,0.3443480432033539,0.3586324453353882,0.3317487835884094,0.2948038876056671,0.2524395287036896,0.24255043268203735,0.2039860039949417,0.2524395287036896,0.2920163869857788,0.26955747604370117,0.5279582738876343,0.22253930568695068
of,0.20013196766376495,0.4249346852302551,0.3124530017375946,0.16935081779956818,0.2603091299533844,0.33904364705085754,0.30372026562690735,0.41548454761505127,0.733189046382904,0.20410659909248352,0.41548454761505127,0.22435243427753448,0.33290785551071167,0.2369685024023056,0.1826142966747284
igneous,0.17124031484127045,0.19451771676540375,0.28925052285194397,0.1775297373533249,0.24338622391223907,0.2520906627178192,0.36123400926589966,0.17373503744602203,0.25911182165145874,0.16125896573066711,0.17373503744602203,0.23893781006336212,0.2625714838504791,0.3214406967163086,0.18516020476818085
rocks,0.18478578329086304,0.2248125523328781,0.24535682797431946,0.20947377383708954,0.26992547512054443,0.2445140779018402,0.2611958384513855,0.23520028591156006,0.24413059651851654,0.14657773077487946,0.23520028591156006,0.21350231766700745,0.24802041053771973,0.2891939580440521,0.17394492030143738
.,0.24345596134662628,0.41536515951156616,0.20608092844486237,0.261809378862381,0.35783761739730835,0.4383580684661865,0.28772225975990295,0.4645031690597534,0.5934505462646484,0.23224417865276337,0.4645031690597534,0.2949123978614807,0.3567904531955719,0.2279362976551056,0.4130953550338745
