,which,of,his,future,general,'s,fathers,helped,temüjin,escape,the,tayichi'ud,?
the,0.6521818041801453,0.733189046382904,0.4394008219242096,0.2337762415409088,0.28634732961654663,-0.01540423184633255,0.3041773736476898,0.3108886480331421,0.43713900446891785,0.23189567029476166,1.0,0.26578134298324585,0.22068053483963013
tayichi'ud,0.2575399577617645,0.28461363911628723,0.30533504486083984,0.21659646928310394,0.21683017909526825,-0.04169204831123352,0.22709785401821136,0.22494390606880188,0.49675238132476807,0.1423177421092987,0.26578134298324585,1.0,0.2877330482006073
enslaved,0.22082528471946716,0.21849936246871948,0.2752454876899719,0.13232609629631042,0.09014467895030975,0.12345366179943085,0.2758953869342804,0.29219886660575867,0.41994357109069824,0.3198606073856354,0.26615700125694275,0.20192256569862366,0.20439322292804718
temüjin,0.37199702858924866,0.378805011510849,0.4682264029979706,0.26498523354530334,0.27556800842285156,-0.010023289360105991,0.2943136394023895,0.2676631510257721,1.0,0.24744707345962524,0.43713900446891785,0.49675238132476807,0.21090233325958252
(,0.2589828372001648,0.35032153129577637,0.16098198294639587,0.2194698601961136,0.23743551969528198,0.0012731997994706035,0.16839516162872314,0.1903270184993744,0.2132648229598999,0.14368966221809387,0.33289089798927307,0.3280112147331238,0.40561532974243164
reportedly,0.2011891007423401,0.16609424352645874,0.3467721939086914,0.10210638493299484,0.18659821152687073,-0.04693154618144035,0.1655864268541336,0.22168877720832825,0.3825224041938782,0.2303042709827423,0.23811356723308563,0.34047195315361023,0.14895299077033997
with,0.46403205394744873,0.41827285289764404,0.33836179971694946,0.24820348620414734,0.1510423719882965,-0.04624466598033905,0.21246498823165894,0.24667875468730927,0.26846927404403687,0.17095310986042023,0.4223487675189972,0.23875334858894348,0.2433311939239502
a,0.56894451379776,0.5052502155303955,0.3497250974178314,0.16284751892089844,0.2157215178012848,0.04866964742541313,0.18620747327804565,0.24550430476665497,0.36845725774765015,0.18111899495124817,0.5829201340675354,0.28421542048454285,0.23916715383529663
cangue,0.26797622442245483,0.25123199820518494,0.16954748332500458,0.0888843834400177,0.11705990880727768,0.012786599807441235,0.1470796763896942,0.09957356005907059,0.27063578367233276,0.17468075454235077,0.23935668170452118,0.3132210969924927,0.2217435985803604
",",0.3658004403114319,0.4946078956127167,0.3378419280052185,0.2609160840511322,0.3022127151489258,-0.0016132977325469255,0.2596655488014221,0.2661169171333313,0.3484273850917816,0.2325686812400818,0.4933079481124878,0.337033748626709,0.31091248989105225
