,what,was,the,value,of,the,john,jones,collection,when,it,was,left,to,the,museum,?
the,0.42745697498321533,0.48711544275283813,1.0,0.16908381879329681,0.733189046382904,1.0,0.2230520099401474,0.24446700513362885,0.25281965732574463,0.5091903209686279,0.6251175999641418,0.48711544275283813,0.33113980293273926,0.535392165184021,1.0,0.24861779808998108,0.22068053483963013
john,0.18237407505512238,0.2875721752643585,0.2230520099401474,0.12730559706687927,0.2407056987285614,0.2230520099401474,1.0000001192092896,0.34628820419311523,0.14187732338905334,0.20069552958011627,0.19319641590118408,0.2875721752643585,0.16891281306743622,0.2070634365081787,0.2230520099401474,0.14412403106689453,0.13162356615066528
jones,0.18502666056156158,0.23214209079742432,0.24446700513362885,0.1065584197640419,0.2007877230644226,0.24446700513362885,0.34628820419311523,0.9999999403953552,0.18541675806045532,0.21522517502307892,0.17811572551727295,0.23214209079742432,0.1771697849035263,0.19961781799793243,0.24446700513362885,0.17278698086738586,0.1838836669921875
collection,0.215459942817688,0.1743653565645218,0.25281965732574463,0.2082166075706482,0.2915455996990204,0.25281965732574463,0.14187732338905334,0.18541675806045532,0.9999998807907104,0.13679222762584686,0.21974997222423553,0.1743653565645218,0.08197229355573654,0.15417452156543732,0.25281965732574463,0.4441815912723541,0.20069393515586853
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.14933855831623077,1.0,0.733189046382904,0.2407056987285614,0.2007877230644226,0.2915455996990204,0.3757161796092987,0.38761502504348755,0.4069072902202606,0.2218635529279709,0.41548454761505127,0.733189046382904,0.23314370214939117,0.1826142966747284
french,0.17393042147159576,0.2523815333843231,0.2555147111415863,0.10219204425811768,0.19450366497039795,0.2555147111415863,0.16710959374904633,0.11285733431577682,0.12934844195842743,0.18820616602897644,0.18351560831069946,0.2523815333843231,0.10591274499893188,0.1713797152042389,0.2555147111415863,0.0783531442284584,0.1386883556842804
18th-century,0.22015000879764557,0.34820011258125305,0.3194690942764282,0.14408372342586517,0.26043224334716797,0.3194690942764282,0.27046096324920654,0.18743515014648438,0.26656201481819153,0.24605348706245422,0.26740190386772156,0.34820011258125305,0.11315052211284637,0.19639073312282562,0.3194690942764282,0.20300014317035675,0.1101951003074646
art,0.19292277097702026,0.20564036071300507,0.20297785103321075,0.20693686604499817,0.22648051381111145,0.20297785103321075,0.14772957563400269,0.1079808920621872,0.3446033000946045,0.15869338810443878,0.18309639394283295,0.20564036071300507,0.1128707006573677,0.22068513929843903,0.20297785103321075,0.5128974318504333,0.138971745967865
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.24539050459861755,0.5116966962814331,0.5171257257461548,0.21634717285633087,0.26914161443710327,0.2379438579082489,0.4716290831565857,0.40957894921302795,0.3740963041782379,0.2571277916431427,0.48971283435821533,0.5171257257461548,0.21554097533226013,0.20544172823429108
furnishings,0.22956782579421997,0.23523040115833282,0.28501203656196594,0.2090482860803604,0.28384554386138916,0.28501203656196594,0.18218696117401123,0.16817408800125122,0.3360153138637543,0.1800682544708252,0.2822492718696594,0.23523040115833282,0.13128645718097687,0.2821625769138336,0.28501203656196594,0.21683388948440552,0.13212162256240845
