,what,percent,of,the,muslim,population,lives,in,kenya,'s,coastal,region,?
sizeable,0.2813367545604706,0.31134700775146484,0.3066626787185669,0.3523431122303009,0.2296479493379593,0.231654554605484,0.21044617891311646,0.28885987401008606,0.14670330286026,0.11223684251308441,0.2362992763519287,0.18465666472911835,0.2089689075946808
minorities,0.1876634955406189,0.3139975965023041,0.2703961730003357,0.2637370824813843,0.44249165058135986,0.40779295563697815,0.2024783194065094,0.2953944504261017,0.2756823003292084,0.025036832317709923,0.27236729860305786,0.24760308861732483,0.2070426493883133
of,0.33290785551071167,0.3004763424396515,1.0,0.733189046382904,0.267849862575531,0.3060894012451172,0.28370368480682373,0.5696388483047485,0.22226637601852417,-0.03817026689648628,0.29121753573417664,0.2852717339992523,0.1826142966747284
other,0.341873437166214,0.27979278564453125,0.38583824038505554,0.44152235984802246,0.24003073573112488,0.21393196284770966,0.1706455647945404,0.39989137649536133,0.16828607022762299,0.04445967823266983,0.19473424553871155,0.20447027683258057,0.24682199954986572
faiths,0.2985004186630249,0.13409695029258728,0.2752516269683838,0.24702467024326324,0.43888017535209656,0.2223840355873108,0.22053998708724976,0.18843288719654083,0.2138276845216751,0.034819550812244415,0.23277497291564941,0.21168626844882965,0.19062158465385437
do,0.4609605669975281,0.21628159284591675,0.26150479912757874,0.30239659547805786,0.1786540001630783,0.15441055595874786,0.15221576392650604,0.23402775824069977,0.15771609544754028,-0.01994597539305687,0.1405515819787979,0.15212073922157288,0.4093979299068451
exist,0.3340267241001129,0.16799290478229523,0.28013259172439575,0.3024537265300751,0.21593722701072693,0.13814778625965118,0.10594349354505539,0.2361043095588684,0.061877116560935974,0.047799836844205856,0.16718268394470215,0.17138323187828064,0.28923845291137695
(,0.2411840260028839,0.11258889734745026,0.35032153129577637,0.33289089798927307,0.1458628624677658,0.14130665361881256,0.15639722347259521,0.3087427020072937,0.10727446526288986,0.0012731997994706035,0.1812228411436081,0.1544569879770279,0.40561532974243164
muslim,0.2631456255912781,0.22656138241291046,0.267849862575531,0.28099653124809265,1.0,0.2684124708175659,0.13310642540454865,0.2092999517917633,0.238388329744339,0.06176655367016792,0.15491633117198944,0.20331373810768127,0.17456822097301483
11.2,0.03146035969257355,0.025289736688137054,0.02072104439139366,-0.0029750922694802284,0.023233478888869286,0.04348978400230408,0.2143808752298355,0.0854853093624115,0.1777660995721817,0.0644964724779129,0.22708386182785034,0.06440018862485886,-0.02419590950012207
%,0.20738190412521362,0.6792206168174744,0.19953428208827972,0.21490740776062012,0.2166852205991745,0.4585210084915161,0.17829503118991852,0.19465309381484985,0.1800173968076706,0.031266406178474426,0.20626308023929596,0.20909957587718964,0.21441808342933655
",",0.3087472915649414,0.19088563323020935,0.4946078956127167,0.4933079481124878,0.21974200010299683,0.2967977225780487,0.32538965344429016,0.5201468467712402,0.23432263731956482,-0.0016132977325469255,0.21444359421730042,0.2119160145521164,0.31091248989105225
indigenous,0.19103914499282837,0.21305973827838898,0.2675965428352356,0.24885469675064087,0.27632588148117065,0.2239815890789032,0.15015509724617004,0.19140906631946564,0.27706795930862427,-0.005879825446754694,0.2410825788974762,0.31067055463790894,0.14450161159038544
beliefs,0.3655100166797638,0.19537585973739624,0.2516281008720398,0.2159741371870041,0.3932949900627136,0.2118295580148697,0.20724815130233765,0.19265426695346832,0.10538261383771896,0.0883445292711258,0.13310746848583221,0.1667449027299881,0.254576712846756
1.7,0.04105503112077713,0.17311902344226837,0.07915820926427841,0.05766552686691284,-0.0292988084256649,0.04969268664717674,0.09402083605527878,0.12970703840255737,0.011076787486672401,-0.044271066784858704,-0.06263037025928497,-0.06597733497619629,0.13580046594142914
%,0.20738190412521362,0.6792206168174744,0.19953428208827972,0.21490740776062012,0.2166852205991745,0.4585210084915161,0.17829503118991852,0.19465309381484985,0.1800173968076706,0.031266406178474426,0.20626308023929596,0.20909957587718964,0.21441808342933655
),0.26259949803352356,0.10651931166648865,0.3680361211299896,0.3456730246543884,0.17129269242286682,0.1573704034090042,0.1474865823984146,0.3326910734176636,0.12372948974370956,0.021107977256178856,0.18176625669002533,0.1620774269104004,0.42300865054130554
",",0.3087472915649414,0.19088563323020935,0.4946078956127167,0.4933079481124878,0.21974200010299683,0.2967977225780487,0.32538965344429016,0.5201468467712402,0.23432263731956482,-0.0016132977325469255,0.21444359421730042,0.2119160145521164,0.31091248989105225
and,0.31309178471565247,0.250046968460083,0.5116966962814331,0.5171257257461548,0.255716472864151,0.23080337047576904,0.27047020196914673,0.4954058527946472,0.20742860436439514,0.06895173341035843,0.2637535333633423,0.2372262328863144,0.20544172823429108
nonreligious,0.265362948179245,0.15824055671691895,0.282573401927948,0.1970035880804062,0.4792416989803314,0.24016313254833221,0.1507803350687027,0.224738210439682,0.115245521068573,0.050566669553518295,0.1783759444952011,0.18384669721126556,0.2392219454050064
2.4,-0.1145043596625328,0.11086636781692505,-0.01558825746178627,0.010449174791574478,-0.13890838623046875,0.09584702551364899,0.04383745416998863,0.0011615992989391088,-0.019033368676900864,0.020157407969236374,0.08981305360794067,-0.027155963703989983,-0.1237918958067894
%,0.20738190412521362,0.6792206168174744,0.19953428208827972,0.21490740776062012,0.2166852205991745,0.4585210084915161,0.17829503118991852,0.19465309381484985,0.1800173968076706,0.031266406178474426,0.20626308023929596,0.20909957587718964,0.21441808342933655
.,0.3567904531955719,0.2556350827217102,0.5352458953857422,0.5934505462646484,0.27078697085380554,0.26950228214263916,0.2944296896457672,0.5591574311256409,0.24234211444854736,-0.003708066651597619,0.21270635724067688,0.2506107687950134,0.4130953550338745
