,what,type,of,number,do,modern,mathematicians,consider,1,to,be,?
by,0.2455483376979828,0.15232881903648376,0.3646814823150635,0.2551532983779907,0.1481526494026184,0.14536865055561066,0.19067759811878204,0.2509215474128723,-0.2582099735736847,0.33534231781959534,0.43158695101737976,0.17966607213020325
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.35145696997642517,0.30239659547805786,0.3283970355987549,0.17344136536121368,0.33438587188720703,-0.1554475575685501,0.535392165184021,0.4248143136501312,0.22068053483963013
early,0.2454567849636078,0.24463579058647156,0.30937549471855164,0.23155848681926727,0.16360098123550415,0.3658827841281891,0.1734415590763092,0.2130270004272461,-0.16561560332775116,0.24557004868984222,0.2155047357082367,0.15272949635982513
20th,0.1850772649049759,0.14924097061157227,0.21726468205451965,0.27403581142425537,0.09169074147939682,0.11689093708992004,0.17510709166526794,0.14710305631160736,-0.15467174351215363,0.20756898820400238,0.20788215100765228,0.14985637366771698
century,0.20422613620758057,0.12631413340568542,0.2826060354709625,0.20585349202156067,0.1290852576494217,0.3493697941303253,0.29654067754745483,0.1998126208782196,-0.16738790273666382,0.20143604278564453,0.20315609872341156,0.1026201918721199
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2535701394081116,0.3283645510673523,0.2557750344276428,0.2159050852060318,0.30831751227378845,-0.15742997825145721,0.44245919585227966,0.39254459738731384,0.31091248989105225
mathematicians,0.24199780821800232,0.07428216189146042,0.1896788328886032,0.25675806403160095,0.21111223101615906,0.21493828296661377,1.0000001192092896,0.226026251912117,-0.22227635979652405,0.23364850878715515,0.21750220656394958,0.13791853189468384
began,0.1665823757648468,0.142954483628273,0.2330763041973114,0.09568966180086136,0.18116621673107147,0.1753850132226944,0.10094191879034042,0.22292013466358185,-0.168930321931839,0.2731419503688812,0.11099997907876968,0.1370266228914261
to,0.455847829580307,0.19930607080459595,0.41548454761505127,0.2706126868724823,0.38876664638519287,0.193939670920372,0.23364850878715515,0.3287919759750366,-0.2769182622432709,1.0,0.4972836375236511,0.29463258385658264
accept,0.40259191393852234,0.15721255540847778,0.2346213310956955,0.15945199131965637,0.3259050250053406,0.11998140811920166,0.22361081838607788,0.3930283486843109,-0.23001965880393982,0.3143050968647003,0.28636589646339417,0.2590680420398712
