,on,what,service,could,the,espn,deportes,broadcast,be,streamed,?
the,0.5107308030128479,0.42745697498321533,0.22661015391349792,0.35393214225769043,1.0,0.19345609843730927,0.19800831377506256,0.2713715434074402,0.4248143136501312,0.2699103057384491,0.22068053483963013
espn,0.24292799830436707,0.20291002094745636,0.20077846944332123,0.09420686215162277,0.19345609843730927,1.0000001192092896,0.32324373722076416,0.442352294921875,0.15340790152549744,0.314213365316391,0.1709517240524292
deportes,0.1508687436580658,0.13167431950569153,0.18687428534030914,0.12914018332958221,0.19800831377506256,0.32324373722076416,1.0,0.21405574679374695,0.060099538415670395,0.17636144161224365,0.14327947795391083
spanish,0.13294139504432678,0.13950122892856598,0.10855839401483536,0.16876256465911865,0.23213517665863037,0.14475861191749573,0.3305516541004181,0.14674776792526245,0.14931170642375946,0.16460318863391876,0.14750491082668304
broadcast,0.2845228910446167,0.17857211828231812,0.2698688507080078,0.12236026674509048,0.2713715434074402,0.442352294921875,0.21405574679374695,1.0,0.20571625232696533,0.3865290880203247,0.15760008990764618
was,0.3909217119216919,0.22111038863658905,0.22689001262187958,0.39896807074546814,0.48711544275283813,0.22374993562698364,0.23367711901664734,0.24068336188793182,0.42228707671165466,0.23936906456947327,0.18412111699581146
made,0.37619519233703613,0.23419176042079926,0.1532890945672989,0.2846693694591522,0.3885267674922943,0.09807686507701874,0.07218849658966064,0.20767565071582794,0.42541688680648804,0.24525132775306702,0.17218779027462006
available,0.3133032023906708,0.22032985091209412,0.3073113262653351,0.2950378358364105,0.26723232865333557,0.1992761194705963,0.05204637348651886,0.24488548934459686,0.3507455885410309,0.37316280603408813,0.2501629889011383
through,0.32785001397132874,0.23167094588279724,0.2523839473724365,0.25505194067955017,0.44071322679519653,0.12403621524572372,0.14880259335041046,0.15379507839679718,0.290402352809906,0.3154175579547882,0.16913433372974396
watchespn,0.3258534371852875,0.2674243748188019,0.2627071738243103,0.1956462562084198,0.2754616141319275,0.6189122200012207,0.27858591079711914,0.40387997031211853,0.21111875772476196,0.3444628417491913,0.2603048086166382
.,0.49257001280784607,0.3567904531955719,0.2115515172481537,0.3200591504573822,0.5934505462646484,0.19926497340202332,0.18397417664527893,0.2280997633934021,0.4383580684661865,0.273630827665329,0.4130953550338745
