,how,far,west,did,the,mongol,empire,extend,after,kuchlug,'s,demise,?
by,0.34370526671409607,0.20033018290996552,0.17778825759887695,0.18574509024620056,0.4408751428127289,0.1995033621788025,0.19236046075820923,0.11488737910985947,0.41259682178497314,0.18897859752178192,-0.010884488001465797,0.2270250767469406,0.17966607213020325
1218,0.015587303787469864,0.059324681758880615,0.0868062824010849,0.07086530327796936,0.008959535509347916,0.08664864301681519,0.042158469557762146,0.027684085071086884,-0.05826572701334953,0.16646403074264526,-0.09956382215023041,-0.03879795968532562,0.0336468406021595
",",0.22659391164779663,0.346853643655777,0.28857502341270447,0.3015086054801941,0.4933079481124878,0.2229510098695755,0.27646857500076294,0.24409228563308716,0.38860568404197693,0.32690468430519104,-0.0016132977325469255,0.22074338793754578,0.31091248989105225
as,0.33782753348350525,0.36748984456062317,0.1651858687400818,0.3596470057964325,0.48381632566452026,0.17740172147750854,0.21108263731002808,0.2044183611869812,0.3014480769634247,0.21381251513957977,-0.05775856226682663,0.1950012892484665,0.27043893933296204
a,0.29312583804130554,0.21638330817222595,0.2258862406015396,0.2552328109741211,0.5829201340675354,0.15921570360660553,0.1900206059217453,0.21946638822555542,0.3831600844860077,0.19818972051143646,0.04866964742541313,0.22685323655605316,0.23916715383529663
result,0.23323923349380493,0.1890769749879837,0.16839610040187836,0.2026577889919281,0.27778977155685425,0.13594083487987518,0.1120549812912941,0.2508549392223358,0.3922039866447449,0.15832415223121643,0.06641998142004013,0.2557152807712555,0.17218433320522308
of,0.2480744868516922,0.3005201518535614,0.2891985774040222,0.2513895630836487,0.733189046382904,0.22712039947509766,0.30522286891937256,0.2804538309574127,0.3867455720901489,0.21701066195964813,-0.03817026689648628,0.2501039206981659,0.1826142966747284
defeat,0.14722704887390137,0.10461743175983429,0.16992458701133728,0.20949682593345642,0.3182816207408905,0.32238471508026123,0.30754515528678894,0.13486871123313904,0.35571539402008057,0.191191166639328,-0.0009251622832380235,0.228605717420578,0.12980464100837708
of,0.2480744868516922,0.3005201518535614,0.2891985774040222,0.2513895630836487,0.733189046382904,0.22712039947509766,0.30522286891937256,0.2804538309574127,0.3867455720901489,0.21701066195964813,-0.03817026689648628,0.2501039206981659,0.1826142966747284
qara,0.11803053319454193,0.2133348137140274,0.17104651033878326,0.11710090935230255,0.30156639218330383,0.36368659138679504,0.2913404405117035,0.11529571563005447,0.19061830639839172,0.48808351159095764,-0.012327208183705807,0.2874535024166107,0.1857597380876541
khitai,0.16953685879707336,0.148573637008667,0.18145091831684113,0.1650427281856537,0.25684550404548645,0.628433883190155,0.39967280626296997,0.11631162464618683,0.2221745252609253,0.6052918434143066,0.024805303663015366,0.3262791037559509,0.20356783270835876
",",0.22659391164779663,0.346853643655777,0.28857502341270447,0.3015086054801941,0.4933079481124878,0.2229510098695755,0.27646857500076294,0.24409228563308716,0.38860568404197693,0.32690468430519104,-0.0016132977325469255,0.22074338793754578,0.31091248989105225
