,what,are,examples,of,the,various,religions,of,mongol,tribes,?
various,0.26045072078704834,0.45140719413757324,0.35317936539649963,0.3196488320827484,0.3235042691230774,1.0,0.276198148727417,0.3196488320827484,0.17669303715229034,0.13904425501823425,0.12823495268821716
mongol,0.15870186686515808,0.10411422699689865,0.12906794250011444,0.22712039947509766,0.2924198508262634,0.17669303715229034,0.27930426597595215,0.22712039947509766,1.0000001192092896,0.3928619921207428,0.12849251925945282
tribes,0.1860227882862091,0.26104602217674255,0.12798671424388885,0.21502000093460083,0.26830655336380005,0.13904425501823425,0.39432087540626526,0.21502000093460083,0.3928619921207428,0.9999999403953552,0.08824794739484787
were,0.22298263013362885,0.6489362716674805,0.2796492278575897,0.34038281440734863,0.3906462490558624,0.34943774342536926,0.24151399731636047,0.34038281440734863,0.21221880614757538,0.31078824400901794,0.17890112102031708
shamanist,0.23038670420646667,0.1721152663230896,0.1540648639202118,0.17906393110752106,0.1905963271856308,0.2050744742155075,0.5023658275604248,0.17906393110752106,0.34076330065727234,0.3035810887813568,0.2046840637922287
",",0.3087472915649414,0.4062570035457611,0.2687304615974426,0.4946078956127167,0.4933079481124878,0.30093157291412354,0.309471070766449,0.4946078956127167,0.2229510098695755,0.19590550661087036,0.31091248989105225
buddhist,0.16616633534431458,0.1753797084093094,0.13840369880199432,0.27792954444885254,0.20901480317115784,0.20919804275035858,0.496534138917923,0.27792954444885254,0.36956965923309326,0.19877853989601135,0.15461066365242004
or,0.33867141604423523,0.5374364256858826,0.4126914143562317,0.3792596757411957,0.4174870550632477,0.3241712749004364,0.30364343523979187,0.3792596757411957,0.20351910591125488,0.2387963831424713,0.32389625906944275
christian,0.17849333584308624,0.13086310029029846,0.1036105528473854,0.23494116961956024,0.19930796325206757,0.13951215147972107,0.46177148818969727,0.23494116961956024,0.19288578629493713,0.18834294378757477,0.1508396863937378
.,0.3567904531955719,0.3452940285205841,0.28905922174453735,0.5352458953857422,0.5934505462646484,0.23115769028663635,0.2949666976928711,0.5352458953857422,0.16751837730407715,0.10744687169790268,0.4130953550338745
