,what,are,the,ties,that,best,described,what,the,``,eight,counties,'',are,based,on,?
the,0.42745697498321533,0.40399202704429626,1.0,0.21061654388904572,0.5473989248275757,0.3134109377861023,0.2878154516220093,0.42745697498321533,1.0,0.029072100296616554,0.34254369139671326,0.23370873928070068,0.041273195296525955,0.40399202704429626,0.29860720038414,0.5107308030128479,0.22068053483963013
region,0.2298986315727234,0.20011243224143982,0.35020557045936584,0.19722630083560944,0.20183102786540985,0.1306528002023697,0.11799356341362,0.2298986315727234,0.35020557045936584,0.13361124694347382,0.16624586284160614,0.2988993227481842,0.06335446983575821,0.20011243224143982,0.18393836915493011,0.17006917297840118,0.13441751897335052
is,0.28837618231773376,0.5330929756164551,0.5823672413825989,0.1553872972726822,0.3995479643344879,0.30476391315460205,0.2517563998699188,0.28837618231773376,0.5823672413825989,0.058766357600688934,0.19970737397670746,0.19452480971813202,0.0793738141655922,0.5330929756164551,0.3248139023780823,0.3635730445384979,0.22961433231830597
traditionally,0.22366398572921753,0.3667009174823761,0.32626137137413025,0.2642067074775696,0.3062310516834259,0.1681140959262848,0.21292917430400848,0.22366398572921753,0.32626137137413025,0.08389540016651154,0.23976512253284454,0.18052801489830017,0.06226309388875961,0.3667009174823761,0.2595294117927551,0.19598093628883362,0.10789176821708679
described,0.22590412199497223,0.25001800060272217,0.2878154516220093,0.1561683863401413,0.3262448310852051,0.1893385499715805,0.9999999403953552,0.22590412199497223,0.2878154516220093,-0.0018293076427653432,0.1647597998380661,0.19165866076946259,0.059149324893951416,0.25001800060272217,0.21262148022651672,0.14733895659446716,0.1374269425868988
as,0.31749409437179565,0.3826591968536377,0.48381632566452026,0.19162411987781525,0.4735107421875,0.32800307869911194,0.3644653260707855,0.31749409437179565,0.48381632566452026,0.03910288214683533,0.2167847752571106,0.2448538839817047,0.006628023460507393,0.3826591968536377,0.2264380156993866,0.36047765612602234,0.27043893933296204
``,0.008517155423760414,0.12624181807041168,0.029072100296616554,0.15508238971233368,0.05285148695111275,-0.05679536238312721,-0.0018293076427653432,0.008517155423760414,0.029072100296616554,1.0,0.1044946238398552,0.11417732387781143,-0.09173435717821121,0.12624181807041168,-0.05678893253207207,-0.03274054825305939,0.0685480609536171
eight,0.15383057296276093,0.28273332118988037,0.34254369139671326,0.1521676480770111,0.26218873262405396,0.19432738423347473,0.1647597998380661,0.15383057296276093,0.34254369139671326,0.1044946238398552,1.0000001192092896,0.1943841427564621,0.004422580823302269,0.28273332118988037,0.20239387452602386,0.3176155984401703,0.11634626984596252
counties,0.18263769149780273,0.24759000539779663,0.23370873928070068,0.311126172542572,0.1899065524339676,0.09160878509283066,0.19165866076946259,0.18263769149780273,0.23370873928070068,0.11417732387781143,0.1943841427564621,1.0,0.02399960346519947,0.24759000539779663,0.15674473345279694,0.1780954748392105,0.09521792083978653
'',0.08143015950918198,0.0263817198574543,0.041273195296525955,0.022852862253785133,0.007880004122853279,-0.027235809713602066,0.059149324893951416,0.08143015950918198,0.041273195296525955,-0.09173435717821121,0.004422580823302269,0.02399960346519947,1.0,0.0263817198574543,0.08127152919769287,0.04238596186041832,0.018684765323996544
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.2590780258178711,0.4137537479400635,0.3461092710494995,0.25326472520828247,0.3087472915649414,0.4933079481124878,0.09681109338998795,0.28017938137054443,0.2766191363334656,-0.037358131259679794,0.4062570035457611,0.27976205945014954,0.49057599902153015,0.31091248989105225
based,0.274813175201416,0.3002447783946991,0.29860720038414,0.16097544133663177,0.31403544545173645,0.21056050062179565,0.21262148022651672,0.274813175201416,0.29860720038414,-0.05678893253207207,0.20239387452602386,0.15674473345279694,0.08127152919769287,0.3002447783946991,1.0000001192092896,0.36055147647857666,0.134929820895195
on,0.34226128458976746,0.268924742937088,0.5107308030128479,0.21795931458473206,0.42569106817245483,0.2090703696012497,0.14733895659446716,0.34226128458976746,0.5107308030128479,-0.03274054825305939,0.3176155984401703,0.1780954748392105,0.04238596186041832,0.268924742937088,0.36055147647857666,0.9999999403953552,0.2714994251728058
demographics,0.15869751572608948,0.24570201337337494,0.25373169779777527,0.10851368308067322,0.16352349519729614,0.15522539615631104,0.16467759013175964,0.15869751572608948,0.25373169779777527,0.06844870001077652,0.13451436161994934,0.22507081925868988,-0.04292258992791176,0.24570201337337494,0.17644011974334717,0.16065220534801483,0.24271699786186218
