,what,is,qed,short,for,?
this,0.5489566326141357,0.480927973985672,0.32024431228637695,0.2999545633792877,0.5082864165306091,0.3155723512172699
final,0.20972409844398499,0.1859603077173233,0.11938593536615372,0.19639652967453003,0.25346213579177856,0.17315025627613068
modification,0.23004505038261414,0.23001977801322937,0.18335498869419098,0.168092280626297,0.2605358064174652,0.27161240577697754
to,0.455847829580307,0.42745086550712585,0.17181536555290222,0.25023147463798523,0.4451248347759247,0.29463258385658264
electromagnetic,0.263467937707901,0.220349982380867,0.4587571322917938,0.1630057990550995,0.2195858508348465,0.16735313832759857
theory,0.297923743724823,0.19279582798480988,0.29766616225242615,0.040859878063201904,0.20500218868255615,0.1387292891740799
ultimately,0.3084288239479065,0.1967305839061737,0.14901666343212128,0.1667688637971878,0.21831585466861725,0.18806859850883484
led,0.12112844735383987,0.14361225068569183,0.2913931608200073,0.050758447498083115,0.2628403306007385,0.09273858368396759
to,0.455847829580307,0.42745086550712585,0.17181536555290222,0.25023147463798523,0.4451248347759247,0.29463258385658264
quantum,0.3095471262931824,0.2059895545244217,0.36309006810188293,0.22572174668312073,0.1631161868572235,0.20770002901554108
electrodynamics,0.27658751606941223,0.21546658873558044,0.41212841868400574,0.16918648779392242,0.18238183856010437,0.2337964028120041
(,0.2411840260028839,0.35393038392066956,0.21938589215278625,0.21569035947322845,0.3357032239437103,0.40561532974243164
or,0.33867141604423523,0.41870999336242676,0.3030782639980316,0.3135438859462738,0.4111599624156952,0.32389625906944275
qed,0.3207542896270752,0.20789645612239838,1.0000001192092896,0.20685838162899017,0.21562205255031586,0.2933664619922638
),0.26259949803352356,0.37732169032096863,0.2030486911535263,0.20856474339962006,0.3639558255672455,0.42300865054130554
",",0.3087472915649414,0.4691906273365021,0.232502743601799,0.311238169670105,0.4464869201183319,0.31091248989105225
which,0.5261979103088379,0.4457404911518097,0.3037445843219757,0.3371328115463257,0.44095608592033386,0.25814583897590637
fully,0.3561125099658966,0.2399323284626007,0.2688666582107544,0.19898192584514618,0.25585052371025085,0.2089291661977768
describes,0.28796884417533875,0.33745625615119934,0.3277094066143036,0.235812708735466,0.27102306485176086,0.13134142756462097
all,0.41981086134910583,0.2553904056549072,0.24238473176956177,0.2075418382883072,0.41144001483917236,0.29575422406196594
electromagnetic,0.263467937707901,0.220349982380867,0.4587571322917938,0.1630057990550995,0.2195858508348465,0.16735313832759857
phenomena,0.29837703704833984,0.23436203598976135,0.30513226985931396,0.11794556677341461,0.2093387246131897,0.21085940301418304
as,0.31749409437179565,0.43216490745544434,0.2542426884174347,0.20446330308914185,0.44774648547172546,0.27043893933296204
being,0.3760843276977539,0.4445112943649292,0.2854880690574646,0.24585679173469543,0.41687241196632385,0.26743772625923157
mediated,0.21499434113502502,0.1978665441274643,0.32860347628593445,0.10915005952119827,0.19208325445652008,0.14700691401958466
by,0.2455483376979828,0.3899846076965332,0.26821354031562805,0.18287886679172516,0.3248702883720398,0.17966607213020325
wave–particles,0.3240538537502289,0.24191302061080933,0.49119341373443604,0.19698801636695862,0.23890087008476257,0.29774874448776245
known,0.20381177961826324,0.41921812295913696,0.30442357063293457,0.1945926398038864,0.363901823759079,0.18314571678638458
as,0.31749409437179565,0.43216490745544434,0.2542426884174347,0.20446330308914185,0.44774648547172546,0.27043893933296204
photons,0.2717868685722351,0.20040376484394073,0.461444616317749,0.18863382935523987,0.12786532938480377,0.15445546805858612
.,0.3567904531955719,0.4569662809371948,0.2450513392686844,0.2740369439125061,0.4726039469242096,0.4130953550338745
