,from,what,distance,could,the,artificial,thunder,be,heard,.
thunder,0.23305968940258026,0.19542835652828217,0.1305907815694809,0.14087305963039398,0.25798580050468445,0.09990480542182922,1.0000001192092896,0.12208081036806107,0.27882689237594604,0.22399817407131195
from,1.0,0.2737620174884796,0.2345198690891266,0.25045305490493774,0.40150508284568787,0.22098051011562347,0.23305968940258026,0.3107333183288574,0.18294817209243774,0.41536515951156616
the,0.40150508284568787,0.42745697498321533,0.26146480441093445,0.35393214225769043,1.0,0.24254748225212097,0.25798580050468445,0.4248143136501312,0.2628673017024994,0.5934505462646484
released,0.19112130999565125,0.20228935778141022,0.06217683106660843,0.17648087441921234,0.24578391015529633,0.20050711929798126,0.184270977973938,0.23311327397823334,0.1803450584411621,0.298698753118515
energy,0.19871577620506287,0.190252885222435,0.26984235644340515,0.19846777617931366,0.26756542921066284,0.23967765271663666,0.18899914622306824,0.2677359879016876,0.17792417109012604,0.22292809188365936
was,0.31171464920043945,0.22111038863658905,0.18884436786174774,0.39896807074546814,0.48711544275283813,0.1371762454509735,0.17000992596149445,0.42228707671165466,0.21897302567958832,0.40146201848983765
heard,0.18294817209243774,0.31528279185295105,0.16297030448913574,0.25741463899612427,0.2628673017024994,0.1080453172326088,0.27882689237594604,0.27207884192466736,1.0000001192092896,0.2728024125099182
15,-0.013154181651771069,-0.01077192835509777,0.04736324027180672,-0.028651591390371323,-0.011810222640633583,-0.09259206056594849,0.08673867583274841,-0.030703280121088028,-0.03574611619114876,-0.05741225555539131
miles,0.21209825575351715,0.1893789917230606,0.4248408377170563,0.16117404401302338,0.25706055760383606,0.15959006547927856,0.17649754881858826,0.10245644301176071,0.20594896376132965,0.23885086178779602
away,0.37826648354530334,0.2797873020172119,0.3761405944824219,0.305423766374588,0.29030847549438477,0.0750952959060669,0.1813424825668335,0.2857579290866852,0.29761195182800293,0.27494382858276367
in,0.4274188280105591,0.30808621644973755,0.1782536804676056,0.29357993602752686,0.6662389636039734,0.23983703553676605,0.18167629837989807,0.3481820821762085,0.18653900921344757,0.5591574311256409
cripple,0.1961037814617157,0.2785005569458008,0.2111467868089676,0.26186344027519226,0.2757256031036377,0.20329441130161285,0.24812154471874237,0.2324092984199524,0.20604301989078522,0.2577458918094635
creek,0.15098652243614197,0.14430326223373413,0.14451485872268677,0.12947247922420502,0.18927018344402313,0.09611006081104279,0.2401711493730545,0.1018722876906395,0.25440073013305664,0.17279338836669922
",",0.39760664105415344,0.3087472915649414,0.22692032158374786,0.27399855852127075,0.4933079481124878,0.2144521176815033,0.2877252697944641,0.39254459738731384,0.2586207091808319,0.6812511086463928
colorado,0.2050378918647766,0.1414678543806076,0.1272670328617096,0.17996665835380554,0.24470749497413635,0.17830877006053925,0.17963331937789917,0.12531696259975433,0.09247979521751404,0.26907283067703247
.,0.41536515951156616,0.3567904531955719,0.1947452872991562,0.3200591504573822,0.5934505462646484,0.1841799020767212,0.22399817407131195,0.4383580684661865,0.2728024125099182,1.0000001192092896
