,what,is,the,scientific,designation,of,oxygen,?
it,0.45803478360176086,0.6328473687171936,0.6251175999641418,0.23393896222114563,0.2988601326942444,0.38761502504348755,0.26699385046958923,0.25732165575027466
is,0.28837618231773376,1.0,0.5823672413825989,0.24722182750701904,0.2572394907474518,0.4854315221309662,0.21825239062309265,0.22961433231830597
the,0.42745697498321533,0.5823672413825989,1.0,0.24748262763023376,0.25765958428382874,0.733189046382904,0.20428593456745148,0.22068053483963013
form,0.15868011116981506,0.3218395411968231,0.29286009073257446,0.15062963962554932,0.16149841248989105,0.29600051045417786,0.22106200456619263,0.1463010311126709
that,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.29902783036231995,0.2168620377779007,0.41498205065727234,0.2717767655849457,0.32716336846351624
is,0.28837618231773376,1.0,0.5823672413825989,0.24722182750701904,0.2572394907474518,0.4854315221309662,0.21825239062309265,0.22961433231830597
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.20989106595516205,0.29063764214515686,0.5052502155303955,0.21662019193172455,0.23916715383529663
major,0.21026742458343506,0.19079607725143433,0.31775903701782227,0.14541774988174438,0.1721924990415573,0.2641255557537079,0.1290738582611084,0.19788557291030884
part,0.3476244807243347,0.4582172930240631,0.527681291103363,0.2281898409128189,0.23648767173290253,0.452393114566803,0.17520982027053833,0.08557961881160736
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.2751598358154297,0.21774958074092865,1.0,0.16848602890968323,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.24748262763023376,0.25765958428382874,0.733189046382904,0.20428593456745148,0.22068053483963013
earth,0.25883176922798157,0.26888176798820496,0.2801888585090637,0.24453161656856537,0.12611888349056244,0.2329314798116684,0.3065866231918335,0.17717236280441284
's,0.02692362666130066,0.02396530658006668,-0.01540423184633255,0.06774617731571198,0.029821915552020073,-0.03817026689648628,-0.011648092418909073,-0.023395681753754616
atmosphere,0.2530241310596466,0.1850086748600006,0.24429655075073242,0.26860156655311584,0.18943558633327484,0.1981431096792221,0.48839667439460754,0.15636961162090302
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.17131729423999786,0.2205955982208252,0.35032153129577637,0.189798504114151,0.40561532974243164
see,0.44941186904907227,0.30759111046791077,0.3770301640033722,0.2407425194978714,0.18461298942565918,0.33962661027908325,0.20267128944396973,0.42005208134651184
occurrence,0.2810608446598053,0.2722100615501404,0.28576356172561646,0.2075311541557312,0.2395586520433426,0.24011513590812683,0.2524136006832123,0.25049254298210144
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.16894789040088654,0.19851219654083252,0.3680361211299896,0.19541971385478973,0.42300865054130554
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.18281413614749908,0.23168160021305084,0.5352458953857422,0.2554275095462799,0.4130953550338745
