,which,entities,were,originally,concerned,with,preventing,violation,of,human,rights,?
at,0.3286694884300232,0.06831624358892441,0.2947486639022827,0.19521355628967285,0.27206259965896606,0.29126521944999695,0.19512373208999634,0.16081123054027557,0.42558613419532776,0.16051284968852997,0.18650774657726288,0.21978627145290375
the,0.6521818041801453,0.2298012375831604,0.3906462490558624,0.36820849776268005,0.2822320759296417,0.4223487675189972,0.33351221680641174,0.2357444167137146,0.733189046382904,0.3103327453136444,0.2579100430011749,0.22068053483963013
time,0.325231671333313,0.16503679752349854,0.3104150593280792,0.22495171427726746,0.3057704567909241,0.31862112879753113,0.2117510735988617,0.20764541625976562,0.35127586126327515,0.18508785963058472,0.22495833039283752,0.27391523122787476
the,0.6521818041801453,0.2298012375831604,0.3906462490558624,0.36820849776268005,0.2822320759296417,0.4223487675189972,0.33351221680641174,0.2357444167137146,0.733189046382904,0.3103327453136444,0.2579100430011749,0.22068053483963013
only,0.5654799342155457,0.278842031955719,0.34466472268104553,0.31396397948265076,0.3200960159301758,0.367427259683609,0.32674333453178406,0.2558141052722931,0.49632513523101807,0.22740167379379272,0.20565758645534515,0.2767370045185089
concern,0.2987052798271179,0.2575221061706543,0.22425255179405212,0.111504927277565,0.7143390774726868,0.23099270462989807,0.4218387007713318,0.39797574281692505,0.23287762701511383,0.2953910529613495,0.2739420533180237,0.3455961048603058
was,0.2830964922904968,0.11419501900672913,0.590133786201477,0.5204543471336365,0.23844052851200104,0.27411898970603943,0.14271977543830872,0.21883974969387054,0.4069072902202606,0.1688746064901352,0.19272007048130035,0.18412111699581146
that,0.6894589066505432,0.35188058018684387,0.35517072677612305,0.367581307888031,0.3909452557563782,0.4154358208179474,0.3787137567996979,0.326961487531662,0.41498205065727234,0.3200635015964508,0.251168817281723,0.32716336846351624
member,0.19141918420791626,0.12065371870994568,0.1471366137266159,0.18433937430381775,0.17364607751369476,0.1763933300971985,0.12802623212337494,0.14985059201717377,0.2701796889305115,0.14544154703617096,0.18115058541297913,0.06826172769069672
states,0.27476921677589417,0.24114562571048737,0.19797217845916748,0.2377731055021286,0.2190544456243515,0.21424104273319244,0.20567651093006134,0.20749911665916443,0.30884552001953125,0.22311946749687195,0.26858797669410706,0.16272737085819244
should,0.31937870383262634,0.3194538950920105,0.3050706386566162,0.21715569496154785,0.3622184097766876,0.29016703367233276,0.2995794117450714,0.4018706977367401,0.23792634904384613,0.2388559728860855,0.24652911722660065,0.4442402422428131
be,0.476310670375824,0.35436075925827026,0.4064064621925354,0.33263999223709106,0.31778281927108765,0.36101722717285156,0.30021533370018005,0.2845268249511719,0.33904364705085754,0.2650514245033264,0.19251969456672668,0.3324260413646698
