,working,versions,of,3d-printing,building,technology,are,already,printing,how,much,building,material,per,hour,?
working,1.0,0.15553879737854004,0.19986772537231445,0.32530608773231506,0.31318148970603943,0.2693105638027191,0.23492206633090973,0.33237090706825256,0.3195529580116272,0.27748700976371765,0.2691572308540344,0.31318148970603943,0.17220254242420197,0.0918133482336998,0.14364956319332123,0.17154020071029663
versions,0.15553879737854004,1.0,0.17600277066230774,0.17531564831733704,0.10716560482978821,0.19289825856685638,0.33126300573349,0.3198610842227936,0.201667919754982,0.2431974858045578,0.28534194827079773,0.10716560482978821,0.2417294681072235,0.13942520320415497,0.15217840671539307,0.2371230572462082
of,0.19986772537231445,0.17600277066230774,1.0,0.2829972505569458,0.26200541853904724,0.25238582491874695,0.39081433415412903,0.27917540073394775,0.23686911165714264,0.2480744868516922,0.2671096920967102,0.26200541853904724,0.27520954608917236,0.17468707263469696,0.18765881657600403,0.1826142966747284
3d-printing,0.32530608773231506,0.17531564831733704,0.2829972505569458,1.0000001192092896,0.29526808857917786,0.30624067783355713,0.16324444115161896,0.23464526236057281,0.933493971824646,0.22193144261837006,0.22893914580345154,0.29526808857917786,0.2979273498058319,0.1282941848039627,0.14772307872772217,0.1833024024963379
building,0.31318148970603943,0.10716560482978821,0.26200541853904724,0.29526808857917786,0.9999998807907104,0.2376898229122162,0.1904018670320511,0.21330711245536804,0.27669501304626465,0.19448791444301605,0.2289905697107315,0.9999998807907104,0.24464184045791626,0.09552931040525436,0.12554709613323212,0.13549931347370148
technology,0.2693105638027191,0.19289825856685638,0.25238582491874695,0.30624067783355713,0.2376898229122162,0.9999998807907104,0.17493250966072083,0.23616817593574524,0.29481109976768494,0.20081453025341034,0.26015716791152954,0.2376898229122162,0.24453328549861908,0.14832687377929688,0.13436155021190643,0.11564995348453522
are,0.23492206633090973,0.33126300573349,0.39081433415412903,0.16324444115161896,0.1904018670320511,0.17493250966072083,1.0,0.3256095051765442,0.14460383355617523,0.311818927526474,0.2937524914741516,0.1904018670320511,0.25142809748649597,0.21594563126564026,0.13701145350933075,0.24591213464736938
already,0.33237090706825256,0.3198610842227936,0.27917540073394775,0.23464526236057281,0.21330711245536804,0.23616817593574524,0.3256095051765442,0.9999998807907104,0.20681652426719666,0.3991519510746002,0.3883720338344574,0.21330711245536804,0.27315422892570496,0.2373560667037964,0.1524943709373474,0.3477933406829834
printing,0.3195529580116272,0.201667919754982,0.23686911165714264,0.933493971824646,0.27669501304626465,0.29481109976768494,0.14460383355617523,0.20681652426719666,1.0000001192092896,0.20075497031211853,0.2151520997285843,0.27669501304626465,0.27333787083625793,0.10610026121139526,0.1093434989452362,0.17118792235851288
2,0.032822322100400925,-0.004876706283539534,-0.013777675107121468,0.028780529275536537,0.0506824254989624,-0.0707530751824379,-0.028399748727679253,-0.046862367540597916,0.001869891188107431,-0.02554285153746605,-0.1400752067565918,0.0506824254989624,-0.013760446570813656,-0.0737822949886322,-0.00251131784170866,0.001977203879505396
metres,0.06602945923805237,0.1075277104973793,0.21713921427726746,0.10877861082553864,0.2269027978181839,0.13248419761657715,0.21412184834480286,0.1754418909549713,0.03700290620326996,0.13677051663398743,0.1999289095401764,0.2269027978181839,0.20694272220134735,0.2797333300113678,0.2562505006790161,0.11151815950870514
(,0.18173585832118988,0.19817940890789032,0.35032153129577637,0.19457557797431946,0.17772680521011353,0.15493881702423096,0.23263892531394958,0.19956564903259277,0.16454805433750153,0.1676948219537735,0.21788647770881653,0.17772680521011353,0.1441175639629364,0.3121034801006317,0.19172394275665283,0.40561532974243164
6,-0.05328444764018059,0.043739885091781616,0.055943556129932404,0.007625218015164137,-0.02560506947338581,0.11691297590732574,0.06112575903534889,0.012105964124202728,0.01858418807387352,0.056429795920848846,0.11261115968227386,-0.02560506947338581,-0.0028677168302237988,0.03634509816765785,0.032077889889478683,0.045001473277807236
ft,0.11221573501825333,0.11390651762485504,0.14259693026542664,0.07898697257041931,0.23872673511505127,0.15254083275794983,0.16373850405216217,0.09594780206680298,0.02863495424389839,0.17820364236831665,0.15052607655525208,0.23872673511505127,0.19089984893798828,0.1448657065629959,0.17911739647388458,0.17776548862457275
7,-0.10727283358573914,-0.19234837591648102,-0.04983885586261749,-0.1685008555650711,-0.0743577852845192,-0.08630714565515518,-0.16357414424419403,-0.10535877197980881,-0.12520289421081543,-0.2171877920627594,-0.13923975825309753,-0.0743577852845192,-0.2135203629732132,-0.06362505257129669,-0.10952717065811157,-0.15092156827449799
in,0.3062970042228699,0.17707763612270355,0.5696388483047485,0.26221761107444763,0.3256937265396118,0.24215441942214966,0.3841303884983063,0.288102924823761,0.22161865234375,0.2601168751716614,0.2725222110748291,0.3256937265396118,0.20527449250221252,0.1975519210100174,0.18130972981452942,0.20430970191955566
),0.19382897019386292,0.20339934527873993,0.3680361211299896,0.21155741810798645,0.1678667515516281,0.16959454119205475,0.2373749315738678,0.22017516195774078,0.18902970850467682,0.17939934134483337,0.22256317734718323,0.1678667515516281,0.14725950360298157,0.327212929725647,0.2031816989183426,0.42300865054130554
