,what,is,jacksonville,'s,hottest,recorded,temperature,?
the,0.42745697498321533,0.5823672413825989,0.2176690250635147,-0.01540423184633255,0.3094172775745392,0.2759207487106323,0.27585095167160034,0.22068053483963013
highest,0.19637788832187653,0.27460670471191406,0.08032184839248657,-0.02329092286527157,0.37735840678215027,0.3071483373641968,0.24991264939308167,0.11527936160564423
temperature,0.26338207721710205,0.2979726195335388,0.13100719451904297,0.029818275943398476,0.5616594552993774,0.2721431851387024,1.0000001192092896,0.2011885941028595
recorded,0.17687608301639557,0.19766312837600708,0.2532455623149872,-0.01750672608613968,0.34098944067955017,0.9999998807907104,0.2721431851387024,0.19213420152664185
was,0.22111038863658905,0.5810302495956421,0.2742757201194763,0.008974763564765453,0.26693686842918396,0.328198105096817,0.18288718163967133,0.18412111699581146
104,-0.08129359036684036,-0.10784029960632324,-0.11963185667991638,-0.02125677466392517,-0.059881895780563354,-0.039541520178318024,-0.08174802362918854,-0.02096891589462757
°f,0.20015408098697662,0.23312681913375854,0.20636294782161713,0.035270873457193375,0.5212192535400391,0.29484066367149353,0.7363657355308533,0.19986218214035034
(,0.2411840260028839,0.35393038392066956,0.1611778438091278,0.0012731997994706035,0.1971469670534134,0.19191798567771912,0.20595431327819824,0.40561532974243164
40,-0.05768606811761856,0.020139267668128014,-0.046435415744781494,-0.013244775123894215,-0.02382788248360157,-0.02983417920768261,-0.02993759885430336,0.010195288807153702
°c,0.2101275473833084,0.22964106500148773,0.122556671500206,0.05679900571703911,0.51189124584198,0.2672940194606781,0.7912421226501465,0.2095707356929779
),0.26259949803352356,0.37732169032096863,0.16729915142059326,0.021107977256178856,0.20172502100467682,0.18814605474472046,0.2232651710510254,0.42300865054130554
on,0.34226128458976746,0.3635730445384979,0.23172973096370697,0.0026888418942689896,0.2849971652030945,0.26053643226623535,0.2164885550737381,0.2714994251728058
july,0.22688010334968567,0.22825419902801514,0.25212597846984863,-0.06841624528169632,0.23148173093795776,0.21783186495304108,0.15729358792304993,0.2897891402244568
11,0.0032819851767271757,0.018119672313332558,-0.0541805662214756,0.07733099907636642,0.07206021249294281,0.08846447616815567,0.015020571649074554,-0.04295448586344719
",",0.3087472915649414,0.4691906273365021,0.2837527096271515,-0.0016132977325469255,0.2737334370613098,0.2596049904823303,0.2439086139202118,0.31091248989105225
1879,-0.07866717875003815,-0.012538661248981953,0.09582121670246124,-0.04066148400306702,-0.12947547435760498,-0.040725693106651306,-0.19749532639980316,0.057432834059000015
and,0.31309178471565247,0.3859752118587494,0.2603762745857239,0.06895173341035843,0.21641089022159576,0.18660911917686462,0.2216416299343109,0.20544172823429108
july,0.22688010334968567,0.22825419902801514,0.25212597846984863,-0.06841624528169632,0.23148173093795776,0.21783186495304108,0.15729358792304993,0.2897891402244568
28,-0.2335955947637558,-0.1692609190940857,-0.10371249169111252,0.012857569381594658,-0.02809627167880535,-0.1140940710902214,-0.0012158832978457212,-0.012856917455792427
",",0.3087472915649414,0.4691906273365021,0.2837527096271515,-0.0016132977325469255,0.2737334370613098,0.2596049904823303,0.2439086139202118,0.31091248989105225
1872,0.06312983483076096,0.053845833986997604,-0.020818835124373436,0.01574625074863434,-0.00340320635586977,0.0255428496748209,0.0033053350634872913,0.001245920779183507
.,0.3567904531955719,0.4569662809371948,0.2843366861343384,-0.003708066651597619,0.2672623097896576,0.21476124227046967,0.2795942425727844,0.4130953550338745
