,what,do,conservative,researchers,fell,should,be,a,measure,of,inequality,?
conservative,0.1886831820011139,0.1316417008638382,0.9999999403953552,0.18907806277275085,0.14460529386997223,0.2201964110136032,0.1902313530445099,0.2118833065032959,0.1849404275417328,0.17898385226726532,0.3212568759918213,0.1597563922405243
researchers,0.29493099451065063,0.2432691901922226,0.18907806277275085,1.0,0.09442532807588577,0.21850696206092834,0.2843376398086548,0.23162437975406647,0.26829206943511963,0.23457743227481842,0.26202505826950073,0.14480042457580566
have,0.39808809757232666,0.49831271171569824,0.18673379719257355,0.4150187373161316,0.18811561167240143,0.4533415734767914,0.5760743618011475,0.338716596364975,0.3115697503089905,0.3802283704280853,0.2617298364639282,0.32991164922714233
argued,0.31776854395866394,0.22038903832435608,0.19985029101371765,0.2984429597854614,0.2014649361371994,0.27005767822265625,0.2228209674358368,0.1706712543964386,0.19753406941890717,0.19172857701778412,0.3828548491001129,0.18905270099639893
that,0.6297725439071655,0.44533252716064453,0.17636248469352722,0.3901746869087219,0.21921955049037933,0.4588061273097992,0.6036020517349243,0.47537946701049805,0.3084415793418884,0.41498205065727234,0.3467824459075928,0.32716336846351624
income,0.21837803721427917,0.1701079159975052,0.19108715653419495,0.23880095779895782,0.11119696497917175,0.2029237002134323,0.19847987592220306,0.2084353119134903,0.2954789698123932,0.2581324577331543,0.46967795491218567,0.14935168623924255
inequality,0.30072227120399475,0.2117324322462082,0.3212568759918213,0.26202505826950073,0.09661564975976944,0.3052452802658081,0.2602038085460663,0.1783585250377655,0.3844420313835144,0.27910974621772766,1.0000001192092896,0.23619021475315094
is,0.28837618231773376,0.30895981192588806,0.2060939073562622,0.23568220436573029,0.14355359971523285,0.33635082840919495,0.4819129705429077,0.658733606338501,0.2864217460155487,0.4854315221309662,0.1953488290309906,0.22961433231830597
not,0.5449194312095642,0.6619802713394165,0.1699381172657013,0.269214004278183,0.17912475764751434,0.5875406265258789,0.5788898468017578,0.3791346549987793,0.2949961721897125,0.3307090103626251,0.30771467089653015,0.41942933201789856
significant,0.24268144369125366,0.21077696979045868,0.14995791018009186,0.3224875032901764,0.1645653396844864,0.24219906330108643,0.2664892077445984,0.2793380320072174,0.2902570366859436,0.318554162979126,0.3193676471710205,0.18679562211036682
because,0.46729007363319397,0.39530807733535767,0.2127031683921814,0.27576887607574463,0.2177136242389679,0.3815760314464569,0.5052481293678284,0.42230045795440674,0.28011927008628845,0.4075504541397095,0.33368605375289917,0.2528740465641022
consumption,0.22381934523582458,0.24011173844337463,0.22167937457561493,0.29635918140411377,0.19231334328651428,0.2756913900375366,0.313340425491333,0.2690817713737488,0.3675582706928253,0.249590665102005,0.399875670671463,0.1937485784292221
",",0.3087472915649414,0.3283645510673523,0.2546221613883972,0.2712523639202118,0.27573052048683167,0.2706286907196045,0.39254459738731384,0.427140474319458,0.18738344311714172,0.4946078956127167,0.21822890639305115,0.31091248989105225
rather,0.3923804461956024,0.3087271451950073,0.15361107885837555,0.20221853256225586,0.1468372792005539,0.38420456647872925,0.4789743721485138,0.4061340093612671,0.23193052411079407,0.3045461177825928,0.23547685146331787,0.3053998053073883
than,0.29388150572776794,0.2387038916349411,0.16236989200115204,0.2636312246322632,0.11598547548055649,0.30810293555259705,0.46516597270965576,0.3126874566078186,0.274815171957016,0.33036211133003235,0.24634315073490143,0.24917294085025787
income,0.21837803721427917,0.1701079159975052,0.19108715653419495,0.23880095779895782,0.11119696497917175,0.2029237002134323,0.19847987592220306,0.2084353119134903,0.2954789698123932,0.2581324577331543,0.46967795491218567,0.14935168623924255
should,0.43830034136772156,0.49775537848472595,0.2201964110136032,0.21850696206092834,0.13950160145759583,0.9999999403953552,0.6527681946754456,0.2715131938457489,0.30150139331817627,0.23792634904384613,0.3052452802658081,0.4442402422428131
be,0.3929833769798279,0.36575672030448914,0.1902313530445099,0.2843376398086548,0.17034415900707245,0.6527681946754456,1.0,0.39883795380592346,0.3525533676147461,0.33904364705085754,0.2602038085460663,0.3324260413646698
the,0.42745697498321533,0.30239659547805786,0.19218477606773376,0.27997422218322754,0.2598440647125244,0.32399165630340576,0.4248143136501312,0.5829201340675354,0.2528008222579956,0.733189046382904,0.23508106172084808,0.22068053483963013
measure,0.2807709276676178,0.23119527101516724,0.1849404275417328,0.26829206943511963,0.18248005211353302,0.30150139331817627,0.3525533676147461,0.2953258156776428,1.0000001192092896,0.22469913959503174,0.3844420313835144,0.22092340886592865
of,0.33290785551071167,0.26150479912757874,0.17898385226726532,0.23457743227481842,0.2526882588863373,0.23792634904384613,0.33904364705085754,0.5052502155303955,0.22469913959503174,1.0,0.27910974621772766,0.1826142966747284
inequality,0.30072227120399475,0.2117324322462082,0.3212568759918213,0.26202505826950073,0.09661564975976944,0.3052452802658081,0.2602038085460663,0.1783585250377655,0.3844420313835144,0.27910974621772766,1.0000001192092896,0.23619021475315094
