,what,is,the,primary,goal,of,pleading,not,guilty,when,arrested,for,civil,disobedience,?
steven,0.1722090095281601,0.15821102261543274,0.21446210145950317,0.12092026323080063,0.16985492408275604,0.20107577741146088,0.16976222395896912,0.1707698404788971,0.15143044292926788,0.12042109668254852,0.18350274860858917,0.203480064868927,0.2168503999710083,0.17270280420780182,0.10277901589870453
barkan,0.09688692539930344,0.18503019213676453,0.19246423244476318,0.17179346084594727,0.10498262941837311,0.2000858634710312,0.18101786077022552,0.10428370535373688,0.16779053211212158,0.0981564074754715,0.22267383337020874,0.13741269707679749,0.2284957617521286,0.23159879446029663,0.12385564297437668
writes,0.31006428599357605,0.2639923393726349,0.1939418613910675,0.14418885111808777,0.16145820915699005,0.2183077037334442,0.2511642277240753,0.21386826038360596,0.2322007715702057,0.22513322532176971,0.18636967241764069,0.25173869729042053,0.18793687224388123,0.3484453856945038,0.17896029353141785
that,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.2296912968158722,0.2496824711561203,0.41498205065727234,0.35620155930519104,0.6600887179374695,0.3181126117706299,0.5860282182693481,0.20538772642612457,0.4137635827064514,0.16867391765117645,0.3551425039768219,0.32716336846351624
if,0.5277165174484253,0.30927813053131104,0.33724796772003174,0.15895219147205353,0.20990332961082458,0.2557544410228729,0.3750605285167694,0.6100378632545471,0.2373649775981903,0.5608453154563904,0.10005936771631241,0.3609124422073364,0.12512178719043732,0.20446431636810303,0.4441644251346588
defendants,0.2779662609100342,0.218027263879776,0.26150551438331604,0.15746799111366272,0.24193359911441803,0.20012208819389343,0.5330396890640259,0.3440821170806885,0.5252792835235596,0.23863564431667328,0.3949097990989685,0.30215293169021606,0.30029261112213135,0.4582981467247009,0.2534805238246918
plead,0.2829829156398773,0.13676275312900543,0.1727745234966278,0.1302579790353775,0.15178456902503967,0.1669377088546753,0.8099702000617981,0.3233085572719574,0.5811393857002258,0.25594156980514526,0.5213778018951416,0.24000298976898193,0.2441694140434265,0.48040226101875305,0.23760166764259338
not,0.5449194312095642,0.3776007890701294,0.4310511648654938,0.24001744389533997,0.22583067417144775,0.3307090103626251,0.36394715309143066,0.9999999403953552,0.31318390369415283,0.4799930453300476,0.19485236704349518,0.39280617237091064,0.18740713596343994,0.38157403469085693,0.41942933201789856
guilty,0.2844175100326538,0.17789146304130554,0.17396102845668793,0.08021466434001923,0.14479990303516388,0.15539902448654175,0.5002273917198181,0.31318390369415283,0.9999999403953552,0.21865054965019226,0.5653589367866516,0.2485964149236679,0.17440195381641388,0.39843687415122986,0.17103199660778046
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2565748989582062,0.2145523726940155,0.4946078956127167,0.27879762649536133,0.3769696354866028,0.23272031545639038,0.36674630641937256,0.274812251329422,0.4464869201183319,0.24795588850975037,0.2878543734550476,0.31091248989105225
``,0.008517155423760414,0.058766357600688934,0.029072100296616554,0.037765562534332275,0.01941765658557415,0.06780257821083069,0.1317407488822937,0.09406080842018127,-0.01962808147072792,0.07174111902713776,0.04741114750504494,0.01270448137074709,0.06784805655479431,0.06214885041117668,0.0685480609536171
they,0.4431931674480438,0.330102801322937,0.49925389885902405,0.2192593365907669,0.18134628236293793,0.3426007330417633,0.21269962191581726,0.5804335474967957,0.2222183346748352,0.5090266466140747,0.2593623399734497,0.3466525673866272,0.14507707953453064,0.3148254156112671,0.2753053903579712
must,0.30362528562545776,0.3093329071998596,0.2713140547275543,0.2393919676542282,0.24521934986114502,0.24322323501110077,0.3361043334007263,0.48002883791923523,0.20291917026042938,0.3487336039543152,0.13105659186840057,0.31100544333457947,0.12366364151239395,0.2450776845216751,0.23707495629787445
decide,0.4684337377548218,0.2671701908111572,0.35331496596336365,0.19497445225715637,0.2640441656112671,0.2682307958602905,0.4077979326248169,0.4294470250606537,0.31102555990219116,0.3481963872909546,0.17900335788726807,0.30473530292510986,0.18595875799655914,0.30717432498931885,0.35001131892204285
whether,0.5516265630722046,0.30252501368522644,0.3211745023727417,0.21122412383556366,0.18071489036083221,0.24392437934875488,0.3818340003490448,0.5590019822120667,0.25825831294059753,0.4872415363788605,0.10630539804697037,0.3131474554538727,0.11485010385513306,0.2514246106147766,0.3150278329849243
their,0.35142919421195984,0.2101074606180191,0.516537070274353,0.2395368069410324,0.2400694042444229,0.4329940676689148,0.22249984741210938,0.4368778169155121,0.14438366889953613,0.3682888448238373,0.19056613743305206,0.3406745493412018,0.18000862002372742,0.31147265434265137,0.1898253709077835
primary,0.2113915979862213,0.23824772238731384,0.25688621401786804,1.0,0.16766726970672607,0.23414276540279388,0.1696527600288391,0.24001744389533997,0.08021466434001923,0.2002158761024475,0.047392360866069794,0.2533470094203949,0.103568434715271,0.1269863396883011,0.16286636888980865
goal,0.2571476101875305,0.20883920788764954,0.2443244755268097,0.16766726970672607,1.0000001192092896,0.1838325709104538,0.2364693135023117,0.22583067417144775,0.14479990303516388,0.16456450521945953,0.1050373986363411,0.2554558217525482,0.17077134549617767,0.21402046084403992,0.1964566856622696
