,what,'s,the,name,of,newcastle,'s,speedway,team,?
the,0.42745697498321533,-0.01540423184633255,1.0,0.3171212375164032,0.733189046382904,0.2253497689962387,-0.01540423184633255,0.18893222510814667,0.22564226388931274,0.22068053483963013
city,0.17493832111358643,0.004406440537422895,0.35769423842430115,0.22892655432224274,0.32503411173820496,0.32860881090164185,0.004406440537422895,0.25421056151390076,0.1626102477312088,0.13423943519592285
's,0.02692362666130066,0.9999999403953552,-0.01540423184633255,0.08507627248764038,-0.03817026689648628,-0.017262522131204605,0.9999999403953552,0.014090321026742458,0.04450521618127823,-0.023395681753754616
speedway,0.1403111219406128,0.014090321026742458,0.18893222510814667,0.18447387218475342,0.11561775207519531,0.2591201961040497,0.014090321026742458,1.0000001192092896,0.31721118092536926,0.11641530692577362
team,0.17632107436656952,0.04450521618127823,0.22564226388931274,0.30322378873825073,0.20352502167224884,0.23102349042892456,0.04450521618127823,0.31721118092536926,1.0,0.11243411153554916
newcastle,0.16276082396507263,-0.017262522131204605,0.2253497689962387,0.11727967113256454,0.18781472742557526,1.0000001192092896,-0.017262522131204605,0.2591201961040497,0.23102349042892456,0.0902252271771431
diamonds,0.18244630098342896,0.011663204059004784,0.15710408985614777,0.16699187457561493,0.1567039042711258,0.2654065191745758,0.011663204059004784,0.1919325441122055,0.23876211047172546,0.1804962158203125
are,0.29724663496017456,-0.008927806280553341,0.40399202704429626,0.17349179089069366,0.39081433415412903,0.1428472399711609,-0.008927806280553341,0.09899267554283142,0.1331794112920761,0.24591213464736938
based,0.274813175201416,0.06600074470043182,0.29860720038414,0.22612735629081726,0.3033197224140167,0.18891511857509613,0.06600074470043182,0.15139774978160858,0.17147541046142578,0.134929820895195
at,0.2838611304759979,-0.08481216430664062,0.457212895154953,0.11450952291488647,0.42558613419532776,0.18403437733650208,-0.08481216430664062,0.2570604681968689,0.22562791407108307,0.21978627145290375
brough,0.19617247581481934,-0.04094439372420311,0.24048784375190735,0.13749267160892487,0.2663988769054413,0.3491065800189972,-0.04094439372420311,0.17522963881492615,0.15819859504699707,0.22305208444595337
park,0.13500720262527466,-0.027052083984017372,0.24748283624649048,0.13648144900798798,0.24561640620231628,0.1992185264825821,-0.027052083984017372,0.34197184443473816,0.15143349766731262,0.13508929312229156
in,0.30808621644973755,-0.037580832839012146,0.6662389636039734,0.2459065467119217,0.5696388483047485,0.19270820915699005,-0.037580832839012146,0.22026832401752472,0.18841172754764557,0.20430970191955566
byker,0.2662010192871094,0.058123692870140076,0.3554142713546753,0.26708757877349854,0.25766029953956604,0.2520172595977783,0.058123692870140076,0.36016207933425903,0.3161884546279907,0.2685128450393677
",",0.3087472915649414,-0.0016132977325469255,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.251589834690094,-0.0016132977325469255,0.224692240357399,0.21287471055984497,0.31091248989105225
a,0.3320399522781372,0.04866964742541313,0.5829201340675354,0.26421117782592773,0.5052502155303955,0.21405641734600067,0.04866964742541313,0.15269029140472412,0.19125498831272125,0.23916715383529663
venue,0.14788569509983063,0.10324010252952576,0.22078999876976013,0.16561287641525269,0.13169366121292114,0.19880224764347076,0.10324010252952576,0.35389986634254456,0.2835288643836975,0.12291393429040909
that,0.6297725439071655,0.04397977516055107,0.5473989248275757,0.27224332094192505,0.41498205065727234,0.18880853056907654,0.04397977516055107,0.17547281086444855,0.17048367857933044,0.32716336846351624
is,0.28837618231773376,0.02396530658006668,0.5823672413825989,0.3359788954257965,0.4854315221309662,0.1841045320034027,0.02396530658006668,0.15974287688732147,0.14871908724308014,0.22961433231830597
also,0.42747777700424194,-0.0014726108638569713,0.6021018624305725,0.34663957357406616,0.4924938678741455,0.20407575368881226,-0.0014726108638569713,0.18735261261463165,0.20497789978981018,0.21848613023757935
home,0.1608789712190628,0.07170099765062332,0.28978195786476135,0.16885216534137726,0.24402645230293274,0.28202661871910095,0.07170099765062332,0.23306801915168762,0.2163287252187729,0.0757145956158638
to,0.455847829580307,0.03782717138528824,0.535392165184021,0.27806994318962097,0.41548454761505127,0.23559264838695526,0.03782717138528824,0.18902234733104706,0.23889471590518951,0.29463258385658264
greyhound,0.1333925873041153,0.09413471817970276,0.31292617321014404,0.1984141618013382,0.211822509765625,0.276988685131073,0.09413471817970276,0.3483465611934662,0.20078401267528534,0.14190621674060822
racing,0.13513071835041046,0.12443334609270096,0.20835168659687042,0.15895742177963257,0.18059782683849335,0.2878974378108978,0.12443334609270096,0.5937398076057434,0.3406248688697815,0.07538153231143951
.,0.3567904531955719,-0.003708066651597619,0.5934505462646484,0.24737101793289185,0.5352458953857422,0.2714749276638031,-0.003708066651597619,0.19422705471515656,0.26467522978782654,0.4130953550338745
