,what,set,the,stage,for,merits,role,in,nsfnet
over,0.28007611632347107,0.1731065958738327,0.39856547117233276,0.14147692918777466,0.3419422209262848,0.2599312365055084,0.19979722797870636,0.3605569899082184,0.2326578050851822
the,0.42745697498321533,0.2927955985069275,1.0,0.22652170062065125,0.4739971458911896,0.33670660853385925,0.26607486605644226,0.6662389636039734,0.2741697430610657
next,0.25980645418167114,0.2324349731206894,0.35833123326301575,0.19063085317611694,0.24420638382434845,0.19470711052417755,0.18119516968727112,0.29307645559310913,0.17646624147891998
several,0.22446060180664062,0.2574676275253296,0.40559855103492737,0.15939758718013763,0.3891045153141022,0.2050204575061798,0.18841400742530823,0.39405709505081177,0.23835508525371552
years,0.1981470286846161,0.12029954791069031,0.2912273406982422,0.16938894987106323,0.2878222167491913,0.1710904985666275,0.15365691483020782,0.33554986119270325,0.20574167370796204
in,0.30808621644973755,0.2663729190826416,0.6662389636039734,0.2011467069387436,0.4322226941585541,0.22641216218471527,0.243671715259552,1.0,0.21722935140132904
addition,0.20643717050552368,0.21286757290363312,0.32955414056777954,0.1376786082983017,0.39286839962005615,0.2614433467388153,0.23203891515731812,0.3033084571361542,0.2064216434955597
to,0.455847829580307,0.320547491312027,0.535392165184021,0.1484832912683487,0.4451248347759247,0.33430415391921997,0.17841029167175293,0.45010748505592346,0.2490166425704956
host,0.12779991328716278,0.10910729318857193,0.26909032464027405,0.23437808454036713,0.2458597868680954,0.1688012331724167,0.20860151946544647,0.21661671996116638,0.23333582282066345
to,0.455847829580307,0.320547491312027,0.535392165184021,0.1484832912683487,0.4451248347759247,0.33430415391921997,0.17841029167175293,0.45010748505592346,0.2490166425704956
host,0.12779991328716278,0.10910729318857193,0.26909032464027405,0.23437808454036713,0.2458597868680954,0.1688012331724167,0.20860151946544647,0.21661671996116638,0.23333582282066345
interactive,0.2204633206129074,0.22003823518753052,0.21269570291042328,0.1907828450202942,0.24416451156139374,0.11584970355033875,0.17328841984272003,0.2022063136100769,0.3773929476737976
connections,0.23633168637752533,0.17557860910892487,0.31443437933921814,0.10093168169260025,0.23893944919109344,0.18245120346546173,0.14029264450073242,0.26959285140037537,0.31554824113845825
the,0.42745697498321533,0.2927955985069275,1.0,0.22652170062065125,0.4739971458911896,0.33670660853385925,0.26607486605644226,0.6662389636039734,0.2741697430610657
network,0.16917307674884796,0.1570083498954773,0.27187061309814453,0.13543856143951416,0.253274142742157,0.1487174779176712,0.1400015950202942,0.19496823847293854,0.40054646134376526
was,0.22111038863658905,0.22985222935676575,0.48711544275283813,0.2081151008605957,0.3863949179649353,0.26907894015312195,0.2561398148536682,0.45514053106307983,0.22150425612926483
enhanced,0.17255665361881256,0.11657705903053284,0.20192280411720276,0.1852482259273529,0.20370344817638397,0.2148384153842926,0.1727890968322754,0.143305703997612,0.36555805802345276
to,0.455847829580307,0.320547491312027,0.535392165184021,0.1484832912683487,0.4451248347759247,0.33430415391921997,0.17841029167175293,0.45010748505592346,0.2490166425704956
support,0.2797985076904297,0.15916766226291656,0.22984638810157776,0.186496302485466,0.3156939148902893,0.31596753001213074,0.1459229588508606,0.17618270218372345,0.2992773652076721
terminal,0.14734655618667603,0.1542978733778,0.2744654417037964,0.1479043811559677,0.19782215356826782,0.10854287445545197,0.13061584532260895,0.2590499520301819,0.23449718952178955
to,0.455847829580307,0.320547491312027,0.535392165184021,0.1484832912683487,0.4451248347759247,0.33430415391921997,0.17841029167175293,0.45010748505592346,0.2490166425704956
host,0.12779991328716278,0.10910729318857193,0.26909032464027405,0.23437808454036713,0.2458597868680954,0.1688012331724167,0.20860151946544647,0.21661671996116638,0.23333582282066345
connections,0.23633168637752533,0.17557860910892487,0.31443437933921814,0.10093168169260025,0.23893944919109344,0.18245120346546173,0.14029264450073242,0.26959285140037537,0.31554824113845825
",",0.3087472915649414,0.24912182986736298,0.4933079481124878,0.2630990147590637,0.4464869201183319,0.3219752907752991,0.199491485953331,0.5201468467712402,0.28886109590530396
host,0.12779991328716278,0.10910729318857193,0.26909032464027405,0.23437808454036713,0.2458597868680954,0.1688012331724167,0.20860151946544647,0.21661671996116638,0.23333582282066345
to,0.455847829580307,0.320547491312027,0.535392165184021,0.1484832912683487,0.4451248347759247,0.33430415391921997,0.17841029167175293,0.45010748505592346,0.2490166425704956
host,0.12779991328716278,0.10910729318857193,0.26909032464027405,0.23437808454036713,0.2458597868680954,0.1688012331724167,0.20860151946544647,0.21661671996116638,0.23333582282066345
batch,0.23378607630729675,0.29492393136024475,0.1901983916759491,0.2430797666311264,0.27923503518104553,0.256636381149292,0.22487828135490417,0.20720802247524261,0.33065423369407654
connections,0.23633168637752533,0.17557860910892487,0.31443437933921814,0.10093168169260025,0.23893944919109344,0.18245120346546173,0.14029264450073242,0.26959285140037537,0.31554824113845825
(,0.2411840260028839,0.14486102759838104,0.33289089798927307,0.21330693364143372,0.3357032239437103,0.24080488085746765,0.1935303956270218,0.3087427020072937,0.28508809208869934
remote,0.2261817455291748,0.15006759762763977,0.2411084920167923,0.08566291630268097,0.21633777022361755,0.06310167163610458,0.11516201496124268,0.1905011087656021,0.282157838344574
job,0.29268908500671387,0.15818750858306885,0.24242734909057617,0.14444367587566376,0.3520078659057617,0.3037416934967041,0.30728620290756226,0.2114088088274002,0.2739531099796295
submission,0.258326917886734,0.24300210177898407,0.26893264055252075,0.22203737497329712,0.2534942030906677,0.2799629271030426,0.12655827403068542,0.193929985165596,0.24803218245506287
",",0.3087472915649414,0.24912182986736298,0.4933079481124878,0.2630990147590637,0.4464869201183319,0.3219752907752991,0.199491485953331,0.5201468467712402,0.28886109590530396
remote,0.2261817455291748,0.15006759762763977,0.2411084920167923,0.08566291630268097,0.21633777022361755,0.06310167163610458,0.11516201496124268,0.1905011087656021,0.282157838344574
printing,0.23539213836193085,0.18962788581848145,0.24993151426315308,0.11234818398952484,0.2851170003414154,0.1838998794555664,0.08230964839458466,0.22161865234375,0.33332306146621704
",",0.3087472915649414,0.24912182986736298,0.4933079481124878,0.2630990147590637,0.4464869201183319,0.3219752907752991,0.199491485953331,0.5201468467712402,0.28886109590530396
batch,0.23378607630729675,0.29492393136024475,0.1901983916759491,0.2430797666311264,0.27923503518104553,0.256636381149292,0.22487828135490417,0.20720802247524261,0.33065423369407654
file,0.13127101957798004,0.04791116714477539,0.24819953739643097,0.0655006393790245,0.14267386496067047,0.13402266800403595,0.09004269540309906,0.15015648305416107,0.2222432792186737
transfer,0.16232657432556152,0.20918682217597961,0.2638886570930481,0.185592919588089,0.2770293653011322,0.17378725111484528,0.16510805487632751,0.23500178754329681,0.3972098231315613
),0.26259949803352356,0.17004531621932983,0.3456730246543884,0.24287325143814087,0.3639558255672455,0.23340138792991638,0.21682535111904144,0.3326910734176636,0.2825731039047241
