,in,general,",",what,were,teachers,paid,in,the,past,?
in,1.0,0.259066641330719,0.5201468467712402,0.30808621644973755,0.3815755248069763,0.2128150761127472,0.1910562664270401,1.0,0.6662389636039734,0.24275542795658112,0.20430970191955566
the,0.6662389636039734,0.28634732961654663,0.4933079481124878,0.42745697498321533,0.3906462490558624,0.22025763988494873,0.22871042788028717,0.6662389636039734,1.0,0.2747827172279358,0.22068053483963013
past,0.24275542795658112,0.11729665845632553,0.25483980774879456,0.3538547456264496,0.2800306975841522,0.18029165267944336,0.15836097300052643,0.24275542795658112,0.2747827172279358,0.9999999403953552,0.2598046660423279
",",0.5201468467712402,0.3022127151489258,1.0000001192092896,0.3087472915649414,0.36755475401878357,0.28049156069755554,0.18092423677444458,0.5201468467712402,0.4933079481124878,0.25483980774879456,0.31091248989105225
teachers,0.2128150761127472,0.16037723422050476,0.28049156069755554,0.2526462972164154,0.26511338353157043,1.0,0.2793026566505432,0.2128150761127472,0.22025763988494873,0.18029165267944336,0.19522249698638916
have,0.36843645572662354,0.1695498526096344,0.3541618287563324,0.39808809757232666,0.5193349123001099,0.25109589099884033,0.23747774958610535,0.36843645572662354,0.40389683842658997,0.4853634536266327,0.32991164922714233
been,0.3515113592147827,0.15958157181739807,0.34873589873313904,0.2567804455757141,0.5062422156333923,0.15592728555202484,0.22544419765472412,0.3515113592147827,0.3563927710056305,0.46394577622413635,0.24354910850524902
paid,0.1910562664270401,0.12307033687829971,0.18092423677444458,0.254770964384079,0.2893809676170349,0.2793026566505432,1.0,0.1910562664270401,0.22871042788028717,0.15836097300052643,0.20964482426643372
relatively,0.2696114182472229,0.12199326604604721,0.26971855759620667,0.24081343412399292,0.22617207467556,0.1116715744137764,0.14790689945220947,0.2696114182472229,0.33481109142303467,0.24009719491004944,0.1281091868877411
low,0.21458278596401215,0.13955307006835938,0.25131091475486755,0.20743566751480103,0.1711515188217163,0.09055387228727341,0.17415784299373627,0.21458278596401215,0.2544175982475281,0.16415928304195404,0.10658930987119675
salaries,0.23869653046131134,0.19796228408813477,0.2153448611497879,0.23399829864501953,0.30613747239112854,0.3667125999927521,0.47730809450149536,0.23869653046131134,0.29897719621658325,0.20688152313232422,0.23913246393203735
.,0.5591574311256409,0.2929490804672241,0.6812511086463928,0.3567904531955719,0.3378238379955292,0.24628326296806335,0.22304166853427887,0.5591574311256409,0.5934505462646484,0.2363625168800354,0.4130953550338745
